COD. ÚNICO,VIGENCIA,AÑO,AÑO PRESP.,BIP,DV,NOMBRE INICIATIVA,REVISIÓN O REEVALUACIÓN,TIPO,PROVINCIA,COMUNA,ETAPA,TIPOLOGÍA,SUBTIPOLOGÍAS,Categoría GORE,SUBT,ITEM,ASIG,FORMULADOR,ORIGEN,UNIDAD TÉCNICA,ALCANCE INICIATIVA,DIVISIÓN VINCULADA,CARTERA REZAGO,BENEFICIARIO,SECTOR,SUBSECTOR,MONTO INICIATIVA,MONTO SECTORIAL,MONTO FNDR,MONTO FINAL APROB.,GASTO VIGENTE,GASTO SIG. AÑOS,ESTADO ACTUAL,FECHA ESTADO ACTUAL,RATE ACTUAL,FECHA ULTIMO RATE,N° RATES EMITIDOS,DIAS PARA RESPUESTA,N° ORD. POSTULACIÓN,FECHA ORD. POSTULACIÓN,FECHA RECEPC. GORE,ANALISTA,FECHA ASIGN. ANALISTA,N° ORD.  A MIDESO,FECHA ENVÍO A MIDESO,N° ORD. CORE,FECHA ENVÍO ORD. A CORE,N° CERTIF. RS,FECHA CERTIF. RS,N° CERT.CORE O RES. EXTA INCORP,FECHA CERTIF. APROBADO CORE,"N° MEMO PRESUPESTO
RES. APRUEBA CONV","FECHA ENVÍO A PRESUPUESTO
FECHA CONVENIO",OBSERVACIONES GENERALES,EJE,LINEAMIENTO,OBJETIVO,ACCION,N° EMPLEOS EST. HOMBRE,N° EMPLEOS EST. MUJER,N° EMPLEOS ESTIMADOS,N° BENEF DIRECT HOM,N° BENEF DIRECTOS MUJ,N° BENEF DIRECTOS TOTAL,CONTROL DE DIAS,CONTROL RESPUESTA OBSERVACIONES,N° DIAS RETRASO,RESPONDE OBSERVACIONES,FECHA RESPUESTA INGRESO PRE INVERSIÓN,N° DÍAS A LA ESPERA DE REVISIÓN,PRIORIZADO GOBERNADOR,,,,,,
30002297-2021,EN PRESUPUESTO,2020,2021,30002297,0,REPOSICION GIMNASIO MUNICIPAL DE COIHUECO,,PROYECTO,PUNILLA,COIHUECO,EJECUCIÓN,MIDESO,MIDESO,,31,2,0,MUNICIP. COIHUECO,MUNICIPIO,,,,,COIHUECO,DEPORTES,DEPORTE RECREATIVO,"$2,448,927",$0,"$2,448,927",,"M$2,020,000","M$428,927",APRO CORE,,RS,12-03-2020,,,,,30-01-2020,MARIA JOSE GUTIÉRREZ / MIDESO,10-02-2020,93,13-02-20,170,17-03-2020,,,63,30-03-2020,,," // CERTIFICADO CORE 063/2020 DEL 30-03-20 ENVIADO POR CORREO 06-04-20// APROBADO CORE SESIÓN DEL 25-03-20// E8619/2020 ENVIADO A CORE POR ORD. 170 DEL 17-03-20 // RS MIDESO 12-03-20 INFORMADO POR CORREO A JEFATURA 13-03-20// ADMISIBLE MIDESO 24-02-20// E7866/2020 ENVIADO A REVISIÓN MIDESO POR ORD. 93 DEL 13-02-20, CARGADO EN BIP 14-02-20 // ASIGNADO ANALISTA PARA REVISIÓN 10-02-20// E7572/2020 POSTULA ETAPA EJECUCIÓN ORD. 50 DEL 29-01-20, INFORMADO POR CORREO A JEFATURAS PARA PRIORIZACIÓN 30-01-20",,,,,,,,,,,12-03-2020,,NO APLICA,,,,,,,,5.2. Participación y gobernanza multinivel con equidad territorial,2.1.2. Retener y atraer el capital humano,1.1.4.2. Desarrollar y modernizar la infraestructura de agua para riego
30069728-2019,NO VIGENTE,2019,2019,30069728,0,"REPOSICIÓN CENTRO DE SALUD FAMILIAR, COMUNA DE PINTO",,PROYECTO,DIGUILLIN,PINTO,DISEÑO,MIDESO,,,31,,,MUNICIP. PINTO,MUNICIPIO,,,,,PINTO,SALUD,INFRAESTRUCTURA SALUD,"$60,000",$0,"$60,000",,"M$60,000",M$0,REEMPL,,,,,,,,30-11-2018,JAVIER BRITO,30-11-2018,,,,,,,,,,, // ES REEMPLAZADO POR CÓDIGO 40010038,,,,,,,,,,,30-12-1899,RECORDAR PLAZO,44774,,,,,,,,,2.2.1. Diversificar territorialmente la matriz productiva,"1.1.4.3. Fortalecer la organización, participación y capacitación de los usuarios integrados bajo criterio territorial de cuencas hidrográfica para el uso del recurso hídrico."
30072326-2019,NO VIGENTE,2019,2019,30072326,0,REPOSICION AMPLIADA EDIFICIO CONSISTORIAL MUNICIP. SAN NICOLAS,,PROYECTO,PUNILLA,SAN NICOLÁS,EJECUCIÓN,MIDESO,,,31,2,,MUNICIP. SAN NICOLÁS,MUNICIPIO,,,,,SAN NICOLAS,CONSISTORIAL,ADMINISTRACION MULTISECTOR,"$2,995,800",$0,"$2,995,800",,"M$1,847,138","M$1,148,662",NO PRIO INTEN RS,,INADMISIBLE,15-12-2017,,,,,06-12-2018,JAVIER BRITO / MIDESO,10-12-2018,,,,,,,,,,," // ORD. 56 DEL 16-01-19 DERIVADO A JEFE DIPLADE 23-01-19 PARA TOMAR DECISIONES RESPECTO INFORMACIÓN A ENTREGAR / SIN PRIORIZACIÓN PARA CORE AL 4-1-19 / EXISTENTE EN BIO BIO, TIENE RS DESDE 15-12-17, TIENE RS ARRASTRE 2018, A LA ESPERA DE FINANCIAMIENTO",,,,,,,,,,,15-12-2017,,NO APLICA,,,,,,,,,"2.2.2. Desarrollar la ciencia, tecnología, innovación y conocimiento para potenciar la economía y el bienestar social",1.2.1.1. Apoyar la ejecución de medidas del plan habitacional regional.
30072326-2022,EN PRESUPUESTO,2021,2022,30072326,0,REPOSICIÓN AMPLIADA EDIFICIO CONSISTORIAL MUNICIPALIDAD DE SAN NICOLÁS,,PROYECTO,PUNILLA,SAN NICOLÁS,EJECUCIÓN,MIDESO,MIDESO,Infraestructura Pública,31,2,0,MUNICIP. SAN NICOLÁS,MUNICIPIO,,,,,SAN NICOLAS,EDIFICACION PUBLICA,ADMINISTRACION MULTISECTOR,"$3,219,716",$0,"$3,219,716",,"M$1,339,671","M$1,878,409",,,RS,27-08-2021,1,,,,04-01-2021,MARIA JOSE GUTIERREZ,07-01-2021,25,08-01-2021,0,,,,0,,,,RS DEL 27-08-21 // OFICIO ENVIADO A ODD // DERIVADO A MARÍA JOSÉ PARA REVISIÓN,1. Territorio y Medioambiente,"1.1 Promover el desarrollo territorial de Ñuble, de manera integrada y equitativa.",1.1.2 Definir e implementar una cobertura óptima de servicios en relación al tamaño de los centros poblados de la región.,1.1.2.1 Identificar y reducir las brechas en la oferta mínima de servicios públicos que corresponda a la jerarquía de cada centro urbano de la región. ,,,100,5796,5807,11603,NO,YA ESTÁ RS,NO APLICA,,,,,,,,,2.2.3. Incrementar el turismo regional fomentando nuevos productos y articulando la oferta existente con énfasis en turismo de intereses especiales,1.2.1.2. Incentivar el uso de tecnologías y fuentes de energía renovables no convencionales (ERNC) que sean más eficientes y menos contaminantes para calefacción y enfriamiento.
30075322-2019,NO VIGENTE,2019,2019,30075322,0,"NORMALIZACION LICEO JOSE MANUEL PINTO ARIAS, COMUNA DE PINTO",,PROYECTO,DIGUILLIN,PINTO,DISEÑO,MIDESO,,,31,,,MUNICIP. PINTO,MUNICIPIO,,,,,PINTO,"EDUCACION, CULTURA Y PATRIMONIO",EDUCACIÓN BÁSICA Y MEDIA,"$60,000",$0,"$60,000",,"M$30,000","M$30,000",REV MDS,,FI,06-08-2019,,,,,30-04-2019,MATHIAS PEZO / MIDESO,03-06-2019,305,10-07-19,,,,,,,,," // POR ORD. 305 DEL 10-07-19 E3504/2019 SE ENVÍA INICIATIVA A REVISIÓN MIDESO, CARGADO EN BIP 17-07-19 // OFICIO PARA FIRMA DE ENVÍO A MIDESO 07-06-19 // ASIGNADO ANALISTA PARA REVISIÓN DE ANTECEDENTES PARA ENVÍO A MIDESO 03-06-19 // E2179/2019 A LA ESPERA D",,,,,,,,,,,06-08-2019,RECORDAR PLAZO,1091,,,,,,,,,2.2.4. Fortalecer al capital social para la innovación y la creación de valor.,1.2.1.3. Fomentar el mejoramiento de aislación térmica en edificaciones y la construcción con materiales sustentables.
30075322-2020,NO VIGENTE,2019,2020,30075322,0,"NORMALIZACION LICEO JOSE MANUEL PINTO ARIAS, COMUNA DE PINTO",,PROYECTO,DIGUILLIN,PINTO,DISEÑO,MIDESO,,,31,,,MUNICIP. PINTO,MUNICIPIO,,,,,PINTO,"EDUCACION, CULTURA Y PATRIMONIO",EDUCACIÓN BÁSICA Y MEDIA,"$60,000",$0,"$60,000",,"M$60,000",M$0,REV MDS,,FI,09-11-2020,,,,,30-04-2019,PABLO NUÑEZ,02-01-2020,15,13-01-20,,,,,,,,," // FI DEL 09-11-20 // FI DEL 21-01-2020 MIDESO ÑUBLE//RESPOSTULADO A MIDESO PROCESO 2020 POR ORD. 15 DEL 13-01-2020 E7138/2020//POR ORD. 305 DEL 10-07-19 E3504/2019 SE ENVÍA INICIATIVA A REVISIÓN MIDESO, CARGADO EN BIP 17-07-19 // OFICIO PARA FIRMA DE ENVÍO A MIDESO 07-06-19 // ASIGNADO ANALISTA PARA REVISIÓN DE ANTECEDENTES PARA ENVÍO A MIDESO 03-06-19 // E2179/2019 A LA ESPERA D",,,,,,,,,,,09-11-2020,,NO APLICA,,,,,,,,,"2.2.5. Propender a una matriz energética sostenible y diversificada, segura, eficiente y carbono neutral que cubre las necesidades presentes y futuras.","1.2.2.1. Elaborar, ejecutar y difundir plan regional de movilidad y accesibilidad sostenible."
30075322-2021,NO VIGENTE,2021,2021,30075322,0,"NORMALIZACIÓN LICEO JOSÉ MANUEL PINTO ARIAS, COMUNA DE PINTO",,PROYECTO,DIGUILLIN,PINTO,DISEÑO,MIDESO,,Infraestructura Pública,31,2,0,MUNICIP. PINTO,MUNICIPIO,,,,,PINTO,"EDUCACION, CULTURA Y PATRIMONIO",EDUCACIÓN BÁSICA Y MEDIA,"$73,017",$0,"$73,017",,"M$20,000","M$53,017",,,FI,23-03-2021,1,,,,26-01-2021,MATHIAS PEZO,28-01-2021,123,15-02-2021,0,,,,0,,,,OFICIO ENVIADO A MDS // FI EL 25-03-21 // ADMISIBLE EL 09-03-21 // ENVIADO EL 01-03-21 POR MAIL // DERIVADO A MATHÍAS PARA REVISIÓN,1. Territorio y Medioambiente,"1.1 Promover el desarrollo territorial de Ñuble, de manera integrada y equitativa.",1.1.1 Mejorar la infraestructura pública y de conectividad territorial regional. ,1.1.1.4 Asegurar un funcionamiento eficiente y eficaz de la infraestructura y edificios públicos con una óptima cobertura regional.,,,20,243,193,436,NO,NO APLICA CONTROL,NO APLICA,,,,,,,,,2.2.6. Poner en valor la región como centro logístico macro regional,1.2.2.2. Avanzar en el mejoramiento sanitario de los asentamientos humanos rurales de la región.
30095321-2019,NO VIGENTE,2019,2019,30095321,0,"REPOSICION POSTA DE SALUD RURAL VEGAS DE ITATA, COMUNA DE COELEMU",,PROYECTO,ITATA,COELEMU,DISEÑO,MIDESO,,,31,,,MUNICIP. COELEMU,MUNICIPIO,,,,,COELEMU,SALUD,BAJA COMPLEJIDAD,"$17,450",$0,"$17,450",,"M$8,725","M$8,725",REV MDS,,FI,27-12-2019,,,,,12-04-2019,JAVIER BRITO / MIDESO,12-04-2019,161,22-04-19,,,,,,,,," // FI DEL 27-12-19 MIDESO ÑUBLE//ADMISIBLE MIDESO 03-05-19 // ENVIADO A REVISIÓN MIDESO POR ORD. 161 DEL 22-04-19 E2016/2019, CARGADO EN BIP 25-04-19 // POR ORD. 294 DEL 09-04-19 E1908/2019 FORMULADOR REPOSTULA INICIATIVA, DERIVADO ANALISTA PARA REVISIÓN //",,,,,,,,,,,27-12-2019,,NO APLICA,,,,,,,,,3.1.1. Reducir la pobreza y la vulnerabilidad de la población regional,1.2.3.1. Formular un plan regional de gestión integral de residuos sólidos domiciliarios
30095321-2020,NO VIGENTE,2020,2020,30095321,0,"REPOSICION POSTA DE SALUD RURAL VEGAS DE ITATA, COMUNA DE COELEMU",,PROYECTO,ITATA,COELEMU,DISEÑO,MIDESO,,,31,,,MUNICIP. COELEMU,MUNICIPIO,,,,,COELEMU,SALUD,BAJA COMPLEJIDAD,"$22,896",$0,"$22,896",,"M$22,896",,,,FI,04-03-2020,,,,,29-01-2020,PABLO NUÑEZ,29-01-2020,40,29-01-20,,,,,,,,," // FI MIDESO 04-03-20 // FI MIDESO 14-02-20 // ORD N°87 E7565/2020 DEL 29-01-2020 ENVIADO A MIDESO, CARGADO EN BIP MISMO DÍA.",,,,,,,,,,,04-03-2020,,NO APLICA,,,,,,,,,3.1.2. Fortalecer el acceso a la salud de calidad y promover estilos de vida saludable,1.2.3.2. Apoyar las iniciativas de economía circular en la región.
30095321-2021,NO VIGENTE,2021,2021,30095321,0,"REPOSICIÓN POSTA DE SALUD RURAL VEGAS DE ITATA, COMUNA DE COELEMU",,PROYECTO,ITATA,COELEMU,DISEÑO,MIDESO,,Infraestructura Pública,31,2,0,MUNICIP. COELEMU,MUNICIPIO,,,,,COELEMU,SALUD,INFRAESTRUCTURA SALUD,"$22,896",$0,"$22,896",,"M$22,896",M$0,,,ADMISIBLE,,,,,,02-02-2021,MATHIAS PEZO,08-02-2021,,,0,,,,0,,,, // DERIVADO A MATHÍAS PARA REVISIÓN,,,,,,,,,,0,,SUBSANANDO/EN REVISIÓN,NO APLICA,,,,,,,,,3.1.3. Incentivar la educación integral para el desarrollo de habilidades personales y la convivencia social,1.3.1.1. Un plan de creación de conciencia sobre los valores ambientales del territorio que incluya a la educación formal y actividades comunicacionales
