,,,,,Rebaja FET M$382.928,,,,,,,,,"$105,880",,,,,,,,
,,,,,,,,,,,,,,1.0986386,"-$2,806,860",,,,,,,
,,,,,,,,,,,,,,,,,12548941,,,,,
,,,,,,,SEGÚN PROGRAMACIÓN AL 20 DEL MES,,,SEGÚN PROGRAMACIÓN AL 20 DEL MES,,,,,,,,,,,,
,MES,2022 Proyectado,,2022 real,,MES,PROGRAMADO,EJECUTADO,MENSUAL,PROG. MENSUAL,,,,,,,,,,,,
,ENE,,,2.23%,,ENE,"$1,296,116","$1,296,116","$1,296,116","$1,296,116",,,,,,,,,,,,
,FEB,,,4.52%,,FEB,"$2,627,966","$2,627,966","$1,331,850","$1,331,850",,,,,,,,,,,,
,MAR,,,7.67%,,MAR,"$4,432,827","$4,432,827","$1,804,861","$1,804,861",,,,,,,,,,,,
,ABR,,,9.80%,,ABR,$0,"$5,665,836","$1,233,007","-$4,432,827",,,,,,,,,,,,
,MAY,,,18.57%,,MAY,$0,"$10,731,445","$5,065,607",$0,,,,,,,,,,,,
,JUN,,,23.17%,,JUN,$0,"$13,392,229","$2,660,785",$0,,,,,,,Rebajas de Marco,,,,,
,JUL,,,31.68%,,JUL,$0,"$17,679,384","$4,289,195",$0,,,,,,,58172818,,,,,
,AGO,,,40.43%,,AGO,$0,"$22,438,380","$4,768,672",$0,,,,,,,382928,Rebaja FET Resolucion 135,,,,
,SEP,,,53.80%,,SEP,$0,"$30,504,422","$8,066,042",$0,,,,,,,317271,Ord N° 2855/2856/2857 y 3092 (308.936 + 8.335),,,,
,OCT,,,61.71%,,OCT,$0,"$32,058,938","$1,552,139",$0,,,,,,,1040768,Oficio 4197/4980,(513500+527267),Deficit hidrico,,
,NOV,,,63.59%,,NOV,$0,"$32,759,217","$700,279",$0,,,,,,,627489,Traspaso de funcionamiento Resolucion 178 / 5 jul 2022,,,,
,DIC,,,99.79%,,DIC,$0,"$47,372,679","$14,613,462",$0,,,,,,,1518256,Rebaja de marco dado que ambos tomaron razon de contraloria (informado ppto 31 agosto),,,,
,,,,,,,,,,,,,,,,,1210610,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,PPTO. ENERO 2022 (certif. Core 382/2022),,,,,,,,,,,,,,,,55496716,,,,,
,22,"$200,000",,,,,,,,,,,,,,,,,,,,
,24,"$4,072,097",,,,,,,,,,,,,,,,,,,,
,29,"$3,723,574",,,,,,,,,,,,,,,,,,,,
,30,"$382,928",,,,,,,,,,,,,,,,,,,,
,31,"$25,378,165",,,,,,,,,,,,,,,361915,Oficio 6872,,Incendio forestal,,
,33,"$24,416,054",,,,,,,,,,,,,,,5586,mail 4 de julio,(2902+2684),Incendio forestal/ Deficit hidrico,,oficios 8180 8890 9543 10250
,,,,,,,,,,,,,,,,,55129215,,,,,
,,"$58,172,818",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,Proyeccion mensual corte 20 de cada mes,,,,,,,,,,,,,,,,,,,
,,,,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,
,,,ENE,8.71%,2.23%,2.23%,2.23%,2.23%,2.23%,2.23%,,,,,,,,,,,,
,,,FEB,13.87%,8.31%,4.43%,4.52%,4.52%,4.52%,4.52%,,,,,,,,,,,,
,,,MAR,18.52%,14.14%,7.69%,7.62%,7.67%,7.67%,7.67%,,,,,,,,,,,,
,,,ABR,23.90%,25.00%,18.65%,12.01%,9.80%,9.80%,9.80%,,,,,,,,,,,,
,,,MAY,27.11%,31.78%,26.44%,27.57%,19.35%,19.35%,19.35%,,,,,,,,,,,,
,,,JUN,34.03%,42.51%,38.59%,40.81%,33.38%,29.45%,23.17%,,,,,,,,,,,,
,,,JUL,35.25%,57.30%,50.21%,52.03%,43.36%,47.15%,,,,,,,,,,,,,
,,,AGO,39.84%,66.84%,58.75%,60.32%,52.88%,54.86%,,,,,,,,,,,,,
,,,SEP,47.37%,81.10%,70.88%,72.42%,78.59%,70.82%,,,,,,,,,,,,,
,,,OCT,53.45%,87.69%,74.22%,80.09%,87.02%,75.36%,,,,,,,,,,,,,
,,,NOV,60.03%,95.14%,81.28%,86.80%,94.10%,87.19%,,,,,,,,,,,,,
,,,DIC,62.60%,102.52%,87.04%,91.62%,99.47%,89.66%,,,,,,,,,,,,,
