SEGUIMIENTO PARTICIPACIÓN CIUDADANA DIDESOH ,,,,,,,,,,,
N°,REFERENTE,CÓDIGO BIP,NOMBRE INICIATIVA,UNIDAD EJECUTORA,FECHA,ASISTENCIA,DIVISIÓN,LUGAR,ORGANIZACIÓN FIRMANTE,NOMBRE REPRESENTANTE LEGAL,OBSERVACIONES
11,GABRIEL MOLINA GARRIDO,,"CONSTRUCCIÓN PATIO TECHADO ESCUELA LOS TILOS, COMUNA DE BULNES",MUNICIPALIDAD DE BULNES,12.05.2025,SI,DIDESOH,BIBLIOTECA MUNICIPAL,ESCUELA LOS TILOS,NESTOR REYES,SE APRUEBA
12,GABRIEL MOLINA GARRIDO,,MEJORAMIENTO MULTICANCHA MATIAS MADARIAGA 3,MUNICIPALIDAD DE BULNES,12.05.2025,SI,DIDESOH,BIBLIOTECA MUNICIPAL,JJVV MATIAS MADARIAGA 3,MARJORIE HIDD SEPÚLVEDA,SE APRUEBA
13,GABRIEL MOLINA GARRIDO,40072570,CONSTRUCCIÓN BODEGA REAS Y OBRAS ANEXAS,MUNICIPALIDAD DE PINTO,20.05.2025,SI,DIDESOH,SALÓN DE CONSEJO,JUNTA DE VECINOS RECINTO,EMILIO OCARES ,SE APRUEBA
14,GABRIEL MOLINA GARRIDO,40072977,"REPOSICIÓN DE LUMINARIAS PÚBLICAS A TECNOLOGÍA LED RECINTO, LOS LLEUQUES Y SECTORES ANEXOS, COMUNA DE PINTO ",MUNICIPALIDAD DE PINTO,20.05.2025,SI,DIDESOH,SALÓN DE CONSEJO,JUNTA DE VECINOS RECINTO,EMILIO OCARES ,SE APRUEBA
15,GABRIEL MOLINA GARRIDO,40072336,CONSTRUCCIÓN CENTRO DE EXTENSIÓN MUNICIPAL,MUNICIPALIDAD DE QUIRIHUE,23.05.2025,SI,DIDESOH,TEATRO MUNICIPAL,CAM LAS GOLONDRINAS DEL HUMEDAL,MERCEDES TORRES ,SE APRUEBA
16,GABRIEL MOLINA GARRIDO,40072339,CONSTRUCCIÓN CENTRO DE OOCC DE ADULTO MAYOR,MUNICIPALIDAD DE QUIRIHUE,23.05.2025,SI,DIDESOH,TEATRO MUNICIPAL,UCCAM,MARÍA ELENA MOLINA,SE APRUEBA
17,GABRIEL MOLINA GARRIDO,40072334,CONSTRUCCIÓN CANCHAS DE RAYUELA,MUNICIPALIDAD DE QUIRIHUE,23.05.2025,SI,DIDESOH,TEATRO MUNICIPAL,CLUB DE HUASOS DE QUIRIHUE,PEDRO SEPÚLVEDA ,SE APRUEBA
18,GABRIEL MOLINA GARRIDO,40072812-0,MEJORAMIENTO DE PATIO TECHADO LICEO BICENTENARIO DE PUEBLO SECO,MUNICIPALIDAD DE SAN IGNACIO ,09.07.2025,SI,DIDESOH,SALÓN DE CONSEJO ,CENTRO GENERAL DE PADRES ,ADOLFO INOSTROZA,SE APRUEBA
19,GABRIEL MOLINA GARRIDO,40071359-0,REPOSICIÓN SEGUNDO PISO DE EDIFICIO CONSISTORIAL ,MUNICIPALIDAD DE SAN IGNACIO ,09.07.2025,SI,DIDESOH,SALÓN DE CONSEJO ,ASEMUCH,GISDALY BUSTOS JIMÉNEZ,SE APRUEBA 
20,GABRIEL MOLINA GARRIDO,40074194-0,"CONSTRUCCIÓN ÁREAS RECREATIVAS, COMUNA DE CHILLÁN",MUNICIPALIDAD DE CHILLÁN,08.07.2025,SI,DIDESOH,SEDE COMUNITARIA,JJVV CHILLANCITO,VIVIANA RUBIO,SE APRUEBA 
21,GABRIEL MOLINA GARRIDO,40074194-0,"CONSTRUCCIÓN ÁREAS RECREATIVAS, COMUNA DE CHILLÁN",MUNICIPALIDAD DE CHILLÁN,09.07.2025,SI,DIDESOH,SEDE COMUNITARIA,JJVV CONJUNTO RESIDENCIAL DON AMBROSIO,ROXANA MARTÍNEZ,SE APRUEBA 
,GABRIEL MOLINA GARRIDO,40074194-0,"CONSTRUCCIÓN ÁREAS RECREATIVAS, COMUNA DE CHILLÁN",MUNICIPALIDAD DE CHILLÁN,10.07.2025,SI,DIDESOH,SEDE COMUNITARIA,PARQUE ISLAS DEL SUR ,GONZALO MONTECINOS,SE APRUEBA 
,GABRIEL MOLINA GARRIDO,40074194-0,"CONSTRUCCIÓN ÁREAS RECREATIVAS, COMUNA DE CHILLÁN",MUNICIPALIDAD DE CHILLÁN,10.07.2025,SI,DIDESOH,SEDE COMUNITARIA,JJVV SARITA GAJARDO Y AMPLIACIONES ,LUISA LAGOS,SE APRUEBA 
,GABRIEL MOLINA GARRIDO,40074194-0,"CONSTRUCCIÓN ÁREAS RECREATIVAS, COMUNA DE CHILLÁN",MUNICIPALIDAD DE CHILLÁN,15.07.2025,SI,DIDESOH,SEDE COMUNITARIA,JJVV DOÑA ROSA ,CONSUELO NÚÑEZ,SE APRUEBA
,GABRIEL MOLINA GARRIDO,40073465-0,"REPOSICIÓN DE VEREDAS SECTORES URBANOS, COMUNAS ASOCIACIÓN PUNILLA, REGIÓN DE ÑUBLE",ASOC PUNILLA,07.11.2025,SI,DIDESOH,SEDE COMUNITARIA,VARIAS JJVV DE LA UNIÓN COMUNAL SAN FABIÁN ,,SE APRUEBA
,GABRIEL MOLINA GARRIDO,40073465-0,"REPOSICIÓN DE VEREDAS SECTORES URBANOS, COMUNAS ASOCIACIÓN PUNILLA, REGIÓN DE ÑUBLE",ASOC PUNILLA,07.11.2025,SI,DIDESOH,SEDE COMUNITARIA,VARIAS JJVV DE LA UNIÓN COMUNAL COIHUECO,,SE APRUEBA
,GABRIEL MOLINA GARRIDO,,,,,,,,,,
,GABRIEL MOLINA GARRIDO,,,,,,,,,,
,GABRIEL MOLINA GARRIDO,,,,,,,,,,
,GABRIEL MOLINA GARRIDO,,,,,,,,,,
,GABRIEL MOLINA GARRIDO,,,,,,,,,,
,GABRIEL MOLINA GARRIDO,,,,,,,,,,
,GABRIEL MOLINA GARRIDO,,,,,,,,,,
,GABRIEL MOLINA GARRIDO,,,,,,,,,,
,GABRIEL MOLINA GARRIDO,,,,,,,,,,
,GABRIEL MOLINA GARRIDO,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Importante: Gabriel hacer seguimiento interno con respecto a los avances que han tenido las iniciativas, una vez que contemos con la informacion, informar a los dirigentes sobre el estado de estas.",,,,,,,,,,
