 Comuna , Código , Nombre Iniciativa , Unidad Técnica , Estado Iniciativa , Sub-Estado Iniciativa , Saldo 2026 
SAN CARLOS,40048227,MEJORAMIENTO DE MULTICANCHAS EN DIVERSOS SECTORES DE LA COMUNA DE SAN CARLOS,MUNICIPIO,EJECUCIÓN,AVANCE," $ 150,371 "
EL CARMEN,40056495,"CONSTRUCCIÓN CAMARINES SECTOR CAPILLA SUR, COMUNA EL CARMEN",MUNICIPIO,EJECUCIÓN,ADJUDICACIÓN," $ 150,095 "
PINTO,40064977,"CONSTRUCCIÓN CANCHA DE BABY FÚTBOL SECTOR EL ROSAL, COMUNA DE PINTO, COMUNA DE PINTO",MUNICIPIO,EJECUCIÓN,ADJUDICACIÓN," $ 148,911 "
COELEMU,40060781,"REPOSICIÓN SEDE JUNTA DE VECINOS MATADERO, COMUNA DE COELEMU",MUNICIPIO,EJECUCIÓN,AVANCE," $ 138,117 "
PINTO,40050210,"REPOSICIÓN SEDE SOCIAL DE LA JUNTA DE VECINOS DE LOMA ALTA, COMUNA DE PINTO",MUNICIPIO,EJECUCIÓN,AVANCE," $ 133,834 "
QUIRIHUE,40065583,"MEJORAMIENTO PLAZOLETA VILLA LLAIPEN, COMUNA DE QUIRIHUE",MUNICIPIO,EJECUCIÓN,AVANCE," $ 129,989 "
CHILLÁN VIEJO,40060697,"MEJORAMIENTO AREA VERDE VILLA LOS MAITENES RUCAPEQUÉN, CHILLÁN VIEJO",MUNICIPIO,EJECUCIÓN,AVANCE," $ 123,242 "
COBQUECURA,40045291,CONSTRUCCION CUBIERTA MULTICANCHA TAUCU COMUNA DE COBQUECURA,MUNICIPIO,EJECUCIÓN,ADJUDICACIÓN," $ 114,908 "
SAN NICOLÁS,40061965,"CONSTRUCCIÓN SISTEMA DE TELEVIGILANCIA E ILUMINACIÓN DIVERSOS SECTORES, COMUNA DE SAN NICOLÁS",MUNICIPIO,EJECUCIÓN,AVANCE," $ 111,672 "
COELEMU,40055289,"MEJORAMIENTO ESTADIO MUNICIPAL, COMUNA DE COELEMU",MUNICIPIO,EJECUCIÓN,AVANCE," $ 102,767 "
PINTO,40065036,"MEJORAMIENTO PLAZOLETA LAS TRANQUITAS, VALLE LAS TRANCAS, COMUNA DE PINTO",MUNICIPIO,EJECUCIÓN,AVANCE," $ 101,903 "
QUIRIHUE,40065585,"MEJORAMIENTO PLAZOLETAS VILLA EL PORVENIR, COMUNA DE QUIRIHUE.",MUNICIPIO,EJECUCIÓN,AVANCE," $ 95,518 "
COIHUECO,40064476,"CONSTRUCCIÓN ALUMBRADO PÚBLICO DIVERSOS SECTORES RURALES, COMUNA DE COIHUECO",MUNICIPIO,EJECUCIÓN,AVANCE," $ 92,225 "
EL CARMEN,40053643,"CONSTRUCCION CAMARINES CLUB UNIVERSIDAD CATOLICA SECTOR LOMA DE HORNO, EL CARMEN",MUNICIPIO,EJECUCIÓN,AVANCE," $ 91,910 "
YUNGAY,40065623,"REPOSICIÓN SEDE COMUNITARIA POBLACIÓN LA CONCEPCIÓN, COMUNA DE YUNGAY",MUNICIPIO,EJECUCIÓN,AVANCE," $ 85,298 "
COELEMU,30484149,CONSTRUCCION SEDE COMUNITARIA CLUB DE PESCA PLEAMAR,MUNICIPIO,EJECUCIÓN,AVANCE," $ 82,729 "
RÁNQUIL,40034154,AMPLIACIÓN EDIFICIO CONSISTORIAL COMUNA DE RÁNQUIL,MUNICIPIO,EJECUCIÓN,AVANCE," $ 68,000 "
CHILLÁN,40062261,"MEJORAMIENTO COMEDOR, COCINA Y DESPENSA, ESCUELA ARTURO MUTIZABAL, CHILLÁN",MUNICIPIO,EJECUCIÓN,ADJUDICACIÓN," $ 54,444 "
ÑIQUÉN,40062019,INSTALACION LUMINARIAS EN DIFERENTES JUNTAS DE VECINOS DE LA COMUNA DE ÑIQUEN,MUNICIPIO,EJECUCIÓN,AVANCE," $ 31,780 "
YUNGAY,40059757,CONSTRUCCION SISTEMA DE CÁMARAS DE VIGILANCIA E ILUMINACIÓN PÚBLICA DIVERSOS SECTORES YUNGAY,MUNICIPIO,EJECUCIÓN,AVANCE," $ 29,378 "
YUNGAY,40021865,CONSTRUCCIÓN  EXTENSIÓN Y MEJORAMIENTO ALUMBRADO PÚBLICO DIVERSOS SECTORES COMUNA DE YUNGAY,MUNICIPIO,EJECUCIÓN,AVANCE," $ 17,072 "
CHILLÁN,40040887,"MEJORAMIENTO CENTRO SOCIAL COLEGIO DE PROFESORES, CHILLÁN",MUNICIPIO,EJECUCIÓN,AVANCE," $ 11,836 "
,,,,,," $ 4,983,949 "
