ENROCADO,,,,,,,,,,,,,,,,,,,,,,
C,VIA RECEPCIÓN,NÚMERO DOCUMENTO,TIPO DE DOCUMENTO,FECHA DOCUMENTO,FECHA RECEPCIÓN,FECHA DE ENTREGA,REMITENTE,DESTINATARIO,MATERIA,VIA DISTRIBUCIÓN,ADJUNTO,DERIVADO A: (DIVISIÓN),RECEPCIONADO POR,FECHA,FIRMA,Responsable,Medio derivación,FECHA,Respuesta si/no,Instrucción,Plazo,Observación
5818,DOC DIGITAL ,395,OFICIO,26-12-24,26-12-24,03-01-25,MINISTERIO DE RELACIONES EXTERIORES ,SEGUN DISTRIBUCION,"1)OFICIO MINISTERIO DE RR.EE N°2549, DE 05-04-2023",DOC DIGITAL ,,JEFES DE DIVISION ,,,,,,,,,,
5817,DOC DIGITAL ,190,OFICIO,27-12-24,27-12-24,03-01-25,"DE: SCARLET HIDALGO JARA, SEREMI DE LAS CULTURAS LAS ARTES Y EL PATRIMONIO.","SR. ÓSCAR CRISÓSTOMO LLANOS, GOBERNADOR REGIONAL DE ÑUBLE",FINANCIAMIENTO PROGRAMA PARA EL DESARROLLO CREATIVO Y RUTAS CULTURALES EN ÑUBLE.,DOC DIGITAL ,FICHA IDI,ANALISIS Y EVALUACION,OSCAR DIAZ,,,,,,,,,
5816,DOC DIGITAL ,53,OFICIO,23-12-24,26-12-24,03-01-25,SRA. MACARENA DÁVILA VERA DIRECTORA REGIONAL CORPORACIÓN DE FOMENTO DE LA PRODUCCIÓN - ÑUBLE,OSCAR CRISÓSTOMO LLANOS GOBERNADOR REGIONAL REGIÓN DE ÑUBLE,SOLICITA DESIGNAR TITULAR Y SUPLENTE QUE INDICA PARA PARTICIPAR COMO CONSEJEROS DEL COMITÉ DE DESARROLLO PRODUCTIVO DE ÑUBLE.,DOC DIGITAL ,,DIPLADE,PABLO SAN MARTIN ,,,,,,,,,
5815,EMAIL ,SN,CORREO ELECTRONICO ,02-01-25,02-01-25,03-01-25,"CATALINA CANDIA MELLA
EJECUTIVA FINANCIERA PROGRAMA FNDR SERCOTEC 
",GOBIERNO REGIONAL DE ÑUBLE ,"INFORMA ANEXOS DE LICITACIONES NO ADJUDICADAS, RECLAMACIONES DE TERCEROS Y, PROGRAMACIÓN FLUJOS DE FONDOS Y RENDICIONES, PRESUPUESTO 2024, CUARTO TRIMESTRE; PROGRAMAS CÓDIGOS BIP 40056384-0 Y 40047028-0
",EMAIL ,,DIFOI ,ELIAS JARA ,,,,,,,,,
5814,CASILLA,17238,OFICIO,17-12-24,02-01-25,02-01-25,"SYLVIA NAVARRO ESPINOZA
JEFA DEPARTAMENTO FINANZAS
SUBSECRETARÍA DE TELECOMUNICACIONES","OSCAR CRISOSTOMO LLANOS GOBERNADOR REGIONAL, GOBIERNO REGIONAL DE ÑUBLE","REMITE INFORME RENDICION DE CUENTAS, NOVIEMBRE 2024, TRANSFERENCIA FONDOS DE DESARROLLO DE LAS TELECOMUNICACIONES FIBRA OPTICA ÑUBLE - ULTIMA MILLA",PAPEL,,UCR ,JORGE PINO ,,,,,,,,,
5813,CASILLA,202499101972,RESOLUCION EXENTA,04-12-24,02-01-25,02-01-25,VALENTINA DURAN MEDINA DIRECTORA EJECUTIVA SERVICIO DE EVALUACION AMBIENTAL,GOBIERNO REGIONAL DE ÑUBLE ,"RESUELVE RECURSO DE RECLAMACION ANTINGENTE AL PROYECTO, REGULARIZACION AMBIENTAL Y AMPLIACION DEL PLANTEL DE GALLINAS PONEDORAS DEL FUNDO EL PORVENIR Y FUNDO LA MERCED, CUYO PPROPONENTE ES FELIPE ANTONIO REYES CORVALAN",PAPEL,,DIPLADE ,PABLO SAN MARTIN ,,,,,,,,,
5812,CASILLA,8432,OFICIO,16-12-24,02-01-25,02-01-25,"SUSANA BAEZA LAGOS DIRECTORA ADMINISTRACION Y FINANZAS , MUNICIPALIDAD DE CHILLAN",GOBIERNO REGIONAL DE ÑUBLE ,"ENVIA RENDICION DE PROYECTOS FNDR ÑUBLE, NOVIEMBRE 2024, - 01 PROPORCIONAR AYUDA TECNICA PARA LA POBLACION QUE SE ENCUEBTRA  EN SITUCION DE DISCAPACIDAD, AGOSTO- NOVIEMBRE 2022,   -02 CHILLAN CIRCULA TRABAJANDO JUNTOS  GESTION DE RESIDUOS,    - 03. CONSTRUCCION SEDE SOCIAL SAN CRISTOBAL, CHILLAN,   - 04 CONSTRUCCION Y REPOSICION  VEREDA NORTE AVENIDA ECUADOR CHILLAN,  -05 CONSTRUCCION SEDE SOCIAL LA DEFENSA CHILLAN ",PAPEL,,DIPIR ,CRISTIAN JAQUE ,,,,,,,,,
5811,CASILLA,964,OFICIO,10-12-24,02-01-25,02-01-25,EDUARDO REDLICH ALCALDE COMUNA DE QUIRIHUE,"OSCAR CRISOSTOMO LLANOS GOBERNADOR REGIONAL, GOBIERNO REGIONAL DE ÑUBLE","REMITE COMPROBANTE INGRESOS, ORDENES DE INGRESOS N°3177-254, CONVENIO TRANSFERENCIA CONSTRUCCION PUNTO DE ABASTECIMIENTO DE AGUA  Y REPARACION DE CAMINOS,COMUNA QUIRIHUE, CODIGO BIP 40058408-0",PAPEL,,DIPIR ,CRISTIAN JAQUE ,,,,,,,,,
5810,CASILLA,963,OFICIO,10-12-24,02-01-25,02-01-25,EDUARDO REDLICH ALCALDE COMUNA DE QUIRIHUE,"OSCAR CRISOSTOMO LLANOS GOBERNADOR REGIONAL, GOBIERNO REGIONAL DE ÑUBLE","REMITE COMPROBANTE DE INGRESOS, ORDENES DE INGRESOS N°3168-110 Y N°3169-111, - CONVENIO DE TRANSFERENCIA , CONTRUCCION  ZONA DE JUEGOS INFANTILES PLAZA DE ARMAS, COMUNA QUIRIHUE CODIGO BIP 40051203-0- CONVENIO TRANSFERENCIA, CONSTRUCCION  ZONA DE JUEGOS INFANTILES PLAZA DE ARMAS, COMUNA QUIRIHUE, CODIGO BIP 40051203-0",PAPEL,,,,,,,,,,,,
5809,CASILLA,962,OFICIO,10-12-24,02-01-25,02-01-25,EDUARDO REDLICH ALCALDE COMUNA DE QUIRIHUE,"OSCAR CRISOSTOMO LLANOS GOBERNADOR REGIONAL, GOBIERNO REGIONAL DE ÑUBLE","REMITE COMPROBANTE DE INGRESO, ORDENES DE INGRESOS N°3167-251, CONVENIO DE TRANSFERENCIA DE RECURSOS ESTADO DE PAGO N°1, REPARACION  DE CAMINOS, COMUNA DE QUIRIHUE",PAPEL,,DIPIR ,CRISTIAN JAQUE ,,,,,,,,,
5808,CASILLA,S/N,CARTA,27-12-24,02-01-25,02-01-25,ENBAJADA DE ESTADOS UNIDOS EN CHILE,"OSCAR CRISISTOMO LLANOS GOBERNADOR REGIONAL, GOBIERNO REGIONAL DE ÑUBLE","FELICITACIONES POR LOS LOGROS  ESTADOS UNIDOS Y CHILE  2024, AGRADECIMIENTOS POR LA AMISTAD ",PAPEL,,GABINETE ,CAROLINA CEPEDA ,,,,,,,,,
5807,CASILLA,S/N,PLANILLA DE PAGO COTIZACIONES AHORRO PREVISIONAL,27-12-24,02-01-25,02-01-25,BICE VIDA ,CLARA TOLEDO CORTES,PLANILLA DE PAGO DE COTIZACIONES  AHORRO PREVISIONAL VOLUNTARIO ENERO 2025,PAPEL,,DAF,CLARA TOLEDO,,,,,,,,,
5806,CASILLA,640,OFICIO,30-09-24,02-01-25,02-01-25,SANDRA TORRES SILVA ALCALDE /S) QUIRIHUE,"OSCAR CRISOSTOMO LLANOS GOBERNADOR REGIONAL, GOBIERNO REGIONAL DE ÑUBLE","REMITE COMPROBANTE  DEPOSITO DIRECTO, ORDEN DE INGRESO N°14436-84, CORRESPONDIENTE A SUBVENCION DE ASIGNACION  DIRECTA 2024 II FIESTA PATRIMONIAL DE LA CHILENIDAD QUIRIHUE 2024 CODIGO  CVC-AD-21",PAPEL,,DIDESOH ,YAMILET REYES ,,,,,,,,,
5805,CASILLA,S/N,CARTA,26-12-24,31-12-24,02-01-25,MUHAMMAD ASSHOR ENBAJADOR DE LA REPUBLICA DE INDONESIA EN CHILE,GOBIERNO REGIONAL DE ÑUBLE ,SALUDOS DE UN PROSPERO AÑO 2025,PAPEL,,GABINETE ,CAROLINA CEPEDA ,,,,,,,,,
5804,EMAIL ,340,OFICIO ,02-01-25,02-01-25,02-01-25,"JUAN SALVADOR RAMIREZ NOVA
DIRECTOR REGIONAL
DIRECCIÓN REGIONAL ÑUBLE"," SEÑOR OSCAR CRISÓSTOMO LLANOS GOBERNADOR
REGIONAL GOBIERNO REGIONAL DE ÑUBLE",ENVIO DOCUMENTACIÓN ADQUISICIÓN DE CUATRIMOTOS -COD. BIP40059029-0,EMAIL ,,DIT ,DANIELA CRISOSTOMO ,,,,,,,,,
5803,EMAIL ,1312,OFICIO ,23-12-24,02-01-25,02-01-25,"SR. VICTOR RAMON TORO LEIVA
ALCALDE MUNICIPALIDAD DE SAN NICOLAS","SR. OSCAR CRISOSTOMO LLANOS
GOBERNADOR REGIONAL DE ÑUBLE","REMITE FORMATO SUBSANACION PROYECTOS VIA
FRIL CON OBSERVACIONES SUBSANADAS PROYECTO
“CONSTRUCCION AULAS TALLERES EXTRAESCOLAR
LICEO BICENTENARIO TECNICO PUENTE ÑUBLE, SAN
NICOLAS”, CODIGO 40065797-0",EMAIL ,,ANALISIS Y EVALUACION ,OSCAR DIAZ ,,,,,,,,,
5802,EMAIL ,394,OFICIO ,30-12-24,31-12-24,31-12-24,JORGE DEL POZO PASTENE ALCALDE CHILLAN VIEJO ,ROLANDO GASSET ESPINOZA ,REMITE PROYECTO FRIL QUE POSTULA A FINANCIAMIENTO 2024.,EMAIL ,,ANALISIS Y EVALUACION ,ROLANDO GASSET,,,,,,,,,
5801,EMAIL ,E585732,OFICIO ,30-12-24,31-12-24,31-12-24,CONTRALORIA GENERAL DE LA REPUBLICA,GOBERNADOR REGIONAL DE ÑUBLE SR. ÓSCAR CRISÓSTOMO LLANOS ,"TOMA CONOCIMIENTO DEL OFICIO
N° 466 DE 2024, DEL GOBIERNO
REGIONAL DE ÑUBLE.",EMAIL ,,JUR - ADM - GAB,,,,,,,,,,
5800,EMAIL ,E585730,OFICIO ,30-12-24,31-12-24,31-12-24,CONTRALORIA GENERAL DE LA REPUBLICA,GOBERNADOR REGIONAL DE ÑUBLE SR. ÓSCAR CRISÓSTOMO LLANOS ,"TOMA CONOCIMIENTO DEL OFICIO
N° 466 DE 2024, DEL GOBIERNO
REGIONAL DE ÑUBLE.",EMAIL ,,JUR - ADM - GAB,,,,,,,,,,
5799,EMAIL ,338,OFICIO ,27-12-24,27-12-24,31-12-24,DIRECTOR REGIONAL DIRECCIÓN REGIONAL ÑUBLE OR.XVI,"SEÑOR OSCAR CRISÓSTOMO LLANOS GOBERNADOR
REGIONAL GOBIERNO REGIONAL DE ÑUBLE","SOLICITUD DE PRIMERA TRANSFERENCIA GESTORES DE LA PREVENCIÓN ANTE INCENDIOS FORESTALES DE LA REGIÓN DE ÑUBLE” CÓD. BIP 40059053-0, RESOLUCIÓN A 4B N° 00145/13.11.2024",EMAIL ,,DIT,DANIELA CRISOSTOMO,,,,,,,,,
5798,EMAIL ,451,CARTA,24-12-24,27-12-24,31-12-24,CLAUDIA SOTZ PANTOJA JEFA DEPARTAMENTO DE FINANZAS Y EMPRESAS PUBLICAS DIRECCION DE PRESUPUESTO ,GOBERNADOR REGIONAL DE ÑUBLE SR. ÓSCAR CRISÓSTOMO LLANOS ,OFICIO 1722 DEL 21.12.2024 DEL GOBIERNO REGIONAL DE ÑUBLE,EMAIL ,,DAF,PABLO GUTIERREZ,,,,,,,,,
5797,EMAIL ,1180,OFICIO ,18-12-24,30-12-24,31-12-24,ALCALDE DE LA COMUNA DE SAN CARLOS,GOBERNADOR REGIONAL DE ÑUBLE SR. ÓSCAR CRISÓSTOMO LLANOS ,SOLICITA DEPOSITO REMESA PARA CANCELACION ESTADO DE PAGO N°4,EMAIL ,,DIPIR,JAVIER BRITO ,,,,,,,,,
5796,EMAIL ,S/N,RECLAMO,29-12-24,29-12-24,31-12-24,AURORA FRITZ,GOBIERNO REGIONAL DE ÑUBLE ,RECLAMO FORMAL PARQUE LANTAÑO CANCHAS DE FUTBOL / SECTOR CIRCO,EMAIL ,,JUR - GAB - ADM,,,,,,,,,,
5795,EMAIL ,8595,OFICIO ,27-12-24,31-12-24,31-12-24,CAMILO BENAVENTE JIMENEZ ALCALDE DE CHILLÁN MUNICIPALIDAD DE CHILLÁN,ÓSCAR CRISÓSTOMO LLANOS GOBERNADOR REGIONAL REGIÓN DE ÑUBLE,"ENVÍA ANTECEDENTES CORRESPONDIENTES A SEGUNDO ESTADO DE PAGO DE LA OBRA DE PROYECTO “CONSTRUCCIÓN GRADERÍAS MEDIALUNA SECTOR EL MANZANO, SAN NICOLÁS” ID 1493- 85-LQ24-",EMAIL ,,DIPIR,JAVIER BRITO,,,,,,,,,
5794,EMAIL ,940,OFICIO ,30-12-24,31-12-24,31-12-24,SR. JAIRO DEL PINO LEMA ALCALDE DE LA COMUNA ,GOBERNADOR REGIONAL DE ÑUBLE SR. ÓSCAR CRISÓSTOMO LLANOS ,"SOLICITUD SEGUNDO ESRTADO DE PAGO OBRA ""CONSTRUCCION SALA CONTROL Y OBRAS COMPLEMTARIAS PEAS, COMUNA DE PINTO"" COIDO BIO 40065852-0",EMAIL ,,DIPIR,EMILIANO DOMINGUEZ,,,,,,,,,
5793,DOC DIGITAL ,1326,OFICIO ,31-12-24,31-12-24,31-12-24,ALCALDE COMUNA DE SAN NICOLAS SR. VICTOR TORO LEIVA.,GOBERNADOR REGIONAL DE ÑUBLE SR. ÓSCAR CRISÓSTOMO LLANOS ,"ENVÍA ANTECEDENTES CORRESPONDIENTES A SEGUNDO ESTADO DE PAGO DE LA OBRA DE PROYECTO “CONSTRUCCIÓN GRADERÍAS MEDIALUNA SECTOR EL MANZANO, SAN NICOLÁS” ID 1493- 85-LQ24-",DOC DIGITAL ,,DIPIR,CAROLINA SEREY ,,,,,,,,,
5792,PAPEL,543,OFICIO ,30-12-24,31-12-24,02-01-25,GONZALO P. MELLA REYES ALCALDE (S) COMUNA DE ÑIQUEN ,GOBERNADOR REGIONAL DE ÑUBLE SR. ÓSCAR CRISÓSTOMO LLANOS ,"AUMENTO DE OBRA ""CONSTRUCCION PISCINAS ACUMULADORAS DE AGUA EN 6 SECTORES DE LA COMUNA DE ÑIQUEN, PARA COMBATIR INCENDIOS ",PAPEL,,DIPIR ,CRISTIAN JAQUE ,,,,,,,,,
5791,PAPEL,5835,DECRETO,30-12-24,31-12-24,02-01-25,GONZALO P. MELLA REYES ALCALDE (S) COMUNA DE ÑIQUEN ,GOBIERNO REGIONAL DE ÑUBLE ,"APRUEBA AUMENTO DE PLAZO SIN MULTA PROYECTO ""CONSTRUCCION PISCINAS ACUMULADORAS DE AGUA EN 6 SECTORES DE ÑIQUEN PARA COMBATIR INCENDIOS ",PAPEL,,DIPIR ,CRISTIAN JAQUE ,,,,,,,,,
5790,EMAIL ,851,OFICIO ,21-11-24,30-12-2024,31-12-24,ROBERT BETANCOURT VASQUEZ ALCALDE (S) MUNICIPALIDAD DE PINTO ,SR. OSCAR CRISOSTOMO LLANOS GOBERNADOR REGION DE ÑUBLE,"SOLICITUD PRIMER ESTADO DE PAGO DE OBRA ""CONSTRUCCION SALA DE CONTROL Y OBRAS COMPLEMENTARIAS, PEAS, COMU",EMAIL ,,DIPIR ,CRISTIAN JAQUE ,,,,,,,,,
5789,PAPEL,265,OFICIO ,26-12-24,31-12-24,02-01-25,FACULTAD DE CIENCIAS FISICAS Y MATEMATICAS UNIVERSIDAD DE CHILE ,HECTOR BASUALTO DIVISION DE FOMENTO E INDUSTRIA ,ENVIO RENDICION NOVIEMBRE 2024 PROYECTO BIP 40050616,PAPEL,,UCR ,JORGE PINO ,,,,,,,,,
5788,PAPEL,SN,REVISTA ,27-12-24,27-12-24,02-01-25,CITS CAMARA DE COMERCIO ,GOBIERNO REGIONAL DE ÑUBLE ,REVISTA COMERCIO DE ÑUBLE ,PAPEL,,GABINETE ,CAROLINA CEPEDA ,,,,,,,,,
5787,PAPEL,SN,INVITACION ,27-12-24,27-12-24,02-01-25,CLUB DE RODEO CHILENO CATO ,GOBIERNO REGIONAL DE ÑUBLE ,SOLICITA COOPERACION PARA LA REALIZACION DEL RODEO OFICIAL PARA LOS DIAS 11 Y 12 DE ENERO DE 2025,PAPEL,,GABINETE ,CAROLINA CEPEDA ,,,,,,,,,
5786,PAPEL,SN,INVITACION ,30-12-24,30-12-24,02-01-25,CONJUNTO FOLCLORICO SAN IGNACIO ,SR. OSCAR CRISOSTOMO LLANOS GOBERNADOR REGION DE ÑUBLE,INVITACION A CIERRE DE PROYECTO ,PAPEL,,GABINETE ,CAROLINA CEPEDA ,,,,,,,,,
5785,PAPEL,SN,INVITACION ,30-12-24,30-12-24,02-01-25,CONJUNTO FOLCLORICO SAN IGNACIO ,ANDRES LAVANDEROS ,INVITACION A CIERRE DE PROYECTO ,PAPEL,,DIDESOH ,GABRIEL MOLINA ,,,,,,,,,
5784,PAPEL,SN,INVITACION ,30-12-24,30-12-24,02-01-25,CONJUNTO FOLCLORICO SAN IGNACIO ,CESAR NAVARRETE ,INVITACION A CIERRE DE PROYECTO ,PAPEL,,DIDESOH ,GABRIEL MOLINA ,,,,,,,,,
5783,PAPEL,SN,OFICIO ,30-12-24,30-12-24,02-01-25,RODRIGO ALVAREZ ESPEJO PHOS-CHEK GERENTE GENERAL ,SR. OSCAR CRISOSTOMO LLANOS GOBERNADOR REGION DE ÑUBLE,LICITACION ID: 1155683-22-LR23,PAPEL,,DIPIR ,CRISTIAN JAQUE ,,,,,,,,,
5782,PAPEL,62,OFICIO,27-12-24,27-12-24,03-01-25,DANIELA VERGARA TAPIA DIRECTOR REGIONAL (S) SERCOTEC REGION DE ÑUBLE ,SR. OSCAR CRISOSTOMO LLANOS GOBERNADOR REGION DE ÑUBLE,"INFORMA SEGUN CONVENIO PROGRAMA 40056384 ""PRIMER COMPROBANTE DE INGRESO PROGRAMA TRANSFERENCIA PROGRAMAS ESPECIALES DE FOMENTO PRODUCTIVO PARA LA REGION DE ÑUBLE"" ",PAPEL,,DIFOI ,ELIAS JARA ,,,,,,,,,
5781,PAPEL,566,OFICIO,23-12-24,23-12-24,02-01-25,SRA KARINA LUENGO V. GERENTE SEDE BIOBIO-ÑUBLE ,RAUL SUNICO G. JEFE DIVISION FOMENTO E INDUSTRIA GORE ÑUBLE  ,INFORMA INCORPORACION A EQUIPO DE TRABAJO FIC 40025878,PAPEL,,DIFOI ,ROBERTO BAEZA ,,,,,,,,,
5780,PAPEL,SN,OFICIO,23-12-24,26-12-24,30-12-24,DIANA MARQUEZ LOPEZ ENEL X CHILE SPA,SR. OSCAR CRISOSTOMO LLANOS GOBERNADOR REGION DE ÑUBLE,"PRESENTA ESTADO DE PAGO N°2 DE OBRA  ""ADQUISICION DE CAMARAS DE TELEVIGILANCIA REGION DE ÑUBLE"" LICITACION ID 1036569-18-LR23 COD BIP 40016354",PAPEL,,DIT ,PAOLA SEPULVEDA ,,,,,,,,,
5779,PAPEL,717,OFICIO,19-12-24,26-12-24,30-12-24,RODRIGO PALOMO VELEZ VICERRECTOR ACADEMICO UNIVERSIDAD DE TALCA ,SR. OSCAR CRISOSTOMO LLANOS GOBERNADOR REGION DE ÑUBLE,"SOLICITA REEVALUACION DE PROYECTO ""RECARGA DE MOZO CON AGUA LLUVIA PARA USO AGRICOLA"" COD BIP 40050637",PAPEL,,DIT ,PAOLA SEPULVEDA ,,,,,,,,,
5778,PAPEL,38768,OFICIO,26-12-24,27-12-24,30-12-24,JAVIER ISLA FIGUEROA SECRETARIO REGIONAL MINISTERIAL DE TRANSPORTE Y TELECOMUNICACIONES REGION DE ÑUBLE ,SR. OSCAR CRISOSTOMO LLANOS GOBERNADOR REGION DE ÑUBLE,"SOLICITA FIRMA DE 15 CERTIFICADOS PROGRAMA ESPECIAL DE RENOVACION DE BUSES, MINIBUSES, TROLEBUSES Y TAXIBUSES AÑO 2024",PAPEL,,DIT ,PAOLA SEPULVEDA ,,,,,,,,,
5777,PAPEL,38767,OFICIO,26-12-24,27-12-24,30-12-24,JAVIER ISLA FIGUEROA SECRETARIO REGIONAL MINISTERIAL DE TRANSPORTE Y TELECOMUNICACIONES REGION DE ÑUBLE ,SR. OSCAR CRISOSTOMO LLANOS GOBERNADOR REGION DE ÑUBLE,"ENVIA 25 CERTIFICADOS MODIFICADOS PARA EL PROGRAMA ESPECIAL DE RENOVACION DE BUSES, MINIBUSES, TROLEBUSES Y TAXIBUSES AÑO 2024 Y SOLICITA REFRENDACION DE ESTOS ",PAPEL,,DIT ,PAOLA SEPULVEDA ,,,,,,,,,
5776,PAPEL,SN,CONTRATO+BOLETAS DE GARANTIA ,27-12-24,27-12-24,30-12-24,FINNING CHILE S.A ,GOBIERNO REGIONAL DE ÑUBLE ,CONTRATO LICITACION PUBLICA Y BOLETAS DE GARANTIA DEL BANCO DE CHILE N°820160-2 POR UN MONTO DE $347.925.065-BOLETA N°120202 POR $195.264.492 Y BOLETA N°820159-8 POR UN MONTO DE $191.237.760,PAPEL,,DIT ,PAOLA SEPULVEDA ,,,,,,,,,
5775,PAPEL,676,OFICIO,30-12-24,30-12-24,30-12-24,CRISTOFER VALDES GONZALES ALCALDE COMUNA DE SAN FABIAN ,SR. OSCAR CRISOSTOMO LLANOS GOBERNADOR REGION DE ÑUBLE,INGRESA BOLETA DE GARANTIA POR FIEL CUMPLIMIENTO DE CONTRATO DIRECTO 4253-10-SE24 PERTENECIENTE A LA MUNICIPALIDAD DE SAN FABIAN ,PAPEL,,DIT ,PAOLA SEPULVEDA ,,,,,,,,,
5774,PAPEL,14,OFICIO,19-12-24,27-12-24,31-12-24,CLAUDIO CONCHA NAVALON VICERRECTOR SEDE CONCEPCION UNIVERSIDAD SAN SEBASTIAN ,SR. OSCAR CRISOSTOMO LLANOS GOBERNADOR REGION DE ÑUBLE,"INFORME MENSUAL ""TURISMO RURAL PATRIMONIAL VALLE DEL ITATA"" COD BIP 40035947",PAPEL,,UCR ,,,,,,,,,,
