,RESPONSABLE,DE,FOLIO,FECHA DOCTO,PARA:,MATERIA,FIRMA,VÍA DESPACHO,FECHA ENTREGA,OBSERVACIONES,FIRMA RECEPCIÓN,LINK AL DOCUMENTO,
,pnj,DIT ,01220,27-12-2024,UNIDAD DE CONTROL DE RENDICIONES,"ENVÍA RENDICIÓN DE CUENTAS PROGRAMA CÓDIGO BIP 40035951-0, MES DE NOVIEMBRE 2024.",CRISTIAN QUIROZ REYES JEFE DIVISIÓN DE INFRAESTRUCTURA Y TRANSPORTES,DOCDIGITAL,,,,https://drive.google.com/file/d/1MZzzFeL13NJhvPARG02qLHRkDLYpsmKP/view?usp=drive_link,
,psp,DIPIR ,01219,27-12-2024,SR. ÓSCAR DÍAZ DÍAZ COORDINADOR DEPARTAMENTO DE ANÁLISIS Y EVALUACIÓN,"SOLICITA REEVALUACIÓN DE PROYECTO “CONSTRUCCIÓN EQUIPAMIETNO COMUNITARIO SE SEGURIDAD, DIVERSOS SECTORES COMUNA DE QUILLÓN”, CÓDIGO BIP 40060964-0.",JUAN PARADA GONZÁLEZ JEFE DE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL,DOCDIGITAL,,,,https://drive.google.com/file/d/176sg3d2rZgiIbduAMIdJ1juV3yPM8SLL/view?usp=drive_link,
,chl,DIT,01218,27-12-2024,ALICIA CONTRERAS VIELMA JEFA DE DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS (S),"SOLICITA PAGOS DEL PRIMER LOTE APROBADAS DEL PROGRAMA DE MODERNIZACIÓN PARA LA RENOVACIÓN DE TAXIS COLECTIVOS, CONVOCATORIA 2024.",CRISTIAN QUIROZ REYES JEFE DE DIVISIÓN INFRAESTRUCTURA Y TRANSPORTES,DOCDIGITAL,,,,https://drive.google.com/file/d/11fnyjAQVlcTJTzbyicdy4T5Ho5pcCpp3/view?usp=drive_link,
,iah,DAF,01217,26-12-2024,SRA. ALICIA CONTRERAS VIELMA JEFA DE DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS (S)  GOBIERNO REGIONAL DE ÑUBLE,COMPRA DE EXTINTORES ,HECTOR VILLABLANCA FONSECA ENCARGADO DE SERVICIOS GENERALES ,DOCDIGITAL,27-12-2024,,,https://drive.google.com/file/d/1vGpQUFxyWhrR1kokh01iMGIeE2T7r3Wx/view?usp=drive_link,
,jpch,,01216,26-12-2024,,,,,,,,,
,jpch,,01215,26-12-2024,,,,,,,,,
,iah,DAF,01214,26-12-2024,SRA. ALICIA CONTRERAS VIELMA JEFA DE DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS (S) GOBIERNO REGIONAL DE ÑUBLE,COMPRA DE SILLAS PARA CASINO GORE,HECTOR VILLABLANCA SERVICIOS GENERALES GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,,,,https://drive.google.com/file/d/1okw6poYtD1H9swHCLD0jUMw5uUEBaNtZ/view?usp=drive_link,
,iah,DAF,01213,26-12-2024,SRA. ALICIA CONTRERAS VIELMA JEFA DE DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS (S) GOBIERNO REGIONAL DE ÑUBLE,COMPRA DE SERVICIO DE ASEO PARA SUBTERRANEO EDIFICIOS PUBLICOS,HECTOR VILLABLANCA SERVICIOS GENERALES GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,,,,https://drive.google.com/file/d/1vaAAODTv6XbIXtKY7O5l7Fvx5iVqjuCK/view?usp=drive_link,
,hvf,DAF,01212,26-12-2024,SRA. ALICIA CONTRERAS VIELMA JEFA DE DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS (S) GOBIERNO REGIONAL DE ÑUBLE,COMPRA DE PEDESTAL DISPENSADOR DE AGUA,HECTOR VILLABLANCA SERVICIOS GENERALES GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,,,,https://drive.google.com/file/d/1BKL6_4ZYPwYEVZz4yRn8e8ecmPsqHiRh/view?usp=drive_link,
,pta,DIPIR,01211,26-12-2024,SRA. ALICIA CONTRERAS VIELMA JEFA DE DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS (S) GOBIERNO REGIONAL DE ÑUBLE,"REMITE CERTIFICADO DE FIANZA N° FOLIO B0196230 MASAVAL GARANTÍA CORRECTA EJECUCIÓN DE LA OBRA. “CONSTRUCCION CANCHA DE PASTO SINTETICO SECTOR LLAHUEN, COMUNA DE PORTEZUELO SEGUNDO LLAMADO. CÓDIGO BIP 40049625 ID 3594-4-LR24. CHILLÁN",JUAN PARADA GONZALEZ JEFE DE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,,,,https://drive.google.com/file/d/1mehKzdb9mygTm2oiOSogD-GfEbVBeTAt/view?usp=drive_link,
,cnr,DIFOI ,01210,26-12-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION MES DE OCTUBRE PROGRAMA ""TRANSFERENCIA DE APOYO A FERIANTES DE LA REGION DE ÑUBLE"" COD BIP 40038746",RAUL SÚNICO GALDAMES JEFE DIVISIÓN DE FOMENTO E INDUSTRIA,PAPEL,,,,https://drive.google.com/file/d/1CDtGgpDQHu4JfaZbw6iMQ4PtBVWzuLMY/view?usp=drive_link,
,cnr,DIFOI ,01209,26-12-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION MES DE NOVIEMBRE PROGRAMA ""TRANSFERENCIA DE APOYO A FERIANTES DE LA REGION DE ÑUBLE"" COD BIP 40038746+",RAUL SÚNICO GALDAMES JEFE DIVISIÓN DE FOMENTO E INDUSTRIA,PAPEL,,,,https://drive.google.com/file/d/1vP5LsLPDIeVSlhu6Xp7q9OFJ5M1F1e9Y/view?usp=drive_link,
,cnr,DIFOI ,01208,26-12-2024,UNIDAD DE CONTROL DE RENDICIONES,RENDICION MES DE OCTUBRE 2024 CENTRO INTEGRAL DE LA MUJER COMUNA DE BULNES ,RAUL SÚNICO GALDAMES JEFE DIVISIÓN DE FOMENTO E INDUSTRIA,PAPEL,,,,https://drive.google.com/file/d/1Vn7dZQR7xH1IhDIwwesEgr2GFmvY03E5/view?usp=drive_link,
,jzp,DIFOI ,01207,26-12-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION MES DE NOVIEMBRE 2024 ""TRANSFERENCIA MANEJO HIDRICO SUSTENTABLE DEL CULTIVO DE ARROZ "" COD BIP 40032593",RAUL SÚNICO GALDAMES JEFE DIVISIÓN DE FOMENTO E INDUSTRIA,PAPEL,,,,https://drive.google.com/file/d/1x0ZaRjy_HBPLZ284l0LaCqffRKmvql80/view?usp=drive_link,
,jzp,DIFOI ,01206,26-12-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS MES DE NOVIEMBRE 2024 PROGRAMA ""TRANSFERENCIA GIRA Y FERIA INTERNACIONAL CHILLAN COPENHAGUE-ALUMNOS COMUNA DE CHILLAN ",RAUL SÚNICO GALDAMES JEFE DIVISIÓN DE FOMENTO E INDUSTRIA,PAPEL,,,,https://drive.google.com/file/d/1jSwLJQkyQaS4U09goOubYOG0FPo96C02/view?usp=drive_link,
,psp,DIT,01205,26-12-2024,SRA. ALICIA CONTRERAS VIELMA JEFA (S) DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS GOBIERNO REGIONAL DE ÑUBLE,SIN MATERIA,CRISTIAN QUIROZ REYES JEFE DIVISIÓN INFRAESTRUCTURA Y TRANSPORTE GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,,,,https://drive.google.com/file/d/1ud3iOrkkpjCGHKb6Q5XRS6rz8Fdvj65-/view?usp=drive_link,
,cjg,DIPIR,01204,24-12-2024,SRA. ALICIA CONTRERAS VIELMA JEFA DE DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS (S) GOBIERNO REGIONAL DE ÑUBLE,"REMITE BOLETA DE GARANTÍA # 154009 “ADQUISICION ECOGRAFO SERVICIO GINECOLOGIA Y OBSTETRICIA HSC”, CÓDIGO BIP 40029931-0 ID 1180937-18-LP24.",JUAN BERNARDO PARADA GONZALEZ JEFE DE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,,,,https://drive.google.com/file/d/13nW0-p7GFCDzD5ctp0LA9SV1nZIGwYqh/view?usp=drive_link,
,cnr,DIFOI ,01203,24-12-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS MES DE OCTUBRE 2024 PROGRAMA ""TRANSFERENCIA CENTRO INTEGRAL DE LA MUJER COMUNA DE YUNGAY""",RAUL SÚNICO GALDAMES JEFE DIVISIÓN DE FOMENTO E INDUSTRIA,PAPEL,30-12-2024,,,,
,cnr,DIFOI ,01202,24-12-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS MES N°4 PROGRAMA ""TRANSFERENCIA DESARROLLO DE UN SISTEMA AGROFOTOVOLTAICO """,RAUL SÚNICO GALDAMES JEFE DIVISIÓN DE FOMENTO E INDUSTRIA,PAPEL,30-12-2024,,,,
,cnr,DIFOI ,01201,24-12-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS MES DE OCTUBRE 2024 PROGRAMA ""TRANSFERENCIA AGRICULTURA SOSTENIBLE: DEL RESIDUO A LA ENMIENDA ",RAUL SÚNICO GALDAMES JEFE DIVISIÓN DE FOMENTO E INDUSTRIA,PAPEL,30-12-2024,,,,
,cnr,DIFOI ,01200,24-12-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS MES DE SEPTIEMBRE 2024 PROGRAMA ""TRANSFERENCIA AGRICULTURA SOSTENIBLE: DEL RESIDUO A LA ENMIENDA ",RAUL SÚNICO GALDAMES JEFE DIVISIÓN DE FOMENTO E INDUSTRIA,PAPEL,30-12-2024,,,https://drive.google.com/file/d/19edaY9xG9d_U5uysKD_fU5m4xxps6j17/view?usp=drive_link,
,pnj,DIT,01199,24-12-2024,ALICIA CONTRERAS VIELMA JEFA (S) DIVISIÓN ADMINISTRACIÓN Y FINANZAS,"SOLICITUD CERTIFICADO DE ACREDITACIÓN DE RENDICIONES AL CORRIENTE, PROYECTO FIC CODIGO BIP 40050637-0.",JEFE (S) DIVISIÓN DE INFRAESTRUCTURA Y TRANSPORTES,DOCDIGITAL,24-12-2024,,,https://drive.google.com/file/d/1vEis2hdsisOKQAx5n32ZF_EKMsAEY39R/view?usp=drive_link,
,csp,DIPIR,01198,23-12-2024,SRA. ALICIA CONTRERAS VIELMA JEFA DE DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS (S) GOBIERNO REGIONAL DE ÑUBLE,"REMITE CERTIFICADO DE FIANZA POR GARANTÍA DE FIEL CUMPLIMIENTO N° DE FOLIO B0191943 “CONSTRUCCIÓN CANCHA DE FUTBOL SECTOR LAJUELAS, COMUNA DE SAN NICOLÁS”, CÓDIGO BIP 40038617-0.",JUAN PARADA GONZÁLEZ JEFE DE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,23-12-2024,,,https://drive.google.com/file/d/1xtVcCmP-1eB6Z2afo9_VerWKQUJ1QwZH/view?usp=drive_link,
,jpch,DAF,01197,23-12-2024,ALICIA CONTRERAS VIELMA ADMINISTRADORA REGIONAL – GOBIERNO REGIONAL DE ÑUBLE.,INFORMA HABILITACIÓN CONTENEDOR PARA DISPOSICIÓN DE PAPEL SEGÚN INSTRUCTIVO DE USO EFICIENTE Y SUSTENTABLE DE ESTE (RES. EXTA. N°1117/05.12.2024),HÉCTOR VILLABLANCA ENCARGADO UNIDAD DE OPERACIONES,DOCDIGITAL,23-12-2024,,,https://drive.google.com/file/d/1X3npKOxQQddds-4KUcrSpgj66_ycR_q6/view?usp=drive_link,
,pgg,DAF,01196,23-12-2024,ALICIA CONTRERAS VIELMA ADMINISTRADORA REGIONAL – GOBIERNO REGIONAL DE ÑUBLE.,INFORMA IMPLEMENTACIÓN SOLICITUD MEMORÁNDUM N°1177/19.12.2024,PABLO GUTIÉRREZ GUTIÉRREZ ENCARGADO UNIDAD DE TECNOLOGÍAS DE LA INFORMACIÓN.,DOCDIGITAL,23-12-2024,,,https://drive.google.com/file/d/1N-CngQNXFkBQ0DnjN0jUNe5q9BbtElSJ/view?usp=drive_link,
,jpch,GESTION ,01195,23-12-2024,ALICIA CONTRERAS VIELMA ADMINISTRADORA REGIONAL – GOBIERNO REGIONAL DE ÑUBLE.,INFORMA IMPLEMENTACIÓN PLANILLA DE MONITOREO CONSUMOS DE PAPEL.,JUAN PABLO CHORIBIT ENCARGADO DE UNIDAD DE CONTROL DE GESTIÓN INSTITUCIONAL.,DOCDIGITAL,23-12-2024,,,https://drive.google.com/file/d/1ddOnHc8AD-gGlLpo8UYxKoHWKBp0Giim/view?usp=drive_link,
,pgg,DAF,01194,23-12-2024,ALICIA CONTRERAS VIELMA ADMINISTRADORA REGIONAL – GOBIERNO REGIONAL DE ÑUBLE.,INFORMA IMPLEMENTACIÓN SOLICITUD MEMORÁNDUM N°1178/19.12.2024,PABLO GUTIÉRREZ GUTIÉRREZ ENCARGADO UNIDAD DE TECNOLOGÍAS DE LA INFORMACIÓN.,DOCDIGITAL,23-12-2024,,,https://drive.google.com/file/d/1zfeFcO31knZSrpEUJ6gthagDQySoQkB8/view?usp=drive_link,
,ctc,DAF,01193,20-12-2024,DORIS TORO BLAKE PROFESIONAL A HONORARIOS,SOLICITA INFORME DE CUMPLIMIENTO DETALLADO DE FUNCIONES.,CLARA TOLEDO CORTÉS PROFESIONAL GESTOR DE REMUNERACIONES,DOCDIGITAL,20-12-24,,,https://drive.google.com/file/d/1-XLQbEm1ZIykjUxw_-ZwV1ZN9gTRqOVJ/view?usp=drive_link,
,ctc,DAF,01192,20-12-2024,CRISTIAN HAQUIN LISBOA PROFESIONAL A HONORARIOS,SOLICITA INFORME DE CUMPLIMIENTO DETALLADO DE FUNCIONES.,CLARA TOLEDO CORTÉS PROFESIONAL GESTOR DE REMUNERACIONES,DOCDIGITAL,20-12-24,,,https://drive.google.com/file/d/1WoCWGxMXxoRIfilS_kLH3SGDtbFfbUjl/view?usp=drive_link,
,ctc,DAF,01191,20-12-2024,"JAVIER ZAPATA PARRA PROFESIONAL A HONORARIOS
",SOLICITA INFORME DE CUMPLIMIENTO DETALLADO DE FUNCIONES.,CLARA TOLEDO CORTÉS PROFESIONAL GESTOR DE REMUNERACIONES,DOCDIGITAL,20-12-24,,,https://drive.google.com/file/d/1ByhsrvTv0uCx0CURhoo9Lc9iJz6EBEAT/view?usp=drive_link,
,ctc,DAF,01190,20-12-2024,ABRAHAM ABURTO CONTRERAS PROFESIONAL A HONORARIOS,SOLICITA INFORME DE CUMPLIMIENTO DETALLADO DE FUNCIONES.,CLARA TOLEDO CORTÉS PROFESIONAL GESTOR DE REMUNERACIONES,DOCDIGITAL,20-12-24,,,https://drive.google.com/file/d/1LB28nWhAl6pGVjSmdWEudkeBs6-yqvmk/view?usp=drive_link,
,ctc,DAF,01189,20-12-2024,JAEL SAAVEDRA MARTÍNEZ PROFESIONAL A HONORARIOS,SOLICITA INFORME DE CUMPLIMIENTO DETALLADO DE FUNCIONES.,CLARA TOLEDO CORTÉS PROFESIONAL GESTOR DE REMUNERACIONES,DOCDIGITAL,20-12-24,,,https://drive.google.com/file/d/1UTs9YGKtkdgsJkQW0LflDDMSnoLNFaTG/view?usp=drive_link,
,ctc,DAF,01188,20-12-2024,JUAN CARLOS CARRASCO ORTIZ PROFESIONAL A HONORARIOS,SOLICITA INFORME DE CUMPLIMIENTO DETALLADO DE FUNCIONES.,CLARA TOLEDO CORTÉS PROFESIONAL GESTOR DE REMUNERACIONES,DOCDIGITAL,20-12-24,,,https://drive.google.com/file/d/1WF5RVnPmj0fjrrBHmvdDcDl-WbsAtg5r/view?usp=drive_link,
,ctc,DAF,01187,20-12-2024,MAURICIO MARTINEZ ABURTO PROFESIONAL A HONORARIOS,SOLICITA INFORME DE CUMPLIMIENTO DETALLADO DE FUNCIONES.,CLARA TOLEDO CORTÉS PROFESIONAL GESTOR DE REMUNERACIONES,DOCDIGITAL,20-12-24,,,,
,ctc,DAF,01186,20-12-2024,ALVARO GUTIERREZ JEREZ PROFESIONAL A HONORARIOS,SOLICITA INFORME DE CUMPLIMIENTO DETALLADO DE FUNCIONES.,CLARA TOLEDO CORTÉS PROFESIONAL GESTOR DE REMUNERACIONES,DOCDIGITAL,20-12-24,,,https://drive.google.com/file/d/1K7MsaRyNdAx-Inu7OCjsVecFLge-U4Qc/view?usp=drive_link,
,dtb,DAF,01185,20-12-2024,HÉCTOR VILLABLANCA FONSECA ,,,DOCDIGITAL,20-12-24,,,,
,jpch,ADM,01184,19-12-2024,JUAN PABLO CHORIBIT ENCARGADO DE UNIDAD DE CONTROL DE GESTIÓN INSTITUCIONAL,"SOLICITA IMPLEMENTAR MONITOREO DE LOS CONSUMOS DE PAPEL EN DEPENDENCIAS DEL GOBIERNO REGIONAL, SEGÚN INSTRUCTIVO DE USO EFICIENTE Y SUSTENTABLE DE PAPEL (RES. EXTA. N°1117/05.12.2024)",ALICIA CONTRERAS VIELMA ADMINISTRADORA REGIONAL – GOBIERNO REGIONAL DE ÑUBLE.,DOCDIGITAL,20-12-24,,,https://drive.google.com/file/d/1kXqUb1IY5WOtJeE_qwTLqXtnMF-UMWC7/view?usp=drive_link,
,jpch,ADM,01183,19-12-2024,HÉCTOR VILLABLANCA ENCARGADO UNIDAD DE OPERACIONES,"SOLICITA HABILITACIÓN CONTENEDOR PARA DISPOSICIÓN DE PAPEL, SEGÚN INSTRUCTIVO DE USO EFICIENTE Y SUSTENTABLE DE ESTE (RES. EXTA. N°1117/05.12.2024)",ALICIA CONTRERAS VIELMA COORDINADORA COMITÉ ESTADO VERDE ADMINISTRADORA REGIONAL – GOBIERNO REGIONAL DE ÑUBLE.,DOCDIGITAL,20-12-24,,,https://drive.google.com/file/d/1WOEO0lpxLa_3fKc2MPYMl4t5w-RIwPoE/view?usp=drive_link,
,jpch,ADM,01182,19-12-2024,FUNCIONARIOS Y FUNCIONARIAS GOBIERNO REGIONAL DE ÑUBLE,REITERA MEDIDAS INSTRUCTIVO DE USO EFICIENTE Y SUSTENTABLE DE PAPEL (RES. EXTA N°1117/05.12.2024),ALICIA CONTRERAS VIELMA ADMINISTRADORA REGIONAL – GOBIERNO REGIONAL DE ÑUBLE.,ENVIAR POR CORREO ,20-12-24,,,https://drive.google.com/file/d/1usCYbIETJhTp-4v4pfgH2pNXls9Icw0s/view?usp=drive_link,
,lpo,DIPIR,01181,19-12-2024,JUAN PARADA GONZÁLEZ JEFE DE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL,"SOLICITUD CERTIFICADO DE ACREDITACIÓN DE RENDICIONES AL CORRIENTE DE INSTITUCIONES QUE SE DETALLAN A CONTINUACIÓN, PARA GESTIONAR CONVENIO DE TRANSFERENCIA.",JUAN PARADA GONZÁLEZ JEFE DE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL,DOCDIGITAL,20-12-24,,,https://drive.google.com/file/d/1mUrlR5qA1MJbKinzxXqxJSCjda-sTF4o/view?usp=drive_link,
,jpch,ADM,01180,19-12-2024,"SUSANA MOLINA FUENTES PRESIDENTE ASOCIACIÓN DE FUNCIONARIOS DEL GOBIERNO REGIONAL DE ÑUBLE Y EMILIO CISTERNAS HERNÁNDEZ
 PRESIDENTE ASOCIACIÓN DE FUNCIONARIOS DEL GOBIERNO REGIONAL DE ÑUBLE XVI
","RECTIFICA MEMORÁNDUM N° 00901 Y N° 00906, AMBOS DEL 16.10.2024",ÓSCAR CRISÓSTOMO LLANOS GOBERNADOR REGION DE ÑUBLE.,DOCDIGITAL,20-12-24,,,https://drive.google.com/file/d/1bs24ITFtsDb9NUE5igAwfWgY6q4RqXHm/view?usp=drive_link,
,jpch,ADM,01179,19-12-2024,GONZALO SEPÚLVEDA GODOY JEFE (S) DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS,SOLICITA COMPRA DE EQUIPO PARA DESTRUCCIÓN DE DOCUMENTOS,ALICIA CONTRERAS VIELMA ADMINISTRADORA REGIONAL – GOBIERNO REGIONAL DE ÑUBLE.,DOCDIGITAL,20-12-24,,,https://drive.google.com/file/d/19epJcu_-EDW5yzlzJv2aT0RjWizqLvnz/view?usp=drive_link,
,jpch,ADM,01178,19-12-2024,PABLO GUTIÉRREZ GUTIÉRREZ ENCARGADO UNIDAD DE TECNOLOGÍAS DE LA INFORMACIÓN,"SOLICITA HABILITACIÓN DE FIRMA ELECTRÓNICA SIMPLE O AVANZADA A LOS FUNCIONARIOS Y FUNCIONARIAS DE LA INSTITUCIÓN, SEGÚN INSTRUCTIVO DE USO EFICIENTE Y SUSTENTABLE DE PAPEL (RES. EXTA. N°1117/05.12.2024)",ALICIA CONTRERAS VIELMA ADMINISTRADORA REGIONAL – GOBIERNO REGIONAL DE ÑUBLE.,DOCDIGITAL,20-12-24,,,https://drive.google.com/file/d/1mtKENGfd3E5pS_QGjWFskdQ9y21uI73X/view?usp=drive_link,
,jpch,ADM,01177,19-12-2024,PABLO GUTIÉRREZ GUTIÉRREZ ENCARGADO UNIDAD DE TECNOLOGÍAS DE LA INFORMACIÓN,"SOLICITA CONFIGURACIÓN IMPRESORAS Y MUTIFUNCIONALES, SEGÚN INSTRUCTIVO DE USO EFICIENTE Y SUSTENTABLE DE PAPEL (RES. EXTA. N°1117/05.12.2024)",ALICIA CONTRERAS VIELMA ADMINISTRADORA REGIONAL – GOBIERNO REGIONAL DE ÑUBLE.,DOCDIGITAL,20-12-24,,,,
,vmi,DIPLADE,01176,19-12-2024,ALICIA CONTRERAS VIELMA JEFA (S) DIVISIÓN DE ADMINISTRACIÓN Y FINANZA,"SE NOTIFICA RESULTADO DE SELECCIÓN DE ESTUDIANTE DE PRACTICA POR PARTE DE LA EVALUACIÓN REALIZADA POR LA FUNCIONARIA DE LA DIVISIÓN DE PLANIFICACIÓN Y DESARROLLO, DOÑA VANESSA MORENO ITURRA, A LA SOLICITUD DE PRACTICA, CODIGO OP -20584.",RUBÉN SANDOVAL GANGAS JEFE DIVISIÓN DE PLANIFICACIÓN Y DESARROLLO,DOCDIGITAL,20-12-24,,,https://drive.google.com/file/d/1qOkWNDfX3Z6mFdZhhX2wfo32FpEUE3wJ/view?usp=drive_link,
,iah,DAF,01175,19-12-2024,JUAN PARADA,ENROLAMIENTO DE ESTACIONAMIENTO EN PATIO LOS NARANJOS.,ALICIA CONTRERAS VIELMA. JEFA (S) DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS.,DOCDIGITAL,20-12-24,,,https://drive.google.com/file/d/1CXYyUEPN5zo6aPaDnheJ0xawdLERsdaJ/view?usp=drive_link,
