id,rut,unidad_tecnica_raw,unidad_tecnica_norm
b9cf46ef-73a0-4159-a1be-bea6fe3254d3,,MUNICIPALIDAD SAN NICOLAS,MUNICIPALIDAD SAN NICOLAS
e6ccd14e-fca3-4e21-803b-4b543d0a0f65,,MUNICIPALIDAD DE PORTEZUELO,MUNICIPALIDAD DE PORTEZUELO
074b8871-49b8-4b87-a3ff-2c7dce706f53,,SEREMI EDUCACIÓN,SEREMI EDUCACIÓN
b078779c-bbc1-4282-8071-0abeab9c74aa,,SEREMI DE VIVIENDA ÑUBLE,SEREMI DE VIVIENDA ÑUBLE
0373d6bd-6d17-4323-9e8a-9d0889842e51,69.141.000-5,MUN. PINTO,MUN. PINTO
1a37c3f3-104c-43f7-8c0b-ffe782c8d97f,69.141.400-0,MUN. QUILLON,MUN. QUILLON
4799463b-2e0d-4868-b1f8-498f9d781851,69.141.500-7,MUN. YUNGAY,MUN. YUNGAY
4ae23fe3-afea-4df5-ac8f-2a0ef38ecbfe,69.140.500-1,MUN. SAN CARLOS,MUN. SAN CARLOS
a9d09cd1-a68f-4f94-90cf-b8297b767261,69.140.100-6,MUN. QUIRIHUE,MUN. QUIRIHUE
4f7ae332-7f4c-454c-a315-b1dc4a8aeaee,69.140.200-2,MUN.PORTEZUELO,MUN.PORTEZUELO
976af73e-d333-4d08-81db-376880902017,69.141.100-1,MUN. COIHUECO,MUN. COIHUECO
8649ef01-3332-4f5a-b971-a8bcf13cfadb,69.150.200-7,MUN. COELEMU,MUN. COELEMU
e7f4a972-1aa3-4b00-a7bb-f5163f7649c2,61.607.000-2,SSÑ,SSÑ
35d46c0f-9228-437c-8da3-0ea2d06ccadd,69.266.500-7,MUN. CHILLAN VIEJO,MUN. CHILLAN VIEJO
489769f7-02a2-43f2-ac1c-39af3b2514bb,61.313.000-4,CONAF,CONAF
a873890f-9690-454e-9caf-342186d6d470,69.141.700-K,MUN. EL CARMEN,MUN. EL CARMEN
5b63f217-991d-47ca-838b-33da5c93eae5,60.704.000-1,SERNATUR,SERNATUR
8c0823e1-9ce3-4ac0-b9b4-1647746d8984,69.262.000-3,ASOCIACION PUNILLA,ASOCIACION PUNILLA
01c50067-f7f7-4f47-8cd1-12261391a6e5,,FUNDACION DE DESARROLLO EDUCACIONAL Y TECNOLOGICO LA ARAUCANIA,FUNDACION DE DESARROLLO EDUCACIONAL Y TECNOLOGICO LA ARAUCANIA
2cdf3b70-6792-4dcd-8f5c-a6f3d5dbc4cb,,MUN. SAN NICOLAS,MUN. SAN NICOLAS
d89d4054-eac1-4c58-8ff6-ccaa4386db07,,MUN. SAN IGNACIO,MUN. SAN IGNACIO
f855ff94-5122-48c8-bc48-c02dcc9da84f,69.141.200-8,MUN. BULNES,MUN. BULNES
ab0a4fe7-a442-4d8d-ac32-f81078de7083,,MUN. BULNES,MUN. BULNES
3e42669b-8621-4774-a811-8c778a75e87b,,MUN. SAN FABIAN,MUN. SAN FABIAN
2f558941-7b5e-4771-982c-288787b61fb5,,MIN MEDIO AMBIENTE,MIN MEDIO AMBIENTE
940a2f6c-42da-42a8-831a-8eabeecf7924,,MUN. NINHUE,MUN. NINHUE
1995855f-973d-4135-ba12-c521ac38d967,,SERNATUR,SERNATUR
928b104e-f0fa-4f66-af4d-d3c5f0a4a4d3,,MUN. COBQUECURA,MUN. COBQUECURA
3fbf4469-293c-452f-adb6-53186f1a1f75,,SUBSECRETARIA DEL TRABAJO,SUBSECRETARIA DEL TRABAJO
359e8343-dc71-45f5-9684-887f7b912ce1,,MUN. YUNGAY,MUN. YUNGAY
da5d873c-6232-451c-bd3a-dd0f3fa1973b,,SSÑ,SSÑ
2be19588-6863-4ce6-98a7-7a636ccaf87e,,GENDARMERIA,GENDARMERIA
f2284848-bfb2-4002-9e15-4d4e0e1950d1,,ORQUESTA DE CAMARA SAN CARLOS,ORQUESTA DE CAMARA SAN CARLOS
688d7904-1857-4545-b416-c4f547547b4f,,MUN. PEMUCO,MUN. PEMUCO
693d1b28-4543-41e6-b54d-670f00bc4622,,MUN. COELEMU,MUN. COELEMU
9d1c0b83-cb92-4a99-b0b5-5ebe2763762d,,MUN. CHILLAN,MUN. CHILLAN
9e85fd4d-40f9-4dfb-9377-5c0678b1ecce,,MUNICIPALIDAD DE PINTO,MUNICIPALIDAD DE PINTO
f30ff93c-2d8d-43e8-91f2-04993e24554f,,MUN. QUILLON,MUN. QUILLON
896fd26c-eac4-4f61-a001-4a6d9b7016ff,,MUN. TREHUACO,MUN. TREHUACO
e649b432-1f08-41b6-ab43-287e90bb9391,,MUN. ÑIQUEN,MUN. ÑIQUEN
c67aeec3-5762-454e-80ad-0b94776456b7,,MUN. COIHUECO,MUN. COIHUECO
de969e6c-8182-418b-89ad-08a652df8ac4,,MUN. SAN CARLOS,MUN. SAN CARLOS
0aeb1d78-7c1e-4272-a451-22f1e6a9fb80,,MUNICIPALIDAD DE NINHUE,MUNICIPALIDAD DE NINHUE
4bf0dc42-d871-441f-956c-d123f255397f,,SUBDERE,SUBDERE
eb0a5537-9755-4edd-bf9d-7695008d1776,,SEREMI EDUCACION,SEREMI EDUCACION
a1c0aec2-f1e9-483e-ba8d-f6e912e52391,,CONAF,CONAF
f3cbbe0e-24c1-445a-a14d-7581161a2853,,MUNICIPALIDAD DE CHILLAN VIEJO,MUNICIPALIDAD DE CHILLAN VIEJO
689a3a7d-21bd-4e14-bce6-81bc873ff053,,MUNICIPALIDAD DE CHILLÁN,MUNICIPALIDAD DE CHILLÁN
9115d86c-5039-44ce-a0cb-e347109bda3e,,AGENCIA SUSTEN Y CAMBIO CLIMATICO,AGENCIA SUSTEN Y CAMBIO CLIMATICO
cbd1a457-452a-4dc3-bb2d-9200f3449a3f,,FUNDACION OBSERVATORIO ÑUBLE,FUNDACION OBSERVATORIO ÑUBLE
4f0875f3-8733-4958-ac99-a7f306458505,,MUNICIPALIDAD DE QUILLON,MUNICIPALIDAD DE QUILLON
7e759487-ebb4-4269-bc3d-a74a05b74e90,,CNR,CNR
c3579db6-17b7-423e-8ea3-49c34cfff0af,,GORE,GORE
40daeb31-c5b6-4b63-bc20-6324b0669ae9,,MUNICIPALIDAD DE SAN NICOLÁS,MUNICIPALIDAD DE SAN NICOLÁS
cf837c0e-6e6e-4a57-836d-ff88576655d8,,SERCOTEC,SERCOTEC
3094b11e-5971-4904-afcb-a478e86e66e7,,UNIVERSIDAD DE TALCA,UNIVERSIDAD DE TALCA
0ed288ab-ccbd-482a-86bc-dbb2e41125eb,,MOP,MOP
8b378f81-7e45-4800-ab10-1cc7b23d5255,,SERVICIO DE SALUD ÑUBLE,SERVICIO DE SALUD ÑUBLE
9a26475f-2971-4162-8916-2f88aeaf3e46,,CORFO,CORFO
49678d59-0756-4906-8770-d0ccd5f7f33b,,MUN COELEMU,MUN COELEMU
946b9182-66e7-490e-a28d-b233a3a792d1,,MUNICIPALIDAD DE COIHUECO,MUNICIPALIDAD DE COIHUECO
87a8fddc-dcd9-46a6-a570-70333dd2f73e,,MUNICIPALIDAD DE SAN FABIAN,MUNICIPALIDAD DE SAN FABIAN
d7b3ef9a-5f76-4cf2-b629-95283ac54f33,,MUNICIPALIDAD DE SAN IGNACIO,MUNICIPALIDAD DE SAN IGNACIO
3865a179-c8b8-403a-a346-fd2f1be02ea0,,MUNICIPALIDAD DE QUIRIHUE,MUNICIPALIDAD DE QUIRIHUE
452fbb0e-452c-4033-bbde-7e864faf0775,,MUNICIPALIDAD DE CHILLÁN VIEJO,MUNICIPALIDAD DE CHILLÁN VIEJO
130d1b61-199a-4f9e-b770-dc1281122a37,,MUNICIPALIDAD QUIRIHUE,MUNICIPALIDAD QUIRIHUE
3de2ef58-ab01-4952-af97-0431f5bf6026,,BIENES NACIONALES,BIENES NACIONALES
c962d693-5526-4b0f-b31d-212515551085,,IND,IND
f873c8f9-2044-4a02-8fa0-d3c1b1e43ab5,,MOVIMIENTO SOCIAL EN DEFENSA DEL RIO ÑUBLE,MOVIMIENTO SOCIAL EN DEFENSA DEL RIO ÑUBLE
2821ca7d-7e80-4b61-a9d3-46433231a7b9,,AMIGOS DEL ARTE CLAUDIO ARRAU LEON,AMIGOS DEL ARTE CLAUDIO ARRAU LEON
952961b5-7202-40ad-ab53-0447e0bf086b,,LIGA DEPORTIVA RENACER FEMENINO,LIGA DEPORTIVA RENACER FEMENINO
d8dcde2b-8afe-468c-aa33-47b598d2cc1b,,CLUB DEPORTIVO SAN MARTIN,CLUB DEPORTIVO SAN MARTIN
19535188-57dc-4495-b8f7-a4c952b909f5,,CONJUNTO FOLCLORICO PILLMAIKEN DE CHILLAN,CONJUNTO FOLCLORICO PILLMAIKEN DE CHILLAN
e7830966-9431-4212-b396-ea9acc572015,,FUNDACIÓN APTIVA,FUNDACIÓN APTIVA
07e7e3d7-7f00-44f7-8cc8-2eb1044baa14,,CORP. DEPORTIVA CLUB PATAGONIA MOTOS,CORP. DEPORTIVA CLUB PATAGONIA MOTOS
a326f807-b47e-4376-8696-17ee4021ded6,,STREER WORKOUT CHILLAN,STREER WORKOUT CHILLAN
c88fb4a0-df15-4da7-ac76-42d64517ac42,,AGRUPACION DE CICLISMO CHILLAN,AGRUPACION DE CICLISMO CHILLAN
20aa4742-7044-47df-bb6d-5478a052467c,,CLUB DEPORTIVO DRAGOMES BLANCOS KIDS,CLUB DEPORTIVO DRAGOMES BLANCOS KIDS
372d14d0-6d03-4c69-8c92-bf24e2a57fea,,CLUB DEPORTIVO PARALIMPICO DE CHILLAN,CLUB DEPORTIVO PARALIMPICO DE CHILLAN
bc0efb81-0c54-41cb-b0a3-4a3d604f4b32,,ASOC. ARTISTICA CULTURAL QUILLECO,ASOC. ARTISTICA CULTURAL QUILLECO
65fc98be-3029-40c2-9ae4-0151e76878a2,,FUNDACION MITEA,FUNDACION MITEA
1e811528-0944-4d57-81bd-49beb0167321,,PRODEMU,PRODEMU
3407bd98-ff5a-4fbc-b0c3-8deb5d120f94,,FUNDACIÓN SPECIAL OLYMPICS DE CHILE,FUNDACIÓN SPECIAL OLYMPICS DE CHILE
6955587b-2682-49b6-9299-3651e1477b48,,CORP. EDUCACIONAL SOC. NACIONAL DE AGRIC. FG,CORP. EDUCACIONAL SOC. NACIONAL DE AGRIC. FG
6c2dd12b-7ab9-495e-873f-e658fa3b0991,,ORQUESTA DE SAN CARLOS,ORQUESTA DE SAN CARLOS
d7efd2a7-3069-43c9-a64c-bbc48166464a,,ASOC. REGIONAL DE FUTBOL AMATEUR DE LA 16 REGION DE ÑUBLE,ASOC. REGIONAL DE FUTBOL AMATEUR DE LA 16 REGION DE ÑUBLE
4d4f29ca-7515-4b51-a573-347330f7a940,,CLUB SOCIAL Y CULTURAL DEPORTIVO DEL RODEO CHILENO ARTURO PRAT DE NINHUE,CLUB SOCIAL Y CULTURAL DEPORTIVO DEL RODEO CHILENO ARTURO PRAT DE NINHUE
39bf4373-25e4-4913-b635-1908f3f56c55,,ASOCIACION DEPORTIVA Y CULTURAL CLUBES DE HUASOS DE ÑUBLE,ASOCIACION DEPORTIVA Y CULTURAL CLUBES DE HUASOS DE ÑUBLE
d347b3b0-05ff-4986-8b81-8321624ac82f,,AGRUPACION DEPORTIVA Y CULTURAL DE BASQUETBOL SENIORS DAMAS WILTRALEN,AGRUPACION DEPORTIVA Y CULTURAL DE BASQUETBOL SENIORS DAMAS WILTRALEN
bf1bb9bb-ebb8-4144-966a-fcafe906e3b1,,CLUB DE PROTIVO SOCIAL Y CULTURAL REAL ZARAGOZA,CLUB DE PROTIVO SOCIAL Y CULTURAL REAL ZARAGOZA
c526e058-a837-46be-84eb-ced8c5cabb1c,,CLUB DEPORTIVO ESCOLAR INSAMACH,CLUB DEPORTIVO ESCOLAR INSAMACH
202573e8-fa47-43ef-a3cc-70ede8768208,,CLUB DE DEPORTES UNIÓN,CLUB DE DEPORTES UNIÓN
44812bcd-a60d-43eb-aa9c-bcb5478e7060,,CLUB MOUNTAIN BIKE DE NINHUE,CLUB MOUNTAIN BIKE DE NINHUE
419bc943-0b85-4ef5-a733-424ff93a4119,,CORPORACION CULTURAL Y SOCIAL ARTE Y VIDA DE COELEMU,CORPORACION CULTURAL Y SOCIAL ARTE Y VIDA DE COELEMU
851ba2ce-e8d8-47bc-a74c-0483e54754fc,,CLUB DEPORTIVO CHILE,CLUB DEPORTIVO CHILE
78a41a94-b7ce-4cb2-9109-12cff7fb5b0f,,CENTRO DE PADRES Y APODERADOS ESCUELA BASICA VALLE DE LONQUEN,CENTRO DE PADRES Y APODERADOS ESCUELA BASICA VALLE DE LONQUEN
4f72b250-3a3e-417c-bfc0-8a1a98abac4f,,MUNIPALIDAD DE COELEMU,MUNIPALIDAD DE COELEMU
252008cd-a11a-4468-908d-4013ae08cc7f,,MUNICIPALIDAD DE RANQUL,MUNICIPALIDAD DE RANQUL
b25f6ab1-035a-432b-9e3b-45f5260cfd48,,ASOCIACION DE BASQUETBOL Y CULTURAL CHILLAN,ASOCIACION DE BASQUETBOL Y CULTURAL CHILLAN
36d9a948-8512-4fdc-9959-71fc0b97cfb8,,MUNICIPALIDA DE SAN CARLOS,MUNICIPALIDA DE SAN CARLOS
27aebcf0-cf88-4be2-ba6d-75511873a603,,MUNICIPALIDAD DE CHILÁN,MUNICIPALIDAD DE CHILÁN
