id,cod_unico,bip,dv,nombre_iniciativa,vigencia,etapa,tipologia,origen,unidad_tecnica,provincia,comuna,estado_actual,rate_actual,anio,anio_presupuestario
3068d84c-3ce6-42b4-9690-192ca0fef2d7,30130455-2022,30130455,0,"ADQUISICION CAMIÓN ALJIBE, CHILLAN VIEJO",VIGENTE,EJECUCIÓN,C-33,MUNICIPIO,MUNICIP. CHILLÁN VIEJO,DIGUILLÍN,CHILLÁN VIEJO,APROBADO TÉCNICAMENTE,RS,2022,2022
cdcce843-0560-4e11-b9ec-868f6f77e56d,30131927-2019,30131927,0,"REPOSICION MAQUINARIA MUNICIPAL PARA MANTENCION DE LA RED VIAL, COMUNA DE COIHUECO",NO VIGENTE,EJECUCIÓN,C-33,MUNICIPIO,,PUNILLA,COIHUECO,REEMPL,INADMISIBLE,2019,2019
f9a6b030-d6e0-432c-84e1-bd56b5ef2c9c,30132368-2020,30132368,0,"MEJORAMIENTO AVDA. VICENTE MENDEZ, PAUL HARRIS Y LAS ROSAS, CHILLÁN",EN PRESUPUESTO,DISEÑO,MIDESO,SECTORIAL / OTRO,,DIGUILLÍN,CHILLÁN,RECHZ DIPRES,RS,2020,2020
d61fd815-c344-4ea0-9940-47934cbbd5a8,30132719-2019,30132719,0,"REPOSICION EDIFICIO CONSISTORIAL, EL CARMEN",NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,DIGUILLÍN,EL CARMEN,RATIF CORE,RS,2019,2019
04d365b4-291f-41ca-9123-4abad0b56f21,30133087-2019,30133087,1,"NORMALIZACION CESFAM DE SANTA CLARA, BULNES",NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,DIGUILLÍN,BULNES,PRIORIZANDO MDS,FI,2019,2019
82319a24-77bf-440e-9193-cf713a331437,30133087-2020,30133087,1,"REPOSICIÓN CON RELOCALIZACIÓN CESFAM DE SANTA CLARA, BULNES",EN PRESUPUESTO,DISEÑO,MIDESO,MUNICIPIO,,DIGUILLÍN,BULNES,APRO CORE,RS,2020,2020
ca5361b7-a493-4e6a-a334-7713a648ab7a,30133374-2019,30133374,0,"REPOSICION GIMNASIO MUNICIPAL ROBERTO MARCELO DIAZ RABANAL,COELEMU",NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,ITATA,COELEMU,NO RECOMEN,INADMISIBLE,2019,2019
925ad727-0fdf-4721-9787-a81fd0b4bc9d,30133425-2019,30133425,0,"MEJORAMIENTO ACERAS SECTOR CENTRO, CHILLAN",NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,DIGUILLÍN,CHILLÁN,APRO CORE,RS,2019,2019
0a0d56ae-72fd-4377-9b32-2a6bc27500cf,30133425-2020,30133425,0,"MEJORAMIENTO ACERAS SECTOR CENTRO, CHILLAN",EN PRESUPUESTO,EJECUCIÓN,MIDESO,MUNICIPIO,,DIGUILLÍN,CHILLÁN,APRO CORE,RS,2019,2020
df88135f-45ac-4dbe-bc55-3db2e282f6a6,30133425-2021,30133425,0,"MEJORAMIENTO ACERAS SECTOR CENTRO, CHILLAN",EN PRESUPUESTO,EJECUCIÓN,MIDESO,MUNICIPIO,MUNICIP. CHILLÁN,DIGUILLÍN,CHILLÁN,APROBADO TÉCNICAMENTE,RS,2022,2021
45cc33c5-c9e8-40a4-aa0f-4cb10dc11889,30133593-2021,30133593,0,"MEJORAMIENTO CENTRO CÍVICO PLAZA DE ARMAS, CHILLÁN",NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,DIGUILLÍN,CHILLÁN,,FI,2021,2021
cfe9cbf2-61b5-4220-a4b3-d107104a7d37,30134669-2019,30134669,0,RESTAURACION IGLESIA DE LA VIRGEN DEL CARMEN DE CHILLÁN,NO VIGENTE,EJECUCIÓN,MIDESO,SECTORIAL / OTRO,,DIGUILLÍN,CHILLÁN,REEMPL,RS,2019,2019
e6afc646-ce77-4d0e-8b14-e7cf05a921ee,30134669-2020,30134669,0,RESTAURACION IGLESIA DE LA VIRGEN DEL CARMEN DE CHILLÁN,VIGENTE,EJECUCIÓN,MIDESO,SECTORIAL / OTRO,,DIGUILLÍN,CHILLÁN,NO PRIO INTEN RS,RS,2019,2020
2e71b7cf-331f-4c66-94a3-b180065da714,30164123-2019,30164123,0,"ADQUISICIÓN MATERIAL MENOR, BOMBEROS ASOC. PUNILLA",NO VIGENTE,EJECUCIÓN,C-33,MUNICIPIO,,PUNILLA,PUNILLA,REEMPL,INADMISIBLE,2019,2019
87a11857-0bfc-4a65-a9a8-11f9bc43fb49,30183222-2019,30183222,0,"HABILITACION ENSEÑANZA MEDIA ESCUELA EL PORVENIR DE CATO, COIHUECO",NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,PUNILLA,COIHUECO,RATIF CORE,RS,2019,2019
10e36eca-c000-4a90-94d4-26cbbabfdb98,30195772-2019,30195772,0,ADQUISICION 4 FURGONES COMUNA DE QUIRIHUE,NO VIGENTE,EJECUCIÓN,C-33,MUNICIPIO,,ITATA,QUIRIHUE,REVISAR,,2019,2019
2a7794b5-3c58-45b0-8227-c95f098544c4,30202824-2019,30202824,1,REPOSICION CENTRO DE SALUD FAMILIAR SAN FABIAN DE ALICO,NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,PUNILLA,SAN FABIÁN,APRO CORE,RS,2019,2019
d5d48026-53b6-403b-82e0-41d8aab9dfcc,30216322-2019,30216322,0,CONSTRUCCION RED ALCANTARILLADO A.S. CALLES 18 SEPT. Y OTRAS QUILLÓN,NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,DIGUILLÍN,QUILLÓN,REV MDS,FI,2019,2019
c452ae58-b7d8-4d40-a6e7-27921e639d87,30231222-2022,30231222,0,ADQUISICION DE 4 VEHICULOS TRASLADO PACIENTES POSTRADOS Y DISCAP.,EN PRESUPUESTO,EJECUCIÓN,C-33,MUNICIPIO,ASOCIACIÓN PUNILLA,PUNILLA,PUNILLA,CONVENIO APROBADO,RS,2022,2022
4b6d9b28-e9b2-4894-ab03-d415cd294b1b,30245474-2019,30245474,0,CONSTRUCCION CUARTEL DE BOMBEROS COMUNA DE SAN NICOLÁS,NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,PUNILLA,SAN NICOLÁS,APRO CORE,RS,2019,2019
a9232ae6-b237-4721-8004-90408db4ae4d,30252122-2019,30252122,0,"CONSTRUCCION SEDE SOCIAL HUAPE, CHILLAN",NO VIGENTE,EJECUCIÓN,FRIL,MUNICIPIO,,DIGUILLÍN,CHILLÁN,REVISAR,ADMISIBLE,2019,2019
33b4e743-0329-42ad-a481-787086c5a4ba,30261675-2019,30261675,0,"CONSTRUCCION SEDE SOCIAL VILLA FRESIA, COMUNA DE BULNES",NO VIGENTE,EJECUCIÓN,FRIL,MUNICIPIO,,DIGUILLÍN,BULNES,RATIF CORE,RS,2019,2019
61e209f5-fe25-45b5-b138-e0ae6e18f137,30261772-2020,30261772,0,"SANEAMIENTO TÍTULOS DERECHOS DE AGUA, COMUNAS ASOCIACIÓN PUNILLA",NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,PUNILLA,PUNILLA,,,2020,2020
9fdf9535-cab4-4e2a-873b-706ae3380c2d,30268372-2020,30268372,0,"NORMALIZACION LICEO DIEGO PORTALES P., SAN CARLOS",NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,PUNILLA,SAN CARLOS,REV MDS,FI,2019,2020
65abb3da-4887-4418-85d2-408f9211e256,30268473-2019,30268473,0,CONSTRUCCIÓN MEDIALUNA COMPLEJO DEPORTIVO ESCOLAR,NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,ITATA,QUIRIHUE,NO RECOMEN,INADMISIBLE,2019,2019
e87a6804-1cd6-4b3e-98f2-40f254259300,30268474-2019,30268474,0,CONSTRUCCIÓN COMPLEJO DEPORTIVO ESCOLAR FRANCÉS,NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,ITATA,QUIRIHUE,NO RECOMEN,INADMISIBLE,2019,2019
75bcbad8-7135-4883-ad1d-6741487af57d,30275184-2021,30275184,0,"CONSTRUCCION SANEAMIENTO SANITARIO SECTOR MONTERRICO Y LOS PROFESORES, CHILLÃN",NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,DIGUILLÍN,CHILLÁN,RATIF CORE,RS,2019,2021
e244a4b8-693f-456a-84db-28e961a5275f,30281327-2019,30281327,0,REPOSICION GIMNASIO MUNICIPAL COMUNA DE SAN NICOLÁS,NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,PUNILLA,SAN NICOLÁS,PRIORIZANDO MDS,ADMISIBLE,2019,2019
25fc64bd-354a-4af6-91da-99be7eab6a8f,30282925-2022,30282925,0,"MEJORAMIENTO PUENTES RURALES DIVERSOS SECTORES, ASOCIACION PUNILLA",VIGENTE,EJECUCIÓN,C-33,MUNICIPIO,MOP-VIALIDAD,PUNILLA,PUNILLA,ADMISIBLE,ADMISIBLE,2022,2022
6a5391cd-e0b2-4564-85ae-bdd2320b279a,30286222-2020,30286222,0,CONSTRUCCION POLIDEPORTIVO MUNICIPAL DE SAN CARLOS,NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,PUNILLA,SAN CARLOS,APRO CORE,RS,2019,2020
0b825c78-0e11-4054-956c-c23287f001eb,30287328-2019,30287328,0,"CONSERVACION PAVIMENTO AV. SEPÚLVEDA BUSTOS, CHILLÁN",NO VIGENTE,EJECUCIÓN,C-33,MUNICIPIO,,DIGUILLÍN,CHILLÁN,REEMPL,,2019,2019
524e1944-7303-48fb-b40b-bc4f3e006591,30288425-2019,30288425,0,"NORMALIZACION EXTENSIÃ¿N ELECTRIFICACIÃ¿N DOMIC.RURAL DIV.SECT., COMUNA DE COELEMU",NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,ITATA,COELEMU,REVISAR,,2019,2019
d59c97f5-7a55-4d54-8aca-e67defb68c83,30289022-2019,30289022,0,RESTAURACION TEMPLO CATOLICO PARROQUIAL COMUNA DE PEMUCO,NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,DIGUILLÍN,PEMUCO,REV MDS,FI,2019,2019
2ab28251-ba10-4826-803b-d7b3efa4a1dd,30289022-2020,30289022,0,RESTAURACION TEMPLO CATOLICO PARROQUIAL COMUNA DE PEMUCO,NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,DIGUILLÍN,PEMUCO,REV MDS,FI,2020,2020
5a740af8-d4e9-4955-a589-be2136b6426b,30289072-2019,30289072,0,"MEJORAMIENTO SISTEMA DE APR CHOLGUAN NORTE - PEDREGAL , YUNGAY",NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,DIGUILLÍN,YUNGAY,REV MDS,OT,2019,2019
960aa0c5-c7e8-48b7-86d6-26ca6dfc5ea7,30289424-2019,30289424,0,REPOSICION EDIFICIO CONSISTORIAL SAN FABIÁN,NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,PUNILLA,SAN FABIÁN,NO PRIO INTEN MDS,ADMISIBLE,2019,2019
85825885-0768-416f-8969-d86921312208,30291125-2019,30291125,0,"HABILITACION SISTEMA DE MONITOREO DE TRAFICO UOCT ÑUBLE, CHILLÁN",NO VIGENTE,EJECUCIÓN,MIDESO,SECTORIAL / OTRO,,DIGUILLÍN,DIGUILLIN,REEMPL,RS,2019,2019
3762c210-8999-477c-88fe-1f04d504c07e,30291125-2020,30291125,0,"HABILITACION SISTEMA DE MONITOREO DE TRAFICO UOCT ÑUBLE, CHILLÁN",VIGENTE,EJECUCIÓN,MIDESO,SECTORIAL / OTRO,,DIGUILLÍN,DIGUILLIN,NO PRIO INTEN RS,RS,2019,2020
1f351251-5d72-4a40-bf9b-f67dd722a6a3,30292030-2022,30292030,0,REPOSICION DE VEHICULOS DE TRANSPORTE DE PERSONAS PARA LA RED DE SALUD DE ÑUBLE,VIGENTE,EJECUCIÓN,C-33,SECTORIAL / OTRO,S.SALUD ÑUBLE,REGIONAL,REGIONAL,INGRESADO A PREINVERSIÓN,SIN RATE,2022,2022
d9914eed-7d67-4c09-9daf-660fb7ac680d,30292030-2023,30292030,0,REPOSICIÓN DE VEHÍCULOS DE TRANSPORTE DE PERSONAS PARA LA RED SALUD ÑUBLE,VIGENTE,EJECUCIÓN,C-33,SECTORIAL / OTRO,S.SALUD ÑUBLE,REGIONAL,REGIONAL,INGRESADO A PREINVERSIÓN,SIN RATE,2022,2023
26e10838-8b04-4ce1-83a4-f9027706df53,30318923-2019,30318923,0,"CONSTRUCCION PASARELA PEATONAL PORTAL DE LA LUNA, SAN NICOLAS",NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,PUNILLA,SAN NICOLÁS,PRIORIZANDO MDS,ADMISIBLE,2019,2019
a7813f27-452d-460e-97a0-78e667406081,30318924-2021,30318924,0,MEJORAMIENTO ACERAS AV. OHIGGINS COMUNA SAN NICOLAS,NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,PUNILLA,SAN NICOLÁS,APRO CORE,RS,2019,2021
2b1b9d88-901e-4b77-90a3-2fd0f3fb118c,30347030-2019,30347030,0,"REPOSICION CAMIÓN TOLVA MANTENCION ACCESO CAMINOS RURALES, QUILLÓN",NO VIGENTE,EJECUCIÓN,C-33,MUNICIPIO,,DIGUILLÍN,QUILLÓN,REEMPL,OT,2019,2019
d3cab42b-a285-4327-ae2d-4ffe79379d88,30347224-2019,30347224,0,"CONSERVACION BIBLIOTECA MUNICIPAL, COMUNA DE PINTO",NO VIGENTE,EJECUCIÓN,C-33,MUNICIPIO,,DIGUILLÍN,PINTO,REVISAR,,2019,2019
e715b5cd-6aa0-4abb-938e-36ed04404964,30348177-2021,30348177,0,"ADQUISICION MOTONIVELADORA MANT. CAMINOS, ZONAS AFECTADAS INCENDIOS",NO VIGENTE,EJECUCIÓN,C-33,MUNICIPIO,,ITATA,QUIRIHUE,APRO CORE,RS,2019,2021
12502666-8c81-45d6-b02f-31990cf7bcf7,30363922-2019,30363922,0,"CONSTRUCCION CICLOVIAS RURALES , COMUNAS ASOCIACION PUNILLA",NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,PUNILLA,PUNILLA,REVISAR,,2019,2019
9153bf62-774a-4d93-b4ec-28f531d5bb04,30363922-2020,30363922,0,"CONSTRUCCION CICLOVIAS RURALES , COMUNAS ASOCIACION PUNILLA",NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,PUNILLA,PUNILLA,REVISAR,,2019,2020
ab9ea716-9e98-492f-9b6a-894b73c58b8b,30380682-2019,30380682,0,ADQUISICION CAMION ALZA HOMBRE PARA LA MUNICIPALIDAD DE TREHUACO,NO VIGENTE,EJECUCIÓN,C-33,MUNICIPIO,,ITATA,TREGUACO,REVISAR,,2019,2019
a122ce9a-824e-4c6e-8740-b318524dc517,30385675-2019,30385675,0,CONSTRUCCION CAMARINES SECTOR LLAHUEN Y MULTICANCHA PORTEZUELO,NO VIGENTE,EJECUCIÓN,FRIL,MUNICIPIO,,ITATA,PORTEZUELO,RATIF CORE,RS,2019,2019
da5fcd92-cf08-4199-922e-ddfb8298c26c,30386273-2019,30386273,0,CONSTRUCCION SERVICIO ALIMENTACION Y SEDILE HOSPITAL EL CARMEN,NO VIGENTE,DISEÑO,MIDESO,SECTORIAL / OTRO,,DIGUILLÍN,EL CARMEN,REV MDS,OT,2019,2019
a8d3a02c-ffc8-4f2b-8ca7-28ce3dd8521c,30386411-2021,30386411,0,REPOSICION LICEO A-17 COMUNA DE YUNGAY,NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,DIGUILLÍN,YUNGAY,APRO CORE,FI,2019,2021
642ffbb3-68de-4349-8436-9a251dec3aaa,30386411-2022,30386411,0,REPOSICION LICEO A-17 COMUNA DE YUNGAY,VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,MUNICIP. YUNGAY,DIGUILLÍN,YUNGAY,APROBADO TÉCNICAMENTE,RS,2022,2022
808309ce-cfcc-49df-afa1-5dfc5a0d11bd,30387725-2019,30387725,0,NORMALIZACIÓN ESCUELA DAFNE ZAPATA ROZAS,NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,DIGUILLÍN,PEMUCO,NO RECOMEN,INADMISIBLE,2019,2019
