SUB,ITEM, ASIG,CODIGO,UNIDAD TECNICA ,NOMBRE DE LA INICIATIVA,PROVINCIA,COMUNA, MONTO FNDR M$ ,Nº RES INCORPORA/ CERT CORE,FECHA RES INCORPORA/ CERT CORE,Nº RES CREA ASIGNACIÓN,FECHA RES CREA  ASIGNACIÓN,ESTADO DE CONVENIO,FECHA FIRMA DE CONVENIO ,Nº RES APRUEBA CONVENIO ,FECHA RES APRUEBA CONVENIO,TIPO DE RESOLUCIÓN ,ESTADO CONVENIO EN CGR,FECHA TOMA DE RAZON DE CGR,Nº OFICIO ENVIA CONVENIO,FECHA OFICIO ENVIA CONVENIO,REFERENTE TECNICO O CONTRAPARTE TECNICA,Nº RES REFERENTE TECNICO
31,02,-,40049932,MUNICIPALIDAD DE  EL CARMEN,"CONSTRUCCION CANCHA DE PASTO SINTETICO PARQUE SUR, COMUNA DEL CARMEN ",DIGUILLÍN,EL CARMEN , $ 379.999 ,143,26/03/2024,6,13/02/2024,FIRMADO,05/04/2024,28,16/04/2024,AFECTA,T.R CON ALCANCES,02/05/2024,666,5/3/2024,JAVIER BRITO AGUAYO,317/10.05.2024
33,01,272,40056218,ORQUESTA DE CAMARA SAN CARLOS,TRANSFERENCIA PARA EL ACCESO CULTURAL EN LA REGION DE ÑUBLE,REGIONAL,REGIONAL, $ 432.168 ,N/A,N/A,109,21-08-2023,FIRMADO,10-04-2024,32,22-04-2024,AFECTA,T.R CON ALCANCES,14-05-2024,620,22-04-2024,DIT,
31,02,-,40049459,MUN. SAN FABIAN,"CONSTRUCCION CANCHA DE PASTO SINTETICO PASO ANCHO, COMUNA DE SAN FABIAN",PUNILLA,SAN FABIÁN, $ 379.861 ,142,26/03/2024,6,13/02/2024,FIRMADO,08/04/2024,34,29/04/2024,AFECTA,T.R CON ALCANCES,14/05/2024,750,5/16/2024,INVERSIONES,
31,02,-,40048158,MUN. PEMUCO,CONSTRUCCION CANCHA DE FUTBOL SECTOR GENERAL CRUZ COMUNA DE PEMUCO,DIGUILLÍN,PEMUCO, $ 379.910 ,143,26/03/2024,19,01/04/2024,FIRMADO,07/05/2024,39,10/05/2024,AFECTA,T.R CON ALCANCES,10/06/2024,871,13-06-2024,CARLOS JUNGJOHANN MUÑOZ,
33,03,125,40045516,MUN. QUIRIHUE,"CONSTRUCCIÓN ILUMINACIÓN SUSTENTABLE EN CAMINO RURAL CASA BLANCA, COMUNA DE QUIRIHUE",ITATA,QUIRIHUE, $ 35.130 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,898,17-08-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40045518,MUN. QUIRIHUE,"REPOSICIÓN REFUGIOS PEATONALES E ILUMINACIÓN SUSTENTABLE SECTOR RISCO DEL LEON, QUIRIHUE",ITATA,QUIRIHUE, $ 35.465 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,897,17-08-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40050690,MUN. COELEMU,"MEJORAMIENTO ILUMINACIÓN PÚB.SECT. CARAVANCHEL-GUARILIHUE CENTROTINAJACURA-CASAS QUEMADOS-LOS CASTAÑOS, COELEMU",ITATA,COELEMU, $ 166.157 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,908,18-08-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40050503,MUN. CHILLAN,"CONSTRUCCION MULTICANCHA VILLA PARAÍSO, CHILLÁN ",DIGUILLÍN,CHILLÁN, $ 150.523 ,775,11-07-2023,775,11-07-2023,FIRMADO,18-07-2023,986,21-09-2023,EXENTA,N/A,N/A,,,JAVIER BRITO AGUAYO,1291/19.12.2023
33,03,125,40050701,MUN. COELEMU,"MEJORAMIENTO ILUMINACIÓN PÚBLICA SECTOR RANGUELMO, COMUNA DE COELEMU",ITATA,COELEMU, $ 166.327 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,909,18-08-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40050611,MUNICIPALIDAD DE  PINTO,"CONSTRUCCION MEDIALUNA CLUB DE HUASOS INTERCOMUNAL, SECTOR SANTO DOMINGO",DIGUILLÍN,PINTO, $ 146.239 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,842,01-08-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40050561,MUN. BULNES,"MEJORAMIENTO PLAZA CIVICA TRES ESQUINAS, COMUNA DE BULNES",DIGUILLÍN,BULNES, $ 166.700 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,797,24-07-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,40034102,MUN. BULNES,"CONSTRUCCION PATIO TECHADO ESCUELA CELIA URRUTIA, COMUNA DE BULNES",DIGUILLÍN,BULNES, $ 90.000 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,796,24-07-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,40047372,MUN. BULNES,"NORMALIZACION SISTEMA ELECTRICO LICEO BICENTENARIO SANTA CRUZ DE LARQUI, BULNES",DIGUILLÍN,BULNES, $ 113.330 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,798,24-07-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,40050105,MUNICIPALIDAD DE  PINTO,"MEJORAMIENTO AREA DE JUEGOS INFANTILES PLAZA DE PINTO, COMUNA DE PINTO",DIGUILLÍN,PINTO, $ 126.121 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,839,01-08-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40033288,MUN. QUILLON,"CONSTRUCCION MURO DE CONTENCION CALLE 18 DE SEPTIEMBRE, QUILLON",DIGUILLÍN,QUILLÓN , $ 165.817 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,837,31-07-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40050745,MUN. COELEMU,"MEJORAMIENTO POSTA DE SALUD RURAL GUARILIHUE, COMUNA DE COELEMU",ITATA,COELEMU, $ 142.473 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,906,18-08-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40051610,MUN. TREHUACO,"MEJORAMIENTO CAMINOS VECINALES, DISTINTOS SECTORES, COMUNA DE TREHUACO",ITATA,TREHUACO, $ 166.638 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,807,24-07-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40051216,MUN. SAN NICOLAS,REPOSICION CUBIERTA CESFAM SAN NICOLAS,PUNILLA,SAN NICOLÁS, $ 50.006 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,791,24-07-2023,EXENTA,N/A,N/A,,,CAROLINA SEREY PROVOSTE ,1291/19.12.2023
33,03,125,40046288,MUN. ÑIQUEN,INSTALACION LIMINARIAS EN MULTIPLES SECTORES DE LA COMUNA DE ÑIQUEN ,PUNILLA,ÑIQUÉN, $ 131.753 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,795,24-07-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,40051609,MUN. TREHUACO,"MEJORAMIENTO CAMINO VECINAL, MINAS LEUQUE-CAÑA DULCE, COMUNA DE TREHUACO",ITATA,TREHUACO, $ 166.713 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,805,24-07-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40051002,MUN. YUNGAY,REPOSICION Y MEJORAMIENTO DE LUMINARIAS EN DIVERSOS SECTORES DE LA COMUNA DE YUNGAY,DIGUILLÍN,YUNGAY, $ 165.475 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,803,24-07-2023,EXENTA,N/A,N/A,,,CAROLINA SEREY PROVOSTE ,1291/19.12.2023
33,03,125,40021865,MUN. YUNGAY,"CONSTRUCCION EXTENSION Y MEJORAMIENTO ALUMBRADO PUBLIC DIVERSOS SECTORES, COMUNA DE YUNGAY",DIGUILLÍN,YUNGAY, $ 157.372 ,775,11-07-2023,50,05-02-2024,FIRMADO,12-07-2023,804,24-07-2023,EXENTA,N/A,N/A,,,CAROLINA SEREY PROVOSTE ,
33,03,125,40051449,MUN. ÑIQUEN,MEJORAMIENTO CAMINOS EN DIVERSOS SECTORES DE LA COMUNA DE ÑIQUÉN APLICANDO SUPRESOR DE POLVO,PUNILLA,ÑIQUÉN, $ 89.869 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,794,24-07-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,40050825,MUN. NINHUE,"MEJORAMIENTO VIALIDAD RURAL CON POLVO, COMUNA DE NINHUE",ITATA,NINHUE, $ 159.558 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,788,24-07-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40039545,MUN. NINHUE,"CONSTRUCCION SEDE CLUB DEPORTIVO LA ISLA, COMUNA DE NINHUE",ITATA,NINHUE, $ 111.824 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,789,24-07-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40046304,MUN. COELEMU,MEJORAMIENTO DE PAVIMENTACIÓN DE CALLES DE LA COMUNA DE COELEMU,ITATA,COELEMU, $ 165.912 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,907,18-08-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40050954,MUN. BULNES,REPOSICION SEÑALETICAS VIALES DIVERSAS CALLES DE LA COMUNA DE BULNES ,DIGUILLÍN,BULNES, $ 166.770 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,799,24-07-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,40045315,MUNICIPALIDAD DE PORTEZUELO,"MEJORAMIENTO MULTICANCHA, SECOTRES LLAHUEN Y EL SAUCE, COMUNA DE PORTEZUELO",ITATA,PORTEZUELO, $ 154.788 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,806,24-07-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40051209,MUN. QUIRIHUE,MEJORAMIENTO DE CAMINOS MEDIANTE SERVICIOS DE SUMINISTRO Y APLICACIÓN DE SUPRESOR DE POLVO,ITATA,QUIRIHUE, $ 80.045 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,896,17-08-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40051453,MUN. ÑIQUEN,MEJORAMIENTO CAMINOS EN DIVERSOS SECTORES DE LA COMUNA DE ÑIQUÉN CON MATERIAL ESTABILIZADO,PUNILLA,ÑIQUÉN, $ 89.646 ,775,11-07-2023,775,11-07-2023,FIRMADO,12-07-2023,793,24-07-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,40051602,MUNICIPALIDAD DE  RANQUIL,CONTRUCCION E INSTALACION SEÑALETICA TURISTICA COMUNA DE RANQUIL,ITATA,RÁNQUIL, $ 132.600 ,775,11-07-2023,775,11-07-2023,FIRMADO,30-08-2023,949,01-09-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40050795,MUN. SAN IGNACIO,"CONSTRUCCION MULTICANCHA LICEO PUEBLO SECO, COMUNA DE SAN IGNACIO",DIGUILLÍN,SAN IGNACIO, $ 165.389 ,776,11-07-2023,776,11-07-2023,FIRMADO,12-07-2023,802,24-07-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40056048,MUN. CH VIEJO,"ADQUISICION DE MATERIALES Y ARRIENDO MAQUINARIAS PARA CONSERVACION DE CAMINOS, CHILLAN VIEJO",DIGUILLÍN,CHILLÁN VIEJO, $ 111.563 ,776,11-07-2023,776,11-07-2023,FIRMADO,12-07-2023,800,24-07-2023,EXENTA,N/A,N/A,,,JAVIER BRITO AGUAYO,1291/19.12.2023
33,03,125,40056067,MUN. COIHUECO,"REPARACION DIVERSOS CAMINOS RURALES, COMUNA DE COIHUECO",PUNILLA,COIHUECO, $ 120.000 ,776,11-07-2023,776,11-07-2023,FIRMADO,12-10-2023,1138,31-10-2023,EXENTA,N/A,N/A,,,CAROLINA SEREY PROVOSTE,279/02.05.2024
33,03,125,40056013,MUN. COBQUECURA,CONSERVACION CAMINOS COMUNA DE COBQUECURA,ITATA,COBQUECURA, $ 119.958 ,776,11-07-2023,776,11-07-2023,FIRMADO,12-07-2023,808,24-07-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,40056053,MUN. PEMUCO,MEJORAMIENTO CAMINOS RURALES COMUNA DE PEMUCO,DIGUILLÍN,PEMUCO, $ 119.952 ,776,11-07-2023,776,11-07-2023,FIRMADO,12-07-2023,801,24-07-2023,EXENTA,N/A,N/A,,,JAVIER BRITO AGUAYO,1291/19.12.2023
33,03,125,40056090,MUN. SAN CARLOS,CONSERVACION 2 CAMINOS DE LA COMUNA DE SAN CARLOS,PUNILLA,SAN CARLOS, $ 119.912 ,776,11-07-2023,776,11-07-2023,FIRMADO,12-07-2023,790,24-07-2023,EXENTA,N/A,N/A,,,JAVIER BRITO AGUAYO,1291/19.12.2023
33,03,125,40056055,MUN. SAN FABIAN,REPARACION VIAS AFECTADAS POR CATASTROFE EN LA COMUNA DE SAN FABIAN ,PUNILLA,SAN FABIÁN, $ 120.000 ,776,11-07-2023,776,11-07-2023,FIRMADO,12-07-2023,792,24-07-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40051045,MUNICIPALIDAD DE  EL CARMEN,"CONSTRUCCION CIERRE PERIMETRAL SECTOR CHACABUCO, COMUNA DE EL CARMEN ",DIGUILLÍN,EL CARMEN , $ 161.491 ,776,11-07-2023,776,11-07-2023,FIRMADO,12-07-2023,836,31-07-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
31,02,-,30480687,MUNICIPALIDAD DE  PINTO,"CONSTRUCCION CARPETA PASTO SINTETICO Y CIERRE PERIMETRAL CANCHA DE RECINTO,COMUNA DE PINTO",DIGUILLÍN,PINTO, $ 379.987 ,143,26/03/2024,19,01/04/2024,FIRMADO,30/04/2024,40,13/05/2024,AFECTA,TOMADO DE RAZON,27/05/2024,792,5/28/2024,CARLOS JUNGJOHANN MUÑOZ,
29,05/07,,40054221,SSÑ,"ADQUISICION ECOGRAFO Y SIS. DETENCION PRECOZ, CANCER DE MAMA EN ÑUBLE",REGIONAL,REGIONAL, $ 296.675 ,136,22/03/2024,136,22/03/2024,FIRMADO,07/05/2024,41,15-05-2024,AFECTA,T.R CON ALCANCES,06/06/2024,856,6/11/2024,DIDESOH,
29,03,,40044356,MUN. ÑIQUEN,"ADQUISICION CAMION RECOLECTOR DE RESIDUOS SOLIDOS DOMICILIARIOS, COMUNA DE ÑIQUEN ",PUNILLA,ÑIQUÉN, $ 174.056 ,1120,25/10/2023,1120,25/10/2023,FIRMADO,03/05/2024,42,15/05/2024,AFECTA,TOMADO DE RAZON,06/06/2024,850,6/7/2024,CRISTIAN JAQUE GUZMAN ,1293/19.12.2023
29,05,,40045879,SSÑ,REPOSICION EQUIPO RAYOS OSTEOPULMONAR DIGITAL HOSPITAL QUIRIHUE,ITATA,QUIRIHUE, $ 184.633 ,136,22/03/2024,136,22/03/2024,FIRMADO,07/05/2024,44,17/05/2024,AFECTA,T.R CON ALCANCES,06/06/2024,856,6/11/2024,CRISTIAN JAQUE GUZMÁN,
31,02,-,40045787,MUNICIPALIDAD DE NINHUE,"CONSTRUCCION CANCHA PASTO SINTÉTICO Y CIERRE PERIMETRAL, SECTOR COYANCO,
COMUNA DE NINHUE",ITATA,NINHUE, $ 393.149 ,143,26/03/2024,19,01/04/2024,FIRMADO,08/05/2024,48,29/05/2024,AFECTA,T.R CON ALCANCES,18/06/2024,968,7/1/2024,PABLO TRONCOSO ALARCÓN,
33,01,270,40023891,INFOR,TRANSFERENCIA FLORA MELIFERA PARA MEJORAR EL NEGOCIO APICOLA DE LA REGION DE ÑUBLE,REGIONAL,REGIONAL, $ 459.664 ,N/A,N/A,66,26-05-2023,FIRMADO,08-05-2024,49,30-05-2024,AFECTA,T.R CON ALCANCES,24-06-2024,,,HECTOR BASUALTO NAVARRETE,432/24.06.2024
29,03,,40044762,MUNICIPALIDAD DE  PINTO,REPOSICION DE 2 CAMIONES TOLVAS MUNICIPALES COMUNA DE PINTO,DIGUILLÍN,PINTO, $ 310.994 ,362,24-05-2024,362,24-05-2024,FIRMADO,06-06-2024,51,11-06-2024,AFECTA,TOMADO DE RAZON,26-06-2024,962,28-06-2024,CRISTIAN JAQUE GUZMÁN,
29,03/05,002,40055160,MUN. COELEMU,"ADQUISICION RODILLO COMPACTADOR CON CAMION PARA TRASLADO, COMUNA DE COELEMU",ITATA,COELEMU, $ 263.573 ,1070,13-10-2023,1070,13-10-2023,FIRMADO,07-12-2023,52,11-06-2024,AFECTA,TOMADO DE RAZON,26-06-2024,953,27-06-2024,CRISTIAN JAQUE GUZMAN ,
29,03,,40055695,MUN. QUILLON,"ADQUISICION CLINICA VETERINARIA MOVIL, COMUNA DE QUILLON",DIGUILLÍN,QUILLÓN , $ 91.808 ,136,22/03/2024,136,22/03/2024,FIRMADO,03/05/2024,53,17/05/2024,AFECTA,TOMADO DE RAZON,12/07/2024,1047,7/17/2024,CRISTIAN JAQUE GUZMÁN,
33,03,125,40056009,MUN. SAN NICOLAS,REPARACION CAMINOS AFECTADOS POR CATASTROFE DE LA COMUNA DE SAN NICOLAS,PUNILLA,SAN NICOLÁS, $ 117.163 ,911,22-08-2023,911,22-08-2023,FIRMADO,31-08-2023,967,05-09-2023,EXENTA,N/A,N/A,,,CAROLINA SEREY PROVOSTE ,1291/19.12.2023
33,03,125,40056025,MUN. ÑIQUEN,REPARACION CAMINOS EN DIVERSOS SECTORES DE ÑIQUEN MEDIANTE APLICACIÓN MATERIAL ESTABILIZADO,PUNILLA,ÑIQUÉN, $ 119.998 ,911,22-08-2023,911,22-08-2023,FIRMADO,19-12-2023,1353,28-12-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
33,03,125,40056027,MUN. NINHUE,"CONSERVACION CAMINOS VECINALES, COMUNA DE NINHUE",ITATA,NINHUE, $ 119.672 ,911,22-08-2023,911,22-08-2023,FIRMADO,25-08-2023,946,01-09-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40056125,MUN. TREHUACO,"CONSERVACION DE CAMINOS VECINALES  ENDISTINTOS SECTORES POR EMERGENCIA, COMUNA DE TREHUACO",ITATA,TREHUACO, $ 119.999 ,911,22-08-2023,911,22-08-2023,FIRMADO,25-08-2023,944,01-09-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40056026,MUNICIPALIDAD DE  PINTO,CONSERVACION CAMINOS VECINALES RURALES DE LA COMUNA DE PINTO,DIGUILLÍN,PINTO, $ 119.999 ,914,22-08-2023,914,22-08-2023,FIRMADO,17-10-2023,1139,31-10-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40055992,MUN. QUIRIHUE,REPARACION CAMINOS COMUNA DE QUIRIHUE,ITATA,QUIRIHUE, $ 119.214 ,914,22-08-2023,914,22-08-2023,FIRMADO,25-08-2023,943,01-09-2023,EXENTA,N/A,N/A,,,PABLO TRONCOSO ALARCON ,279/02.05.2024
33,03,125,40055915,MUN. COELEMU,"CONSERVACION CONECTIVIDAD CAMINOS RURALES, COMUNA DE COELEMU",ITATA,COELEMU, $ 119.966 ,914,22-08-2023,914,22-08-2023,FIRMADO,25-08-2023,945,01-09-2023,EXENTA,N/A,N/A,,,CARLOS JUNGJOHANN MUÑOZ,1291/19.12.2023
33,03,125,40056051,MUN. BULNES,REPARACION DIVERSOS CAMINOS VECINALES DE LA COMUNA DE BULNES,DIGUILLÍN,BULNES, $ 120.000 ,914,22-08-2023,914,22-08-2023,FIRMADO,03-10-2023,1062,13-10-2023,EXENTA,N/A,N/A,,,JORGE OÑATE CASTRO,1291/19.12.2023
31,02,-,40048087,MUNICIPALIDAD DE  RANQUIL,"CONSTRUCCION CANCHA DE FUTBOL, SAN IGNACIO PALOMARES COMUNA DE RÁNQUIL",ITATA,RÁNQUIL, $ 378.000 ,143,26/03/2024,19,01/04/2024,FIRMADO,FIN FECHA,54,14/06/2024,AFECTA,T.R CON ALCANCES,03/07/2024,1007,08-07-2024,PABLO TRONCOSO ALARCÓN,
29,03/05/06,,40056243,CARABINEROS,ADQUISICION SISTEMA DE AERONAVES REMOTAMENTE POLOTEADAS RPAS PARA LA ZONA DE CARABINEROS DE ÑUBLE,REGIONAL,REGIONAL, $ 225.122 ,136,22/03/2024,136,22/03/2024,FIRMADO,07/06/2024,55,14/06/2024,AFECTA,TOMADO DE RAZON,12/07/2024,1046,7/17/2024,CRISTIAN JAQUE GUZMÁN,
31,02,005/006,40015344,CARABINEROS,"REPOSICION RETEN DE CARABINEROS DE CATO, COMUNA DE COIHUECO",PUNILLA,COIHUECO, $ 878.084 ,,,5,13-02-2024,FIRMADO,07-06-2024,56,14-06-2024,AFECTA,TOMADO DE RAZON,12-07-2024,,,JORGE OÑATE CASTRO,
31,02,-,40049560,MUN. ÑIQUEN,"CONSTRUCCION CANCHA PASTO SINTETICO Y CIERRE PERIMETRAL SECTOR ÑIQUEN ESTACION, ÑIQUEN",PUNILLA,ÑIQUÉN, $ 380.000 ,404,05/06/2024,6,13/02/2024,FIRMADO,08/04/2024,57,14/06/2024,AFECTA,TOMADO DE RAZON,28/06/2024,696,01-07-2024,JAVIER BRITO AGUAYO,
31,02,-,40052652,MUNICIPALIDAD DE NINHUE,"CONSTRUCCION CANCHA PASTO SINTETICO, SECTOR EL RINCON, COMUNA DE NINHUE",ITATA,NINHUE, $ 29.750 ,766/2023,05/10/2023,6,13/02/2024,FIRMADO,05/06/2024,58,18/06/2024,AFECTA,TOMADO DE RAZON,03/07/2024,1008,08-07-2024,DIPLADE,
