COD. ÚNICO,VIGENCIA,AÑO,AÑO PRESP.,BIP,DV,NOMBRE INICIATIVA,TIPO,PROVINCIA,COMUNA,ETAPA,TIPOLOGÍA,Categoría GORE,SUBT,ITEM,ASIG,FORMULADOR,ORIGEN,UNIDAD TÉCNICA,DIVISIÓN VINCULADA,MONTO INICIATIVA,MONTO FNDR,MONTO FINAL APROB.,GASTO VIGENTE,ESTADO ACTUAL,FECHA ESTADO ACTUAL,RATE ACTUAL,FECHA ULTIMO RATE,OBSERVACIONES GENERALES,_source_file,_cleaned_at
30095321-2019,NO VIGENTE,2019,2019,30095321,0,"REPOSICION POSTA DE SALUD RURAL VEGAS DE ITATA, COMUNA DE COELEMU",PROYECTO,ITATA,COELEMU,DISEÑO,MIDESO,,31,,,MUNICIP. COELEMU,MUNICIPIO,,,"$17,450","$17,450",,"M$8,725",REV MDS,,FI,27-12-2019,"// FI DEL 27-12-19 MIDESO ÑUBLE//ADMISIBLE MIDESO 03-05-19 // ENVIADO A REVISIÓN MIDESO POR ORD. 161 DEL 22-04-19 E2016/2019, CARGADO EN BIP 25-04-19 // POR ORD. 294 DEL 09-04-19 E1908/2019 FORMULADOR REPOSTULA INICIATIVA, DERIVADO ANALISTA PARA REVISIÓN //",ANÁLISIS.csv,2025-12-23T05:39:39.786162
30095514-2019,NO VIGENTE,2019,2019,30095514,0,"CONSTRUCCION MUROS DE CONTENCION POBLACION VILLA MADERA, COELEMU",PROYECTO,ITATA,COELEMU,EJECUCIÓN,MIDESO,,31,,,MUNICIP. COELEMU,MUNICIPIO,,,"$451,788","$451,788",,"M$180,715",NO RECOMEN,,INADMISIBLE,12-02-2019,// OFICIO 41 DEL 12-02-19 INFORMA INADMISIBLE // E698/2019 DERIVADO ANALISTA PARA REVISIÓN,ANÁLISIS.csv,2025-12-23T05:39:39.786614
30095718-2019,NO VIGENTE,2019,2019,30095718,0,"CONSTRUCCION EDIFICIO CONSISTORIAL, COMUNA DE QUIRIHUE",PROYECTO,ITATA,QUIRIHUE,EJECUCIÓN,MIDESO,,31,2,,MUNICIP. QUIRIHUE,MUNICIPIO,,,"$7,563,409","$7,563,409",,"M$991,507",REEMPL,,RS,28-12-2018,// EN ESPERA DE PRIORIZACIÓN DE RECURSOS PARA CORE,ANÁLISIS.csv,2025-12-23T05:39:39.786675
30103660-2019,NO VIGENTE,2019,2019,30103660,0,"MEJORAMIENTO PLAZA DE ARMAS, COMUNA DE BULNES",PROYECTO,DIGUILLIN,BULNES,DISEÑO,MIDESO,,31,,,MUNICIP. BULNES,MUNICIPIO,,,"$43,406","$43,406",,"M$43,406",NO RECOMEN,,INADMISIBLE,16-11-2018,"// SEGÚN ACTA DE COMITÉ 16-11-18, INICIATIVA POSTULADA AÑO 2018 EN BIO BIO; POSEE FI DE MIDESO BIO BIO DE FECHA 02-10-18",ANÁLISIS.csv,2025-12-23T05:39:39.786759
30103782-2019,NO VIGENTE,2019,2019,30103782,0,RESTAURACION CAPILLA HOSPITAL SAN JUAN DE DIOS DE CHILLÁN,PROYECTO,DIGUILLIN,CHILLÁN,EJECUCIÓN,MIDESO,,31,2,,MOP ARQUI,SECTORIAL / OTRO,,,"$2,932,180","$2,932,180",,"M$265,183",APRO CORE,,RS,15-03-2019,"// SE RECIBE ORD. 1449 DEL 28-11-19 E6240/2019 EL CUAL SE DERIVA A DIPIR 10-12-19// APROBADO CORE ÑUBLE SEGÚN CERTIFICADO 77 DEL 03-04-19 // SE ENVIA A CORE POR ORD. 128 DEL 25-03-19 // POR ORD. 28 DEL 19-03-19 E1401/2019 ARQUITECTURA INFORMA RS A GORE, DERI",ANÁLISIS.csv,2025-12-23T05:39:39.787015
30113947-2020,NO VIGENTE,2019,2020,30113947,0,CONSTRUCCION CAMARINES ESTADIO MUNICIPAL YUNGAY,PROYECTO,DIGUILLIN,YUNGAY,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. YUNGAY,MUNICIPIO,,,"$60,000","$60,000",,"M$60,000",APRO CORE,,RS,19-12-2019,// ENVIADO A CORE ÑUBLE ORD 489 DEL 30-12-2019 E6909/2020//MEMO S/N ENTREGADO A JEFE DE GABINETE DEL 27-12-2019//CON FECHA 27-12-19 SE INFORMA POR CORREO A FORMULADOR RS//RS DEL 19-12-2019 ENVIADO POR CORREO A JEFE DIPLADE//POR CORREO DEL 18-11-19 FORMULADOR,ANÁLISIS.csv,2025-12-23T05:39:39.787139
30119286-2020,EN PRESUPUESTO,2020,2020,30119286,0,"REPOSICIÓN CESFAM FEDERICO PUGA BORNE, CHILLÁN VIEJO",PROYECTO,DIGUILLIN,CHILLAN VIEJO,EJECUCIÓN,MIDESO,,31,0,0,MUNICIP. CHILLÁN VIEJO,MUNICIPIO,,,"$4,672,751","$4,672,751",,"M$25,678",APRO CORE,,RS,27-04-2020,"// RS MIDESO EL 31-07-20 // ADMISIBLE MIDESO 27-04-20// ENVIADO A MIDESO POR ORD. 191 DEL 20-04-20// 20-04-20 SE ENVÍA POR CORREO OFICIO PARA FIRMA SR. INTENDENTE// E8841/2020 POSTULA FNDR 2020, EN REVISIÓN ANTECEDENTES PARA ENVÍO A MIDESO//",ANÁLISIS.csv,2025-12-23T05:39:39.787622
30119618-2019,NO VIGENTE,2019,2019,30119618,0,"CONSTRUCCION SERVICIO APR SECTOR LAS ROSAS, COMUNA DE SAN IGNACIO",PROYECTO,DIGUILLIN,SAN IGNACIO,EJECUCIÓN,MIDESO,,31,2,,MUNICIP. SAN IGNACIO,MUNICIPIO,,,"$318,612","$318,612",,"M$318,612",APRO CORE,,RS,16-08-2018,// APROBADO CORE DE ACUERDO A CERTIFICADO CORE 81 DE FECHA 08-04-19 // ENVIADO A CORE POR ORD. 136 DEL 28-03-19 E1630/2019 // PRIORIZANDO PARA ENVÍO A CORE,ANÁLISIS.csv,2025-12-23T05:39:39.787778
30119692-2019,NO VIGENTE,2019,2019,30119692,0,NORMALIZACION UNID FARMACIA Y DISPENS.DE FARMACOS HOSP. EL CARMEN,PROYECTO,DIGUILLIN,EL CARMEN,DISEÑO,MIDESO,,31,,,S.SALUD ÑUBLE,SECTORIAL / OTRO,,,"$14,627","$14,627",,"M$14,627",REV MDS,,OT,04-02-2019,"// ADMISIBLE MIDESO 23-01-19 / ENVIADO A MIDESO POR ORD. 42 DEL 18-01-19, SUBIDO A BIP 21-01-19 / EN REVISIÓN ANALISTA",ANÁLISIS.csv,2025-12-23T05:39:39.787852
30122860-2019,NO VIGENTE,2019,2019,30122860,0,"CONSTRUCCION CANCHA PASTO SINTÉTICO 22 DE AGOSTO, CHILLAN",PROYECTO,DIGUILLIN,CHILLÁN,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. CHILLÁN,MUNICIPIO,,,"$45,000","$45,000",,"M$45,000",RATIF CORE,,RS,,// POR CERTIFICADO 26 DEL 21-01-19 CORE RATIFICA FINANCIAMIENTO INICIATIVA APROBADA POR CORE BIO BIO,ANÁLISIS.csv,2025-12-23T05:39:39.788698
30126289-2019,NO VIGENTE,2019,2019,30126289,0,NORMALIZACION SISTEMAS ELECTRICOS EN ESTAB PENIT. CCP BULNES,PROYECTO,DIGUILLIN,BULNES,EJECUCIÓN,MIDESO,,31,2,,GENDARMERIA,SECTORIAL / OTRO,,,"$510,952","$510,952",,"M$510,952",REV MDS,,FI,28-08-2019,"// ENVIADO A MIDESO POR ORD. 343 DEL 05-08-19 E4011/2019, CARGADO EN BIP 07-08-19 // ORD. DE ENVÍO A MIDESO PARA FIRMA JEFE DIPLADE 05-08-19 // POR CORREO DE FECHA 23-07-19 FORMULADOR SOLICITA AUMENTO DE PLAZO PARA RESPONDER A OBSERVACIONES, POR CORREO DEL M",ANÁLISIS.csv,2025-12-23T05:39:39.788848
30126533-2019,NO VIGENTE,2019,2019,30126533,0,NORMALIZACION REDES ELÉCTRICOS CENTRO DETENCION PREVENTIVA YUNGAY,PROYECTO,DIGUILLIN,YUNGAY,EJECUCIÓN,MIDESO,,31,2,,GENDARMERIA,SECTORIAL / OTRO,,,"$403,708","$403,708",,"M$201,854",PRIORIZANDO MDS,,ADMISIBLE,17-09-2019,// OFICIO DE ENVÍO A MIDESO PARA FIRMA JEFE DIPLADE 17-09-19 // E2062/2019 ASIGNADO ANALISTA PARA REVISIÓN,ANÁLISIS.csv,2025-12-23T05:39:39.788945
30126592-2019,NO VIGENTE,2019,2019,30126592,0,NORMALIZACION REDES ELÉCTRICAS CENTRO DETENCION PREVENTIVA SAN CARLOS,PROYECTO,PUNILLA,SAN CARLOS,EJECUCIÓN,MIDESO,,31,2,,GENDARMERIA,SECTORIAL / OTRO,,,"$560,407","$560,407",,"M$560,407",REV MDS,,FI,30-08-2019,"// ENVIADO A MIDESO POR ORD. 344 DEL 05-08-19 E4012/2019, CARGADO EN BIP 07-08-19 // ORD. DE ENVÍO A MIDESO PARA FIRMA JEFE DIPLADE 05-08-19 // POR CORREO DE FECHA 23-07-19 FORMULADOR SOLICITA AUMENTO DE PLAZO PARA RESPONDER A OBSERVACIONES, POR CORREO DEL M",ANÁLISIS.csv,2025-12-23T05:39:39.789031
30128024-2022,VIGENTE,2022,2022,30128024,0,REPOSICION Y EQUIPAMIENTO SERVICIO MÉDICO LEGAL DE CHILLÁN,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,MIDESO,JUSTICIA,31,2,,SERVICIO MÉDICO LEGAL,SECTORIAL / OTRO,GORE-DIDESO,,"M$2,994,413","M$2,994,413","M$2,994,413","M$1,814,165",APROBADO TÉCNICAMENTE,,RS,11-07-2022,"RS MIDESO BIOBIO, RECURSOS BIOBIO DEVUELVE ÑUBLE, PROYECTO EN EJECUCIÓN OF N°6124 SOLO AVISO",ANÁLISIS.csv,2025-12-23T05:39:39.789108
30130455-2022,VIGENTE,2022,2022,30130455,0,"ADQUISICION CAMIÓN ALJIBE, CHILLAN VIEJO",PROYECTO,DIGUILLÍN,CHILLÁN VIEJO,EJECUCIÓN,C-33,VEHÍCULOS Y MAQUINARIAS,29,3,,MUNICIP. CHILLÁN VIEJO,MUNICIPIO,MUNICIP. CHILLÁN VIEJO,,"M$96,838","M$96,838","M$96,838",M$0,APROBADO TÉCNICAMENTE,18.10.2022,RS,18-10-2022,RS,ANÁLISIS.csv,2025-12-23T05:39:39.789205
30131927-2019,NO VIGENTE,2019,2019,30131927,0,"REPOSICION MAQUINARIA MUNICIPAL PARA MANTENCION DE LA RED VIAL, COMUNA DE COIHUECO",PROYECTO,PUNILLA,COIHUECO,EJECUCIÓN,C-33,,29,5,2,ASOCIACIÓN PUNILLA,MUNICIPIO,,,"$442,823","$442,823",,"M$442,823",REEMPL,,INADMISIBLE,12-12-2018,// REEMPLAZADO POR IDI 40010268 / DEBE REINGRESAR CON CODIGO BIP NUEVO E INDICAR CODIGO DE MIGRACIÓN BIO BIO,ANÁLISIS.csv,2025-12-23T05:39:39.789285
30132368-2020,EN PRESUPUESTO,2020,2020,30132368,0,"MEJORAMIENTO AVDA. VICENTE MENDEZ, PAUL HARRIS Y LAS ROSAS, CHILLÁN",PROYECTO,DIGUILLIN,CHILLÁN,DISEÑO,MIDESO,,31,1,0,MINVU SERVIU,SECTORIAL / OTRO,,,"$892,618","$892,618",,"M$179,550",RECHZ DIPRES,,RS,23-07-2019,"// RECHAZADO CORE SESIÓN 22-04-20// INCLUÍDO EN COMISIÓN CORE Y SESIÓN CORE DEL 08-04-20// E8369/2020 INGRESA ORD. 154 DEL 05-03-20 A CORE ÑUBLE // E8360/2020 INGRESA INICIATIVA POR ORD. 199 DEL 28-02-20; PROYECTO YA CONTABA CON RS FONDOS SECTORIALES, SE SOLICITÓ CAMBIO DE FUENTE A MIDESO Y AHORA SE ENVÍA PARA PRESENTACIÓN A CORE.",ANÁLISIS.csv,2025-12-23T05:39:39.789371
30132719-2019,NO VIGENTE,2019,2019,30132719,0,"REPOSICION EDIFICIO CONSISTORIAL, EL CARMEN",PROYECTO,DIGUILLIN,EL CARMEN,EJECUCIÓN,MIDESO,,31,2,,MUNICIP. EL CARMEN,MUNICIPIO,,,"$6,748,556","$1,382,722",,"M$2,667",RATIF CORE,,RS,,// POR CERTIFICADO 26 DEL 21-01-19 CORE RATIFICA FINANCIAMIENTO INICIATIVA APROBADA POR CORE BIO BIO,ANÁLISIS.csv,2025-12-23T05:39:39.789489
30133087-2019,NO VIGENTE,2019,2019,30133087,1,"NORMALIZACION CESFAM DE SANTA CLARA, BULNES",PROYECTO,DIGUILLIN,BULNES,DISEÑO,MIDESO,,31,,,MUNICIP. BULNES,MUNICIPIO,,,"$44,338","$44,338",,"M$44,338",PRIORIZANDO MDS,,FI,14-05-2019,"// SE ENVÍA OFICIO 546 DEL 11-09-19 E4738/2019 A ALCALDE PARA QUE INFORME POR NO SUBSANACIÓN DE OBSERVACIONES // ENVIADO A MIDESO POR ORD. 155 DE FECHA 18-04-19 E1993/2019, CARGADO EN BIP 22-04-19 // SE ENVIA CORREO A FORMULADOR EL 15-04-19 SOLICITANDO ACTUA",ANÁLISIS.csv,2025-12-23T05:39:39.789741
30133374-2019,NO VIGENTE,2019,2019,30133374,0,"REPOSICION GIMNASIO MUNICIPAL ROBERTO MARCELO DIAZ RABANAL,COELEMU",PROYECTO,ITATA,COELEMU,DISEÑO,MIDESO,,31,,,MUNICIP. COELEMU,MUNICIPIO,,,"$70,240","$70,240",,"M$70,240",NO RECOMEN,,INADMISIBLE,14-02-2019,// INADMISIBLE INFORMADO POR ORD. 47 DEL 14-02-19 E858/2019 // E701/2019 DERIVADO ANALISTA PARA REVISIÓN,ANÁLISIS.csv,2025-12-23T05:39:39.790057
30133425-2019,NO VIGENTE,2019,2019,30133425,0,"MEJORAMIENTO ACERAS SECTOR CENTRO, CHILLAN",PROYECTO,DIGUILLIN,CHILLÁN,EJECUCIÓN,MIDESO,,31,,,MUNICIP. CHILLÁN,MUNICIPIO,,,"$3,858,648","$3,858,648",,"M$428,739",APRO CORE,,RS,17-12-2019,"// ENVIA A CORE ÑUBLE POR ORD 483 DEL 23-12-2019 E6731/2019//POR MEMO 69 DEL 19-12-2019 SE ENVIA A FIRMA INTENDENTE//RS DEL 17-12-2019 MIDESO//FI DEL 13-12-19 MIDESO// ENVIADO A MIDESO POR ORD. 192 DEL 10-05-19 E2359/2019, CARGADO EN BIP MISMO DIA // ADMISI",ANÁLISIS.csv,2025-12-23T05:39:39.790137
30133593-2021,NO VIGENTE,2021,2021,30133593,0,"MEJORAMIENTO CENTRO CÍVICO PLAZA DE ARMAS, CHILLÁN",PROYECTO,DIGUILLIN,CHILLÁN,DISEÑO,MIDESO,Plazas/Parques,31,2,0,MUNICIP. CHILLÁN,MUNICIPIO,,,"$249,345","$249,345",,"M$124,672",,,FI,30-06-2021,OFICIO LISTO PARA SER ENVIADO POR ODD // DERIVADO A MARÍA JOSÉ PARA REVISIÓN,ANÁLISIS.csv,2025-12-23T05:39:39.790789
30134669-2019,NO VIGENTE,2019,2019,30134669,0,RESTAURACION IGLESIA DE LA VIRGEN DEL CARMEN DE CHILLÁN,PROYECTO,DIGUILLIN,CHILLÁN,EJECUCIÓN,MIDESO,,31,2,,MOP ARQUI,SECTORIAL / OTRO,,,"$6,089,165","$6,089,165",,"M$4,914",REEMPL,,RS,30-01-2019,"// INGRESADO NUEVAMENTE PARA SOLICITAR FINANCIAMIENTO POR ORD. 43 DEL 30-04-19 E2182/2019, DERIVADO A JEFE DE DIVISIÓN PARA VER PRIORIZACIÓN",ANÁLISIS.csv,2025-12-23T05:39:39.790922
30164123-2019,NO VIGENTE,2019,2019,30164123,0,"ADQUISICIÓN MATERIAL MENOR, BOMBEROS ASOC. PUNILLA",PROYECTO,PUNILLA,PUNILLA,EJECUCIÓN,C-33,,29,4,,ASOCIACIÓN PUNILLA,MUNICIPIO,,,"$724,657","$724,657",,"M$724,657",REEMPL,,INADMISIBLE,12-12-2018,"// REEMPLAZADO POR IDI 40010250, EXISTENTE; INICIATIVA NO FINANCIABLE POR LINEAMIENTOS C-33",ANÁLISIS.csv,2025-12-23T05:39:39.791017
30183222-2019,NO VIGENTE,2019,2019,30183222,0,"HABILITACION ENSEÑANZA MEDIA ESCUELA EL PORVENIR DE CATO, COIHUECO",PROYECTO,PUNILLA,COIHUECO,DISEÑO,MIDESO,,31,2,,MUNICIP. COIHUECO,MUNICIPIO,,,"$74,738","$74,738",,"M$74,738",RATIF CORE,,RS,04-09-2018,"// PROYECTO FUE RATIFICADO POR CORE ÑUBLE DE APROBACIÓN CORE BIO BIO SEGÚN CERTIFICADO 26 DEL 21-01-19, APROBADO EN BIO BIO SEGUN CERTIFICADO 5284 DEL 22-06-17 // SE INFORMA INADMISIBILIDAD POR ORD. 60 DEL 21-02-19 E968/2019 // SIN PRIORIZACIÓN PARA CORE AL",ANÁLISIS.csv,2025-12-23T05:39:39.791180
30195772-2019,NO VIGENTE,2019,2019,30195772,0,ADQUISICION 4 FURGONES COMUNA DE QUIRIHUE,PROYECTO,ITATA,QUIRIHUE,EJECUCIÓN,C-33,,29,3,,MUNICIP. QUIRIHUE,MUNICIPIO,,,"$156,800","$156,800",,"M$156,800",REVISAR,,,,"// INICIATIVA POSTULADA AÑO 2019 REGION DE ÑUBLE CON CODIGO BIP BIO BIO, DEBE CREAR CODIGO BIP PARA ÑUBLE",ANÁLISIS.csv,2025-12-23T05:39:39.791288
30202824-2019,NO VIGENTE,2019,2019,30202824,1,REPOSICION CENTRO DE SALUD FAMILIAR SAN FABIAN DE ALICO,PROYECTO,PUNILLA,SAN FABIAN,DISEÑO,MIDESO,,31,2,,MUNICIP. SAN FABIÁN,MUNICIPIO,,,"$190,463","$190,463",,"M$190,463",APRO CORE,,RS,19-06-2019,// APROBADO CORE POR ORD. 160 DEL 30-07-19 E3969/2019// PRESENTADO A CORE POR ORD. 294 DEL 03-07-19 E3395/2019 // OFICIO DE ENVIA A CORE PARA FIRMA JEFE DIVISION 02-07-19 // POR ORD. 413 DEL 24-06-19 E3308/2019 ALCALDE SOLICITA PRIORIZACIÓN Y FINANCIAMIENTO,ANÁLISIS.csv,2025-12-23T05:39:39.791351
30216322-2019,NO VIGENTE,2019,2019,30216322,0,CONSTRUCCION RED ALCANTARILLADO A.S. CALLES 18 SEPT. Y OTRAS QUILLÓN,PROYECTO,DIGUILLIN,QUILLÓN,EJECUCIÓN,MIDESO,,31,,,MUNICIP. QUILLÓN,MUNICIPIO,,,"$583,640","$583,640",,"M$583,640",REV MDS,,FI,29-03-2019,"// INICIATIVA NO CONTINUA PROCESO 2020, SEGÚN CORREO DE FORMULADOR 09-01-20// ADMISIBLE MIDESO 15-03-19 // POR ORD. 104 DEL 06-03-19 E1180/2019 SE ENVÍA A MIDESO, CARGADO EN BIP 07-03-19 // POR ORD. 80/13/2019 E1006/2019 MUNICIPIO INFORMA SUBSANACIÓN DE OBSERVACIONES PARA ENVÍO DE INICIATIVA A MIDESO, DERIVADO ANALISTA PARA TRAMITA",ANÁLISIS.csv,2025-12-23T05:39:39.792101
30231222-2022,EN PRESUPUESTO,2022,2022,30231222,0,ADQUISICION DE 4 VEHICULOS TRASLADO PACIENTES POSTRADOS Y DISCAP.,PROYECTO,PUNILLA,PUNILLA,EJECUCIÓN,C-33,SALUD,29,3,,ASOCIACIÓN PUNILLA,MUNICIPIO,ASOCIACIÓN PUNILLA,,"M$538,307","M$538,307","M$538,307","M$538,307",CONVENIO APROBADO,,RS,10-06-2022,"GORE en revisión, via correo/Doc. Actualizada en BIP/RS N°175/OF. CORE N°743",ANÁLISIS.csv,2025-12-23T05:39:39.792212
30245474-2019,NO VIGENTE,2019,2019,30245474,0,CONSTRUCCION CUARTEL DE BOMBEROS COMUNA DE SAN NICOLÁS,PROYECTO,PUNILLA,SAN NICOLÁS,EJECUCIÓN,MIDESO,,31,2,,MUNICIP. SAN NICOLÁS,MUNICIPIO,,,"$947,356","$947,356",,"M$833,015",APRO CORE,,RS,07-01-2019,"// APROBADO CORE E1267/2019 // ENVIADO A CORE POR ORD. 84 DEL 21-02-19 E965/2019 // NO PRIORIZADO PARA ENVÍO A CORE, CORREO DEL 25-01-19 / ENTREGADO ANALISTA GORE PARA PREPARAR OFICIO PARA CORE 23-01-19 TIENE RS MIDESO BIO BIO",ANÁLISIS.csv,2025-12-23T05:39:39.792410
