TRAZO PRIMARIO,TRAZO SECUNDARIO,NOMBRE DE INICIATIVA,DIVISIÓN,BIP,COMUNA,"CONTRAPARTE TÉCNICA EXTERNA 
(NOMBRE.,  CARGO, CORREO, TELEFONO)","RESPONSABLE SEGUIMIENTO GORE
(NOMBRE.,  CARGO, CORREO, TELEFONO)",ESTADO,ETAPA A LA CUAL POSTULA,FORMULADOR,UNIDAD TÉCNICA,FUENTE FINANCIERA,ESTADO FINANCIERO,MONTO,HITO,MEDIDA,UNIDAD,ENE-MAR 2026,MAR-JUN 2026,JUN-SEP 2026,SEP-DIC 2026,ENE-MAR 2027,MAR-JUN 2027,JUN-SEP 2027,SEP-DIC 2027,ENE-MAR 2028,MAR-JUN 2028,JUN-SEP 2028,SEP-DIC 2028,2029  Y MÁS,FECHA DE INICIO,FECHA DE TERMINO,OBSERVACIÓN,ACCIÓN
AZUL,VIOLETA,AMPLIACIÓN BORDE COSTERO BUCHUPUREO COBQUECURA,SECTORIAL,40061284-0,COBQUECURA,,,EN FORMULACIÓN,EJECUCIÓN,MOP - DOP,MOP - DOP,MOP - DOP,NO FINANCIADO, $2.188.211 ,INICIO OBRA,,M2,,,,,,,,,,,,,,,,,
AZUL,,SENDERO DE LA COSTA,Ñ250,Sin información,COBQUECURA,,,IDEA,EJECUCIÓN,MUNICIPALIDAD,POR DEFINIR,GORE - FRIL,NO FINANCIADO,Sin información,INICIO OBRA,,M2,,,,,,,,,,,,,,,,,
AZUL,,REPOSICIÓN PUENTE LAS NIÑAS COMUNA DE COBQUECURA,SECTORIAL,40013166-0,COBQUECURA,,,EN FORMULACIÓN,DISEÑO,MINVU,SERVIU,"SERVIU, MINVU",FINANCIADO,"$244,183",ENTREGA DISEÑO,968,M2,,,,,,,,,,,,,,,,,
AZUL,,ÁREAS DEPORTIVAS DE PLAYA,Ñ250,Sin información,COBQUECURA,,,IDEA,EJECUCIÓN,MUNICIPALIDAD,POR DEFINIR,GORE - FRIL,NO FINANCIADO,Sin información,ENTREGA DISEÑO,,M2,,,,,,,,,,,,,,,,,
BLANCO,,ADQUISICIÓN FUNDO BULLILEO ,DIPLADE,40077919-0,SAN FABIÁN,,,EN FORMULACIÓN,SIN INFORMACIÓN,GORE,GORE,GORE - FNDR,FINANCIADO,"$2,457,992",ENTREGA TERRENO,,M2,,,,,,,,,,,,,,,,,
BLANCO,,ADQUISICIÓN FUNDO EL PLAN,DIPLADE,40077918-0,SAN FABIÁN,,,EN FORMULACIÓN,SIN INFORMACIÓN,GORE,GORE,GORE - FNDR,FINANCIADO,"$5,369,969",ENTREGA TERRENO,,M2,,,,,,,,,,,,,,,,,
BLANCO,,RECAMBIO LUMINARIAS LED (LAS TRANCAS),DIPIR,Sin información,PINTO,,SUBDERE,RS,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,PMU,FINANCIADO,"$220,149",INAGURACIÓN,,UNIDAD,,,,,,,,,,,,,,,,INAUGURACIÓN?,CREEMOS ESTA EN DIPIR
BLANCO,,MEJORAMIENTO PLAZOLETA LAS TRANQUITAS,DIPIR,40065036-0,PINTO,,C. JUNGJOHANN,RS,EJECUCIÓN,MUNICIPALIDAD,DIPLADE,GORE - FRIL,FINANCIADO,"$161,698",INAGURACIÓN,700,M2,,,,,,,,,,,,,,,,INAUGURACIÓN?,CREEMOS ESTA EN DIPIR
BLANCO,,DIAGNOSTICO Y ANÁLISIS DE DEMANDA AÉREA AERÓDROMO GENERAL BERNARDO OHIGGINS,DIT,40058872-0,CHILLAN,,Ricardo Pavez,RS,EJECUCIÓN,MOP,MOP,MOP,FINANCIADO,"$281,401",RESULTADO,,DINERO,,,,,,,,,,,,,,,,VUELOS A LA REGIÓN,
BLANCO,VIOLETA,CONSULTORIO PINTO,DIPLADE,40010038-0,PINTO,,,RS,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO,"$7,485,805",INAGURACIÓN,"1,766",M2,,,,,,,,,,,,,,,,,
BLANCO,,CONSULTORIO SAN FABÍAN ,DIPLADE,30202824-0,SAN FABIÁN,,,RS,EJECUCIÓN,MUNICIPALIDAD,SSÑ,GORE - FNDR,NO FINANCIADO,"$5,439,519",INICIO OBRA,"1,510",M2,,,,,,,,,,,,,,,,,
BLANCO,VIOLETA,"CONSTRUCCION BASE SAMU LAS TRANCAS, COMUNA DE PINTO",DIPLADE,Sin información,PINTO,,,IDEA,DISEÑO,MUNICIPALIDAD,SSÑ,GORE - FNDR,NO FINANCIADO,"$115,000",ENTREGA DISEÑO,,M2,,,,,,,,,,,,,,,,,
BLANCO,,TELEFÉRICO TURÍSTICO VALLE CORDILLERANO NEVADOS DE CHILLÁN,SECTORIAL,Sin información,PINTO,,,IDEA,PREFACTIBILIDAD ,MOP,MOP,MOP,NO FINANCIADO,Sin información,RESULTADO,,DINERO,,,,,,,,,,,,,,,,INGRESAR A CON. MOP,
BLANCO,AMARILLO,CONSTRUCCION SISTEMA DE ALCANTARILLADO Y P.T.A.S LOCALIDAD DE SAN FABIAN DE ALICO,DIPIR,40028237-0,SAN FABIÁN,,J. OÑATE,RS,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO,"$9,943,572",INICIO OBRA,641,BENEFICIARIOS,,,,,,,,,,,,,,,,INICIO DE OBRA,
BLANCO,,ALCANTARILLADO Y AP LAS TRANCAS - PREFACTIBILIDAD,DIT,Sin información,PINTO,,Pablo Nuñez,EN FORMULACIÓN,DISEÑO,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,NO FINANCIADO,"$808,791",RESULTADO,"3,285",BENEFICIARIOS,,,,,,,,,,,,,,,,,
BLANCO,CAFÉ,CONSTRUCCION CONEXION VIAL BINACIONAL REGION DE ÑUBLE,DIT,40046503-0,SAN FABIÁN,,Cristian Jefe DIT,EN FORMULACIÓN,PREFACTIBILIDAD ,MOP - VIALIDAD,MOP - VIALIDAD,MOP - VIALIDAD,NO FINANCIADO,"$653,743",RESULTADO,,DINERO,,,,,,,,,,,,,,,,HABILITACIÓN TRANSITORIA PASO FRONTERIZA (FNDR) - PUENTES MECANOS ( DIT) (MOP) ,
BLANCO,CAFÉ,MINAS ÑUBLE HABILITACIÓN PASO FRONTERIZO,DIT,Sin información,SAN FABIÁN,,Cristian Jefe DIT,EN FORMULACIÓN,EJECUCIÓN,MOP - VIALIDAD,MOP - VIALIDAD,MOP - VIALIDAD,NO FINANCIADO,"$653,743",RESULTADO,,UNIDAD,,,,,,,,,,,,,,,,,
BLANCO,,SEGURIDAD EN LA MONTAÑA - INICIATIVA DE SEÑALETICAS SOCORRO ANDINO,Ñ250,Sin información,PINTO,,,IDEA,EJECUCIÓN,GORE,GORE,GORE - FRIL,NO FINANCIADO,Sin información,INAUGURACIÓN,,DINERO,,,,,,,,,,,,,,,,,
BLANCO,ROJO,ESTUDIO RUTA ACCESO FUNDO EL PLAN,Ñ250,Sin información,PINTO,,,IDEA,PREFACTIBILIDAD ,MOP - VIALIDAD,MOP - VIALIDAD,GORE - FNDR,NO FINANCIADO,Sin información,RESULTADO,,DINERO,,,,,,,,,,,,,,,,,
BLANCO,,"SENDA MULTIPROPOSITO PARA PEATONES Y VEHICULOS NO MOTORIZADOS , COMUNA DE PINTO.",SECTORIAL,40030991-0,PINTO,,,IDEA,DISEÑO,MOP - VIALIDAD,MOP - VIALIDAD,"SERVIU, MOP",NO FINANCIADO,137.855,ENTREGA DISEÑO,,KM,,,,,,,,,,,,,,,,PROYECTO CON RS SIN FINANCIAR,
BLANCO,ROJO,ESTUDIO RUTA ACCESO RESERVA NACIONAL ÑUBLE,Ñ250,Sin información,PINTO,,,IDEA,PREFACTIBILIDAD ,MOP,MOP - VIALIDAD,GORE - FNDR,NO FINANCIADO,Sin información,RESULTADO,,DINERO,,,,,,,,,,,,,,,,,
BLANCO,,KM CICLISMO TURISMO MONTAÑA SAN FABIAN - LAS TRANCAS,DIFOI,Sin información,PINTO,,,IDEA,EJECUCIÓN,MOP - VIALIDAD,MOP - VIALIDAD,GORE - FNDR,NO FINANCIADO,Sin información,RESULTADO,,KM,,,,,,,,,,,,,,,,,
BLANCO,ROJO,RUTA LAS TRANCAS Y SAN FABIAN,DIT,Sin información,"PINTO, SAN FABIÁN",,Nicolas Lara,IDEA,PREFACTIBILIDAD ,MOP - VIALIDAD,MOP - VIALIDAD,GORE - FNDR,NO FINANCIADO,Sin información,RESULTADO,,DINERO,,,,,,,,,,,,,,,,PRE FACTIBILIDAD,
BLANCO,ROJO,ESTUDIO RUTA ACCESO RESERVA NACIONAL HUEMULES DE NIBLINTO,SECTORIAL,Sin información,COIHUECO,,,IDEA,PREFACTIBILIDAD ,MOP - VIALIDAD,MOP - VIALIDAD,GORE - FNDR,NO FINANCIADO,Sin información,RESULTADO,,DINERO,,,,,,,,,,,,,,,,EXPROPIACIÓN,
CELESTE,,"Conservación Parque Monumental Bdo. O´Higgins, Chillán Viejo",SECTORIAL,40072302-0,CHILLÁN VIEJO,,,ADMISIBILIDAD,EJECUCIÓN,MINVU,SERVIU,MINVU,FINANCIADO," $ 470,985 ",INICIO OBRA,"31,250",M2,,,,,,,,,,,,,,,,jul-26,
CELESTE,,Mejoramiento Plaza de Armas Chillán Viejo,MUNICIPAL,Sin información,CHILLÁN VIEJO,,,IDEA,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,NO FINANCIADO,Sin información,INICIO OBRA,,M2,,,,,,,,,,,,,,,,Por Definir,
CELESTE,,"Mejoramiento espejo de agua e iluminación Mural María Martner, Ch. Viejo, Parque O´Higgins",DIPIR,40048792-0,CHILLÁN VIEJO,,J. OÑATE,RS,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 242,863 ",INAGURACIÓN,258,M2,,,,,,,,,,,,,,,,dic-25,
CELESTE,,"MEJORAMIENTO ESPACIO PUBLICO CALLE ANGEL PARRA, DE CHILLAN VIEJO",SECTORIAL,40026545-0,CHILLÁN VIEJO,,,EN FORMULACIÓN,EJECUCIÓN,MUNICIPALIDAD,SERVIU,MINVU,NO FINANCIADO,75.976,INICIO OBRA,"10,300",M2,,,,,,,,,,,,,,,,Pendiente,
CELESTE,,Museo Bernardo O´Higgins,MUNICIPAL,Sin información,CHILLÁN VIEJO,,,IDEA,DISEÑO,MUNICIPALIDAD,POR DEFINIR,Por Definir,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,Por Definir,
CELESTE,,"Construcción Parque Intercomunal Ultraestación, Chillán",DIPIR,40014384-0,CHILLAN,,J. OÑATE,RS,DISEÑO,MINVU,SERVIU,GORE - FNDR,FINANCIADO," $ 3,822,158 ",ENTREGA DISEÑO,"86,150",M2,,,,,,,,,,,,,,,,mar-26,
CELESTE,,"Construcción Parque Intercomunal Ultraestación, Chillán",SECTORIAL,40014384-0,CHILLAN,,,EN FORMULACIÓN,EJECUCIÓN,MINVU,SERVIU,MINVU,NO FINANCIADO," $ 15,713,200 ",INICIO OBRA,"86,150",M2,,,,,,,,,,,,,,,,mar-27,
CELESTE,,"Construcción Desnivel Camino Parque Lantaño, Chillán",SECTORIAL,30407424-0,CHILLAN,,,RS,EJECUCIÓN,MINVU,SERVIU,MINVU,FINANCIADO," $ 17,731,271 ",INICIO OBRA,"0,6",KM,,,,,,,,,,,,,,,,jun-26,
CELESTE,,Construcción Centro de Mantenimiento,SECTORIAL,40020831-0,CHILLAN,,,RS,EJECUCIÓN,EFE,EFE,EFE,FINANCIADO," $ 1,082,660 ",INAUGURACIÓN,,M2,,,,,,,,,,,,,,,,ago-26,
CELESTE,,Remodelaciòn Estaciòn de trenes ,SECTORIAL,Sin información,CHILLAN,,,EN FORMULACIÓN,EJECUCIÓN,EFE,EFE,EFE,,Sin información,INICIO OBRA,,M2,,,,,,,,,,,,,,,,,
CELESTE,,Museo Regional de Ñuble,SECTORIAL,40020233-0,CHILLAN,,,RS,EJECUCIÓN,SERPAT,SERPAT,SERPAT,FINANCIADO," $ 33,555 ",INICIO OBRA,"7,070",M2,,,,,,,,,,,,,,,,mar-27,
CELESTE,,Restauración Iglesia de la Virgen del Carmen,SECTORIAL,30134669-0,CHILLAN,,,EN FORMULACIÓN,EJECUCIÓN,SERPAT,MOP - DA,"SUBDERE, SERPAT",NO FINANCIADO,"$8,750",INICIO OBRA,"1,325",M2,,,,,,,,,,,,,,,,Por definir,
CELESTE,,Construcción Archivo Regional de Ñuble,SECTORIAL,40051663-0,CHILLAN,,,RS,DISEÑO,SERPAT,SERPAT,SERPAT,FINANCIADO," $ 6,126,634 ",ENTREGA DISEÑO,"3,752",M2,,,,,,,,,,,,,,,,jul-26,
CELESTE,,"Construcción paso peatonal sobre nivel Parque Ultraestación, Chillán",Ñ250,40070931-0,CHILLAN,,,EN FORMULACIÓN,DISEÑO,GORE,GORE,GORE - FNDR,NO FINANCIADO," $ 692,514 ",ENTREGA DISEÑO,"2,000",M2,,,,,,,,,,,,,,,,Por definir,
CELESTE,,"Construcción Parque Sarita Gajardo, Chillán.",SECTORIAL,30479895-0,CHILLAN,,,RS,EJECUCIÓN,MINVU,SERVIU,MINVU,FINANCIADO," $ 8,541,636 ",INAUGURACIÓN,"56,250",M2,,,,,,,,,,,,,,,,jun-27,
CELESTE,ROJO,Mejoramiento Av. Diagonal Las Termas,SECTORIAL,30126884-0,CHILLAN,,,RS,EJECUCIÓN,MINVU,SERVIU,MINVU,FINANCIADO," $ 19,642,197 ",INAUGURACIÓN,1.3,KM,,,,,,,,,,,,,,,,dic-26,
CELESTE,ROJO,Mejoramiento Av. HuambalÍ,SECTORIAL,30126883-0,CHILLAN,,,RS,EJECUCIÓN,MINVU,SERVIU,MINVU,FINANCIADO," $ 24,713,978 ",INAUGURACIÓN,2.0,KM,,,,,,,,,,,,,,,,,
CELESTE,,Paso sobrenivel existente mejoramiento. Escalera mecanica Flavio Barrientos,Ñ250,Sin información,CHILLAN,,,IDEA,DISEÑO,POR DEFINIR,POR DEFINIR,GORE - FNDR,NO FINANCIADO,Sin información,ENTREGA DISEÑO,,M2,,,,,,,,,,,,,,,,,
CELESTE,ROJO,"Mejoramiento Avda. España Central, Chillán",SECTORIAL,30278625-0,CHILLAN,,,RS,EJECUCIÓN,MINVU,SERVIU,MINVU,NO FINANCIADO," $ 14,571,010 ",INICIO OBRA,2,KM,,,,,,,,,,,,,,,,,
CELESTE,ROJO,Mejoramiento Accesibilidad Sur Oriente,SECTORIAL,30116639-0,CHILLAN,,,RS,DISEÑO,MINVU,SERVIU,MINVU,FINANCIADO, $ 1.627.227 ,ENTREGA DISEÑO,10,KM,,,,,,,,,,,,,,,,,
CELESTE,,Construcción Instituto Rehabilitación Infantil TELETÓN ,DIPIR,40045992-0,CHILLAN,,J. OÑATE,RS,EJECUCIÓN,TELETON,MOP - DA,GORE - FNDR,FINANCIADO," $ 14,436,140 ",INAUGURACIÓN,"3,685",M2,,,,,,,,,,,,,,,,jun-26,
CELESTE,,"Construcción Parque La Rufina, comuna Chillán",DIPLADE,40051768-0,CHILLAN,,,RS,DISEÑO,GORE,GORE,GORE - FNDR,NO FINANCIADO," $ 5,756,720 ",ENTREGA DISEÑO,"152,000",M2,,,,,,,,,,,,,,,,,
CELESTE,,"Mejoramiento Diego Portales - Francisco Ramírez, Chillán",SECTORIAL,30278623-0,CHILLAN,,,RS,EJECUCIÓN,MINVU,SERVIU,MINVU,FINANCIADO," $ 9,269,954 ",INAUGURACIÓN,1.9,KM,,,,,,,,,,,,,,,,Por Definir,
CELESTE,,"Construcción Apertura y Pavimentación Libertad Oriente, Nueva Oriente y Nueva 4",DIPLADE,40058448-0,CHILLAN,,,EN FORMULACIÓN,DISEÑO,GORE,GORE,GORE - FNDR,NO FINANCIADO," $ 85,798 ",ENTREGA DISEÑO,1.15,KM,,,,,,,,,,,,,,,,,
CELESTE,,"Mejoramiento aceras Avda Argentina, Chillán",MUNICIPAL,30485661-0,CHILLAN,,,RS,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,NO FINANCIADO," $ 4,647,139 ",INAUGURACIÓN,"23,499",M2,,,,,,,,,,,,,,,,nov-28,
CELESTE,,"Construcción Escuela de Medicina y Centro de Simulación Clínica UBB Región de
Ñuble",DIPIR,40055832-0,CHILLAN,,C. JUNGJOHANN,RS,EJECUCIÓN,UBB,UBB,GORE - FNDR,FINANCIADO," $ 13,507,514 ",INAUGURACIÓN,"4,522",M2,,,,,,,,,,,,,,,,Por Definir,
CELESTE,,Construcción Laboratorios para la carrera de Química y Farmacia – UBB Región de Ñuble,DIPIR,40048997-0,CHILLAN,,C. JUNGJOHANN,RS,EJECUCIÓN,UBB,UBB,GORE - FNDR,FINANCIADO," $ 2,720,930 ",INAUGURACIÓN,"1,340",M2,,,,,,,,,,,,,,,,,
CELESTE,,Plan Maestro Ubb,Ñ250,Sin información,CHILLAN,PATRICIA SOTO UBB,,IDEA,EJECUCIÓN,UBB,,,,Sin información,,,M2,,,,,,,,,,,,,,,,,
CELESTE,,"Construcción Parque Schleyer, Chillán",DIPLADE,40031779-0,CHILLAN,,ANTONIA LEIGTON,RS,DISEÑO,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 3,874,288 ",ENTREGA DISEÑO,"20,497",M2,,,,,,,,,,,,,,,,Por definir,
CELESTE,,"Restauración Capilla Hospital San Juan de Dios, Chillán",SECTORIAL,30103782-0,CHILLAN,,,RE EVALUACIÓN ,EJECUCIÓN,MOP - DA,DA MOP,"SUBDERE, SERPAT, GORE - FNDR",NO FINANCIADO," $ 7,500 ",INICIO OBRA,"1,277",M2,,,,,,,,,,,,,,,,Por definir,
CELESTE,,"Normalización Ruta Peatonal Rosauro Acuña, comuna de Chillán",SECTORIAL,40062816-0,CHILLAN,,,RE EVALUACIÓN ,DISEÑO,MINVU,SERVIU,MINVU,NO FINANCIADO," $ 123,284 ",ENTREGA DISEÑO,"2,421",M2,,,,,,,,,,,,,,,,Por definir,
CELESTE,,"Habilitación Circuito Peatonal y Espacio Público para el adulto mayor Juan Schleyer, Chillán",SECTORIAL,40014362-0,CHILLAN,,,RS,DISEÑO,MINVU,SERVIU,MINVU,FINANCIADO," $ 94,846 ",ENTREGA DISEÑO,"24,415",M2,,,,,,,,,,,,,,,,Por definir,
CELESTE,,Campo Clínico UCSC Chillán,SECTORIAL,Sin información,CHILLAN,,,,Ejecución,UCSC,UCSC,UCSC,," $ 15,000,000 ",INAUGURACIÓN,,M2,,,,,,,,,,,,,,,,Por Definir,
CELESTE,,Plaza de Armas Chillán,MUNICIPAL,4004727-0,CHILLAN,,,RS,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,OTRA FUENTE,NO FINANCIADO," $ 4,549 ",INICIO OBRA,"29,000",M2,,,,,,,,,,,,,,,,Por Definir,
CELESTE,,"Conservación Edificios Públicos, Chillán",Ñ250,40061807-0,CHILLAN,,,EVALUACIÓN GORE,EJECUCIÓN,GORE,GORE,GORE - FNDR,NO FINANCIADO," $ 415,000 ",INICIO OBRA,"10,018",M2,,,,,,,,,,,,,,,,Por Definir,
CELESTE,,Reposición Complejo Policial Región de Ñuble,SECTORIAL,40010470-0,CHILLAN,,,RS,EJECUCIÓN,PDI,DA MOP,PDI,FINANCIADO," $ 35,416,851 ",INICIO OBRA,"11,555",M2,,,,,,,,,,,,,,,,mar-26,
CELESTE,VIOLETA,"Construcción Establecimiento de Larga Estadía para Adultos Mayores, comuna de Chillán",SECTORIAL,40053087-0,CHILLAN,,,RS,DISEÑO,MINVU,SERVIU,MINVU,FINANCIADO," $ 285,794 ",ENTREGA DISEÑO,"2,628",M2,,,,,,,,,,,,,,,,Por Definir,
CELESTE,,"MEJORAMIENTO INMUEBLE DE CONSERVACIÓN HISTÓRICA EX CINE O´HIGGINS, COMUNA CHILLÁN",DIPLADE,40057219-0,CHILLAN,,,EN FORMULACIÓN,DISEÑO,GORE,GORE,GORE - FNDR,NO FINANCIADO," $ 1,161,889 ",INICIO OBRA,"1,255",M2,,,,,,,,,,,,,,,,,
CELESTE,,"Normalización Ruta Peatonal Segura, Chillán",SECTORIAL,40053030-0,CHILLAN,,,RS,DISEÑO,MINVU,SERVIU,MINVU,NO FINANCIADO," $ 172,524 ",ENTREGA DISEÑO,"4,750",M2,,,,,,,,,,,,,,,,Por definir,
CELESTE,,"Eje Cívico Libertad, Chillán",Ñ250,Sin información,CHILLAN,,,IDEA,EJECUCIÓN,,,GORE - FRIL,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,Por Definir,
CELESTE,,"Mejoramiento Sector Moteras, Chillán",Ñ250,Sin información,CHILLAN,,,IDEA,EJECUCIÓN,,,GORE - FRIL,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,Por Definir,
CELESTE,,"MEJORAMIENTO PLAZA PEDRO LAGOS MARCHANT, COMUNA DE CHILLAN",DIPIR,30485752-0,CHILLAN,,P. TRONCOSO,RS,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 1,986,206 ",INAUGURACIÓN,"17,400",M2,,,,,,,,,,,,,,,,Por Definir,
CELESTE,,"MEJORAMIENTO PATIO ISABEL RIQUELME, MERCADO MUNICIPAL DE CHILLÁN",DIPIR,40047341-0,CHILLAN,,P. TRONCOSO,RS,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,GORE - FNDR,FINANCIADO," $ 3,473,611 ",INAUGURACIÓN,"2,618",M2,,,,,,,,,,,,,,,,Por Definir,
CELESTE,,MEJORAMIENTO CATEDRAL CHILLÁN,Ñ250,Sin información,CHILLAN,,,IDEA,EJECUCIÓN,,,,,Sin información,,,,,,,,,,,,,,,,,,,,
ROJO,,CONVENIO DE PROGRAMACIÓN “INFRAESTRUCTURA ESTRATÉGICA PARA LA CONECTIVIDAD LOCAL REGIÓN DE ÑUBLE” (AÑO 2025),DIT,Sin información,CHILLAN,,Nicolas Lara,RS,EJECUCIÓN,MOP - VIALIDAD,MOP - VIALIDAD,"MOP - VIALIDAD, GORE",FINANCIADO,"$5,275,126",INAUGURACIÓN,221.56,KM,,,,,,,,,,,,,,,,"221,56 KM TERMINADOS",
ROJO,,CONVENIO DE PROGRAMACIÓN “INFRAESTRUCTURA ESTRATÉGICA PARA LA CONECTIVIDAD LOCAL REGIÓN DE ÑUBLE” (AÑO 2026),DIT,Sin información,,,Nicolas Lara,,EJECUCIÓN,MOP - VIALIDAD,MOP - VIALIDAD,"MOP - VIALIDAD, GORE",FINANCIADO,"$12,730,437",INAUGURACIÓN,110.86,KM,,,,,,,,,,,,,,,,"110,86 KM TERMINADOS",
ROJO,,CONVENIO DE PROGRAMACIÓN “INFRAESTRUCTURA ESTRATÉGICA PARA LA CONECTIVIDAD LOCAL REGIÓN DE ÑUBLE” (AÑO 2027),DIT,Sin información,,,Nicolas Lara,,EJECUCIÓN,MOP - VIALIDAD,MOP - VIALIDAD,"MOP - VIALIDAD, GORE",FINANCIADO,"$27,845,000",INICIO OBRA,115.24,KM,,,,,,,,,,,,,,,,"115,24 KM TERMINADOS",
