I,SOLICITA,FOLIO,FECHA DOCTO,MATERIA,FIRMA,OBSERVACIONES,LINK AL DOCUMENTO,
,veg,01209,27-12-2024,RESCTIFICASE POSTERGA Y ACUMULA FERIADO LEGAL PARA EL AÑO 2025 DE FUNCIONARIA DEL GOBIERNO REGIONAL DE ÑUBLE.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1CCiGPI1iVo4hV5iYkzDcuwoTxCSreEVx/view?usp=drive_link,
,mqv,01208,27-12-2024,INCREMÉNTESE LAS SIGUIENTES INICIATIVAS DE INVERSIÓN DEL SUBTÍTULO 33-03-125 “MUNICIPALIDADES - FONDO REGIONAL DE INICIATIVA LOCAL” PARA EL AÑO 2024.,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/file/d/1uAOQmyogFF3hIOkXSpCdasxDjML6HUOG/view?usp=drive_link,
,ahm,01207,27-12-2024,"CRÉESE LAS SIGUIENTES INICIATIVAS DE INVERSIÓN DEL SUBTÍTULO 24-03-490 “MEJORANDO LA CALIDAD DE LA EDUCACIÓN, REGIÓN DE ÑUBLE - MUNICIPALIDADES” PARA EL AÑO 2024.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/file/d/1OLh88eDilwwqVEorxjeFBjpu2WrHUsU1/view?usp=drive_link,
,veg,01206,26-12-2024,RECONOCE REALIZACIÓN DE TRABAJO EXTRAORDINARIO Y AUTORIZA EL PAGO DE HORAS EXTRAORDINARIAS DEL FUNCIONARIO QUE SE INDICA.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1pxZ-kA9vYLQA3fiDdKwnKH6_8xNO_-Lh/view?usp=drive_link,
,veg,01205,26-12-2024,MODIFICA RESOLUCIÓN EXENTA N°22 DE 22.11.2024 Y QUE AUTORIZA REALIZACIÓN DE TRABAJO EXTRAORDINARIO A FUNCIONARIO QUE INDICA.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1kbTU5s8Y543nhfiDDCzniaZIJVEhQ5-S/view?usp=drive_link,
,veg,01204,26-12-2024,RESCTIFICASE POSTERGA Y ACUMULA FERIADO LEGAL PARA EL AÑO 2025 DE FUNCIONARIA DEL GOBIERNO REGIONAL DE ÑUBLE.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1Z0rXWezF3-7A72CnKNOcy03g56VkgWuL/view?usp=drive_link,
,veg,01203,26-12-2024,RESCTIFICASE POSTERGA Y ACUMULA FERIADO LEGAL PARA EL AÑO 2025 DE FUNCIONARIA DEL GOBIERNO REGIONAL DE ÑUBLE.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1kDh2wufkW6PizS6nuf9-naELoSmV6aEu/view?usp=drive_link,
,veg,01202,26-12-2024,: RECONOCE REALIZACIÓN DE TRABAJO EXTRAORDINARIO Y AUTORIZA EL PAGO DE HORAS EXTRAORDINARIAS AL FUNCIONARIO QUE SE INDICA.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1_kzfZgOzONGRVMAOPTsGbgzvBwP3yu5t/view?usp=drive_link,
,ntp,01201,26-12-2024,ADJUDICA LICENCIAS INFORMÁTICAS PARA DEPARTAMENTO DE COMUNICACIONES 2024-2025 2° LLAMADO ID 1036569-50-L124.-,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1olOQyNnmbJBFbeDAoefTuiJNFtuR7sHY/view?usp=drive_link,
,odd,01200,26-12-2024,INCORPÓRESE AL MARCO PRESUPUESTARIO FNDR AÑO PRESUPUESTARIO 2024 LAS INICIATIVAS DEL SUBT. 24 QUE SE INDICAN A CONTINUACIÓN.,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/file/d/1y3GjUKyFdhoeuG4kYPNv-l3T9n4zGd6a/view?usp=drive_link,
,mqv,01199,26-12-2024,CRÉESE LAS SIGUIENTES INICIATIVAS DE INVERSIÓN DEL SUBTÍTULO 33-03-125 “MUNICIPALIDADES - FONDO REGIONAL DE INICIATIVA LOCAL” PARA EL AÑO 2024.,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/file/d/18coWiBfR_V8PJrlAx6AZRQpfTyUzIQf8/view?usp=drive_link,
,rep,01198,24-12-2024,APRUEBA LLAMADO A LICITACIÓN PÚBLICA: “SESIÓN ASUNCIÓN CONSEJEROS REGIONALES 2025-2028,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1765HWtrsqMa2jxad4THcUvYcZoOyYXnv/view?usp=drive_link,
,mqv,01197,24-12-2024,"APRUEBA CONVENIO DE TRANSFERENCIA DE RECURSOS PARA LA EJECUCIÓN DEL PROYECTO, “MEJORAMIENTO SEÑALÉTICAS TURÍSTICAS E IDENTIFICACIÓN DE CALLES, QUILLÓN”, CÓDIGO BIP 40056269-0.",ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/17tkjuZX6S_qK4KPzUSnKy8pC50e7IrsS/view?usp=drive_link,
,mqv,01196,24-12-2024,"APRUEBA CONVENIO DE TRANSFERENCIA DE RECURSOS PARA LA EJECUCIÓN DEL PROYECTO, “MEJORAMIENTO ESPACIO PÚBLICO VILLA RENACER, QUILLÓN”, CÓDIGO BIP 40065162-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/file/d/1WqCcHvVgZAC9aLYOtlrcmqxa1xt7HKp1/view?usp=drive_link,
,mqv,01195,24-12-2024,"APRUEBA INCREMENTO EN PRESUPUESTO PARA ADJUDICAR EL PROYECTO DENOMINADO “CONSTRUCCIÓN PATIO TECHADO ESCUELA CELIA URRUTIA COMUNA DE BULNES”, CÓDIGO BIP 40034102-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/file/d/1Aef4xAd_AjptZ-YTp_twbDfiWjugTucB/view?usp=drive_link,
,mqv,01194,24-12-2024,"APRUEBA CONVENIO DE TRANSFERENCIA DE RECURSOS PARA LA EJECUCIÓN DEL PROYECTO, “MEJORAMIENTO VEREDAS SECTOR NORTE, QUILLÓN”, CÓDIGO BIP 40056271-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/file/d/1242L8cFYlRfllrzsScT2mrwvGa25KzUU/view?usp=drive_link,
,veg,01193,24-12-2024,RECONOCE REALIZACIÓN DE TRABAJO EXTRAORDINARIO Y AUTORIZA EL PAGO DE HORAS EXTRAORDINARIAS DEL FUNCIONARIO QUE SE INDICA.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1oCz5GvJ_UzjHMseAuIgQAfqVOHn9aY6j/view?usp=drive_link,
,csp,01192,24-12-2024,"RECTIFÍQUESE RESOLUCIÓN EXENTA N°00712 DE FECHA 10.09.2024 DE ESTE SERVICIO QUE APRUEBA MODIFICACIÓN DE CONTRATO A COSTO CERO $0.- PARA EL PROYECTO DENOMINADO “CONSTRUCCIÓN SEDE SOCIAL SECTOR EL CARMEN DE CATO, COMUNA DE COIHUECO”, CÓDIGO BIP 40041258-0",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/file/d/1J78avVxocutf3xN-VklKfV6_nD9avYUX/view?usp=drive_link,
,veg,01191,24-12-2024,AUTORIZA REALIZACIÓN DE TRABAJO EXTRAORDINARIO A FUNCIONARIOS QUE INDICA.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1ZyVNBFmMV97MyA_efHv8cjvBC7q-pDVq/view?usp=drive_link,
,veg,01190,24-12-2024,RECONOCE REALIZACIÓN DE TRABAJO EXTRAORDINARIO Y AUTORIZA EL PAGO DE HORAS EXTRAORDINARIAS A LA FUNCIONARIA QUE SE INDICA,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/file/d/1udd8zV3WK8k6Cl5kb5RTTXYhWgvkN_Qx/view?usp=drive_link,
