 Comuna , Código , Nombre Iniciativa , Unidad Técnica , Item Presupuestario , Estado Iniciativa , Sub-Estado Iniciativa , Saldo 2026 
EL CARMEN,40056496,"CONSTRUCCIÓN CAMARINES SECTOR SAN VICENTE ALTO, COMUNA EL CARMEN",MUNICIPIO,33.03.125,LICITACIÓN,PRIMERA," $ 149,567 "
CHILLÁN VIEJO,40070680,"CONSTRUCCIÓN POZO PROFUNDO SECTOR RUCAPQUEN, CHILLAN VIEJO",MUNICIPIO,33.03.125,LICITACIÓN,SEGUNDA," $ 147,799 "
QUIRIHUE,40074554,"MEJORAMIENTO CAMINOS CON SUPRESOR DE POLVO, COMUNA DE QUIRIHUE",MUNICIPIO,33.03.125,CONVENIO,FIRMADO," $ 142,179 "
CHILLÁN,40062378,MEJORAMIENTO DE ESPACIOS PÚBLICOS EN DISTINTOS SECTORES DE LA CIUDAD DE CHILLÁN,MUNICIPIO,33.03.125,LICITACIÓN,CONTRATACIÓN," $ 139,585 "
SAN IGNACIO,40059494,"CONSTRUCCIÓN ILUMINACIÓN SOLAR Y TELEVIGILANCIA DIVERSOS SECTORES, COMUNA DE SAN IGNACIO",MUNICIPIO,33.03.125,CONVENIO,FIRMADO," $ 136,310 "
RÁNQUIL,40065354,"CONSTRUCCIÓN PLAZA VILLA MAGISTERIO, COMUNA DE RÁNQUIL",MUNICIPIO,33.03.125,LICITACIÓN,PRIMERA," $ 131,779 "
COELEMU,40044053,"CONSTRUCCION DE CAMARINES Y SS.HH. SECTOR MAGDALENA, COMUNA DE COELEMU",MUNICIPIO,33.03.125,CONVENIO,FIRMADO," $ 130,728 "
SAN CARLOS,40065098,"CONSTRUCCIÓN CENTRO DEPORTIVO VECINAL LAS ARBOLEDAS, SAN CARLOS",MUNICIPIO,33.03.125,CONVENIO,ADJUDICACIÓN," $ 130,412 "
QUILLÓN,40065162,"MEJORAMIENTO ESPACIO PUBLICO VILLA RENACER, QUILLÓN",MUNICIPIO,33.03.125,CONVENIO,REEVALUACIÓN," $ 130,088 "
CHILLÁN,40062376,"CONSTRUCCIÓN LUMINARIAS E INSTALACIÓN DE CÁMARAS EN VARIOS SECTORES, CHILLÁN",MUNICIPIO,33.03.125,LICITACIÓN,CONTRATACIÓN," $ 129,252 "
NINHUE,40045983,"CONSTRUCCIÓN DE POZOS PROFUNDOS SECTORES DE CEMENTERIO Y LA POSTA, NINHUE",MUNICIPIO,33.03.125,LICITACIÓN,FIRMADO," $ 127,828 "
SAN IGNACIO,40023988,"CONSTRUCCIÓN ALUMBRADO PÚBLICO SAN IGNACIO, SAN MIGUEL",MUNICIPIO,33.03.125,CONVENIO,RESCILIACIÓN CONVENIO," $ 121,734 "
CHILLÁN VIEJO,40064422,"CONSTRUCCIÓN POZO PROFUNDO SECTOR LAS RAICES, CHILLAN VIEJO",MUNICIPIO,33.03.125,LICITACIÓN,PRIMERA," $ 121,275 "
COELEMU,40046490,"CONSTRUCCIÓN CAMARINES PISCINA LICEO GUARILIHUE ALTO, COMUNA DE COELEMU",MUNICIPIO,33.03.125,EJECUCIÓN,ADJUDICACIÓN," $ 76,400 "
CHILLÁN,40056104,"CONSERVACIÓN DE CAMINOS A TRAVÉS DE COLOCACIÓN DE MATERIAL GRANULAR, CHILLÁN",MUNICIPIO,33.03.125,CONVENIO,REEVALUACIÓN," $ 119,954 "
EL CARMEN,40058376,CONSERVACION DISTINTOS CAMINOS RURALES SECTOR SUR COMUNA EL CARMEN,MUNICIPIO,33.03.125,CONVENIO,FIRMADO," $ 119,533 "
EL CARMEN,40058376,CONSERVACION DISTINTOS CAMINOS RURALES SECTOR SUR COMUNA EL CARMEN,MUNICIPIO,33.03.125,CONVENIO,FIRMADO," $ 119,533 "
EL CARMEN,40042054,MEJORAMIENTO CANCHA CENTRO JUVENTUD ESTRELLA,MUNICIPIO,33.03.125,CONVENIO,RESCILIACIÓN CONTRATO," $ 112,794 "
EL CARMEN,40072435,"MEJORAMIENTO DIVERSOS CAMINOS DE USO PÚBLICO, COMUNA DE EL CARMEN",MUNICIPIO,33.03.125,CONVENIO,FIRMADO," $ 112,644 "
CHILLÁN,40045607,"MEJORAMIENTO ENTORNO ESPACIO PÚBLICO VERTIENTE SANTA ELVIRA, CHILLÁN",MUNICIPIO,33.03.125,CONVENIO,FIRMADO," $ 104,986 "
SAN CARLOS,40046231,"CONSTRUCCION SEDE SOCIAL UNION COMUNAL DE ADULTOS MAYORES, SAN CARLOS",MUNICIPIO,33.03.125,CONVENIO,FIRMADO," $ 42,082 "
,,,,,,," $ 5,582,451 "
