DATOS DE REGISTRO DE INICIATIVA EN CARTERA DE PROYECTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,EVALUACIÓN DE ADMISIBILIDAD,,,,,,,,,,PRIORIZACIÓN PARA REVISIÓN,,REVISIÓN INICIATIVA MIDESO,,,,,,,REVISIÓN INICIATIVAS GORE,,,,,,,,,,PRIORIZACIÓN PRESUPUESTARIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Codigo Unico,,Año,Año pptario,Cod Idi,Dv,Nombre Proyecto,Tipo,Provincia,Comuna,Etapa,Tipologia,Categoría GORE,Subt,Item,Asig,Prov Subdere,Formulador,Beneficiario,Sector,Subsector,Mto Proyecto,Mto Sectorial,Mto Fndr,Gsto Vigente,Gsto Sgtes Años,Estado Actual,Fecha Recp Gore,Fecha Ingre PreInv,Fecha Asig Analista,ANALISTA,ADMISIBLE O INADMISIBLE,Fecha 1° ADM / INAD,Documento o Fecha informa a UT ADM / INAD,Fecha Subsana Observaciones INAD,Fecha 2° ADM / INAD,2° Documento o Fecha informa a UT ADM / INAD,Fecha Priorización  para Revisión (Gobernador),Lugar de Priorización para Revisión,Mideso (SI / NO),N° Ordinario,Fecha Ordinario,N° Ord y Fcha Envi a Mds,RATE Mideso,Fecha RATE Mideso,Comunica RATE Mideso a U.T,Fecha Asig Analista REVISIÓN,Primer Rate,Fecha Primer Rate,Fecha Informa a UT 1° RATE,Fecha Subsanación Primer RATE,Segundo Rate,Fecha Segundo Rate,Fecha Informa a UT 2° RATE,N° Certificado RS,Fecha Certificado RS,Fecha Priorización  Presupuestaria (Gobernador),Lugar de Priorización para Revisión,N° Ord y Fcha Post,N° Of/Mail_Fcha Inf Form,N° Ord al Core,Fech Ord Envio a Core,N° Cert Core o Resolucion Ex,Fech Cert Aprob Core o Res. Exta.,RES. CREA ASIGNACIÓN,SUBT.,SUBT. - ITEM,SUBT. - ITEM - ASIG.,MONTO TOTAL PROYECTO,MONTO SECTORIAL,MONTO FNDR POSTULADO,MONTO ADJUDICADO,AUMENTOS,ESTADO,FECHA DE  CONVENIO,N° RES. APRUEBA CONVENIO,ID LICITACIÓN,EMPRESA ADJUDICADA,RUT,FECHA ACTA ENTREGA TERRENO,AUMENTO DE PLAZO,PROF. PRESUP RESPONSABLE,PROF. INVERSIONES RESPONSABLE,EJEC. 2019,EJEC. 2020,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,PROGRAMADO 2021,ARRASTRE 2022,PORCENTAJE AVANCE,PROGRAMADO ENE - JUN,PROGRAMADO JUL - DIC,ETAPA DEL CICLO,AREA DEL PROYECTO,DIAS PARA ULTIMO RATE (ANALISTA),DIAS PARA ULTIMO RATE (INGRESO GORE),DIAS DESDE FI - OT - ADMISIBLE,CONDICIÓN INICIATIVA,DIAS DESDE CORE A CONVENIO,EJECUCIÓN 2021,,,% EJEC. PROG. 02 - 2021
40008648-2019,,2019,2019,40008648,0,"CONSTRUCCION RED ALCANTARILLADO A.S. CALLES 18 SEPT. Y OTRAS, QUILLÓN",PROYECTO,DIGUILLIN,QUILLÓN,EJECUCIÓN,MIDESO,,31,,,#REF!,MUNICIP. QUILLÓN,QUILLON,SANEAMIENTO,INTERSUBSECTORIAL RECURSOS HIDRICOS,"$556,401",$0,"$556,401","M$556,401",M$0,REEMPL,01-10-2018,#REF!,29-09-2018,OSCAR DIAZ / MIDESO,,#REF!,,,,,,,,,,9,,,,,,INADMISIBLE,,17-10-2018,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40008654-2019,,2019,2019,40008654,0,CONSTRUCCIÓN DE ALCANTARILLADO Y AGUA POTABLE VILLA SAN FRANCISCO,PROYECTO,DIGUILLIN,QUILLÓN,EJECUCIÓN,MIDESO,,31,,,#REF!,MUNICIP. QUILLÓN,QUILLON,APR,INTERSUBSECTORIAL RECURSOS HIDRICOS,"$399,351",$0,"$399,351","M$399,351",M$0,REV MDS,01-10-2018,#REF!,28-09-2018,OSCAR DIAZ / MIDESO,,#REF!,,,,,,,,,,9,,,,,,INADMISIBLE,,19-10-2018,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40008717-2019,,2019,2019,40008717,0,"MEJORAMIENTO PARQUE COSTANERA LAGUNA AVENDAÑO, QUILLÓN",PROYECTO,DIGUILLIN,QUILLÓN,DISEÑO,MIDESO,,31,,,#REF!,MUNICIP. QUILLÓN,QUILLON,INFRAESTRUCTURA PUBLICA,"BORDE COSTERO, PASEOS PEATONALES, PLAYAS","$50,000",$0,"$50,000","M$50,000",M$0,REV MDS,01-10-2018,#REF!,28-09-2018,OSCAR DIAZ / MIDESO,,#REF!,,,,,,,,,,9,,,,,,FI,,09-08-2019,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40008718-2019,,2019,2019,40008718,0,REPOSICION CUARTEL DE BOMBEROS 1ª Y 2ª COMPAÑIAS DE QUILLÓN,PROYECTO,DIGUILLIN,QUILLÓN,DISEÑO,MIDESO,,31,,,#REF!,MUNICIP. QUILLÓN,BOMBEROS,SEGURIDAD PUBLICA,SEGURIDAD PUBLICA,"$19,700",$0,"$19,700","M$19,700",M$0,REEMPL,01-10-2018,#REF!,01-10-2018,OSCAR DIAZ / MIDESO,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40008719-2019,,2019,2019,40008719,0,"REPOSICION CAMIÓN TOLVA MANTENCION ACCESO CAMINOS RURALES, QUILLÓN.",PROYECTO,DIGUILLIN,QUILLÓN,EJECUCIÓN,C-33,,29,3,,#REF!,MUNICIP. QUILLÓN,QUILLON,CAMIONES,CAMIONES,"$58,190",$0,"$58,190","M$58,190",M$0,REEMPL,07-12-2018,#REF!,12-12-2018,JAVIER BRITO,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40008720-2019,,2019,2019,40008720,0,"ADQUISICION PUESTO DE MANDO MOVIL CUERPO DE BOMBEROS, QUILLÓN.",PROYECTO,DIGUILLIN,QUILLÓN,EJECUCIÓN,C-33,,29,3,,#REF!,MUNICIP. QUILLÓN,BOMBEROS,VEHICULOS,BOMBEROS,"$102,935",$0,"$102,935","M$102,935",M$0,REEMPL,07-12-2018,#REF!,12-12-2018,JAVIER BRITO,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40008798-2020,,2020,2020,40008798,0,REPOSICION LABORATORIO HOSPITAL DE YUNGAY,PROYECTO,DIGUILLIN,YUNGAY,DISEÑO,MIDESO,,31,0,0,#REF!,S.SALUD ÑUBLE,YUNGAY,SALUD,BAJA COMPLEJIDAD,"$39,864",$0,"$39,864","M$39,864",M$0,,05-02-2020,#REF!,10-02-2020,PABLO NUÑEZ,,#REF!,,,,,,,,,,143,,,,,,FI,,20-03-2020,,,,,,,,,#REF!,0,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40008816-2020,,2020,2020,40008816,0,ADQUISICION VEHÍCULO PARA COLECTA MOVIL DE SANGRE HCHM,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,,29,0,0,#REF!,S.SALUD ÑUBLE,REGIONAL,VEHICULOS,AMBULANCIA,"$164,800",$0,"$164,800","M$164,800",M$0,,05-02-2020,#REF!,16-03-2020,Oscar Diaz Diaz,,#REF!,,,,,,,,,,,,,,,,FI,,19-03-2020,,,,,,,,,#REF!,0,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40008816-2022,,2022,2022,40008816,0,ADQUISICION VEHÍCULO PARA COLECTA MOVIL DE SANGRE HCHM,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,SALUD,29,3,,#REF!,S.SALUD ÑUBLE,REGIONAL,SALUD,SALUD ALTA COMPLEJIDAD,"M$171,446",M$0,"M$171,446","M$171,446",M$0,INGRESADO A PREINVERSIÓN,05-02-2022,#REF!,01-08-2022,Nadia Villagra,,#REF!,,,,,,,,,,,,,,,,SIN RATE,,,,,,,,,,717*20.07.2022,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009035-2019,,2019,2019,40009035,0,CONSTRUCCION PARQUE DE MITIGACION COSTERO SECTOR DE PERALES COMUNA DE COELEMU,PROYECTO,ITATA,COELEMU,EJECUCIÓN,MIDESO,,31,,,#REF!,MUNICIP. COELEMU,COELEMU,INFRAESTRUCTURA PUBLICA,"BORDE COSTERO, PASEOS PEATONALES, PLAYAS","$1,024,968",$0,"$1,024,968","M$800,000","M$224,968",REEMPL,09-01-2019,#REF!,10-01-2019,CAMILA CANAHUATE,,#REF!,,,,,,,,,,,,,,,,INADMISIBLE,,16-01-2019,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009036-2019,,2019,2019,40009036,0,ADQUISICIÓN AMBULANCIA DEPARTAMENTO DE SALUD MUNICIPAL DE COELEMU,PROYECTO,ITATA,COELEMU,EJECUCIÓN,C-33,,29,3,,#REF!,MUNICIP. COELEMU,COELEMU,VEHICULOS,AMBULANCIA,"$61,799",$0,"$61,799","M$61,799",M$0,REEMPL,,#REF!,06-02-2019,ELIAS JARA,,#REF!,,,,,,,,,,,,,,,,OT,,04-04-2019,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009038-2019,,2019,2019,40009038,0,ADQUISICIÓN CAMARA DE TELEVIGILANCIA EN LA COMUNA DE COELEMU,PROYECTO,ITATA,COELEMU,EJECUCIÓN,C-33,,29,,,#REF!,MUNICIP. COELEMU,COELEMU,SEGURIDAD PUBLICA,SEGURIDAD PUBLICA,"$218,341",$0,"$218,341","M$218,341",M$0,NO RECOMEN,11-01-2019,#REF!,15-01-2019,MATHIAS PEZO,,#REF!,,,,,,,,,,,,,,,,INADMISIBLE,,25-01-2019,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009043-2019,,2019,2019,40009043,0,REPOSICION MASIVA DE LUMINARIAS DE LA COMUNA DE COELEMU,PROYECTO,ITATA,COELEMU,EJECUCIÓN,MIDESO,,31,,,#REF!,MUNICIP. COELEMU,COELEMU,ENERGIA,ALUMBRADO PUBLICO,"$897,139",$0,"$897,139","M$299,046","M$598,093",REV MDS,05-02-2019,#REF!,06-02-2019,CAMILA CANAHUATE,,#REF!,,,,,,,,,,77,,,,,,FI,,16-09-2019,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009043-2020,,2019,2020,40009043,0,REPOSICION MASIVA DE LUMINARIAS DE LA COMUNA DE COELEMU,PROYECTO,ITATA,COELEMU,EJECUCIÓN,MIDESO,,31,,,#REF!,MUNICIP. COELEMU,COELEMU,ENERGIA,ALUMBRADO PUBLICO,"$920,462",$0,"$920,462","M$306,820","M$613,642",REV MDS,05-02-2019,#REF!,02-01-2020,PABLO NUÑEZ,,#REF!,,,,,,,,,,16,,,,,,FI,,28-01-2020,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009108-2019,,2019,2019,40009108,0,"ADQUISICION CAMION LIMPIAFOSAS, MUNICIPALIDAD DE BULNES",PROYECTO,DIGUILLIN,BULNES,EJECUCIÓN,C-33,,29,3,,#REF!,MUNICIP. BULNES,BULNES,CAMIONES,ADMINISTRACION MULTISECTOR,"$45,356",$0,"$45,356","M$45,356",M$0,APRO CORE,31-01-2019,#REF!,20-02-2019,MATHIAS PEZO,,#REF!,,,,,,,,,,,,,,,,RS,,16-04-2019,,,,,,,,,#REF!,160,22-04-2019,123,03-06-2019,$613,DIGUILLIN,BULNES,40009108,03,,"ADQUISICION CAMION LIMPIAFOSAS, MUNICIPALIDAD DE BULNES","$45,356",$0,123,,9. TERMINADO,1,EJECUTADO,N/A,N/A,N/A,1036569-18-LE19,SALFA,91.502.000-3,,,,Pamela Solis Perez,Carlos Jungjohann Muñoz,DIPIR,SUBT. 29 - DIPIR,,,,,,,,"$44,743",4474300.00%,$0,$0,INVERSIONES,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009111-2019,,2019,2019,40009111,0,"ADQUISICION CAMION LIMPIA FOSAS, MUNICIPALIDAD DE COELEMU",PROYECTO,ITATA,COELEMU,EJECUCIÓN,C-33,,29,3,,#REF!,MUNICIP. COELEMU,COELEMU,CAMIONES,CAMIONES,"$70,508",$0,"$70,508","M$70,508",M$0,APRO CORE,05-02-2019,#REF!,06-02-2019,ELIAS JARA,,#REF!,,,,,,,,,,,,,,,,RS,,01-08-2019,,,,,,,,,#REF!,338,01-08-2019,181,16-08-2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009111-2021,,2021,2021,40009111,0,"ADQUISICION CAMION LIMPIA FOSAS, MUNICIPALIDAD DE COELEMU",PROYECTO,ITATA,COELEMU,EJECUCIÓN,C-33,Maquinaria,29,,,#REF!,MUNICIP. COELEMU,COELEMU,,,M$ 73.969,$0,M$ 73.969,M$ 73.969,M$0,,00-01-00,#REF!,01-02-2022,JUAN PABLO LOPEZ,,#REF!,,,,,,,,,,,,,,,,RS,,30-12-2021,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009111-2020,,2022,2020,40009111,0,"ADQUISICION CAMION LIMPIA FOSAS, MUNICIPALIDAD DE COELEMU",PROYECTO,ITATA,COELEMU,EJECUCIÓN,C-33,VEHÍCULOS Y MAQUINARIAS,29,3,,#REF!,MUNICIP. COELEMU,COELEMU,MULTISECTORIAL,ADMINISTRACIÓN MULTISECTORIAL,"M$108,528",M$0,"M$108,528","M$108,528",M$0,CONVENIO APROBADO,17-05-2022,#REF!,01-02-2022,Juan Pablo Lopez,,#REF!,,,,,,,,,,,,,,,,RS,,23-06-2022,,,,176,23-06-2022,,,336,#REF!,,,,,,ITATA,COELEMU,40009111,03,,"ADQUISICION CAMION LIMPIA FOSAS, MUNICIPALIDAD DE COELEMU","$70,508",$0,181 / 176,,9. TERMINADO,1,"CJG 2.8.22 CONVENIO RESCILIADO // CJG 1-8-22 RES. 55 EN CONTRALORIA DESDE EL 28 JULIO // SE FIRMARÁ CONVENIO DADA LA INSTRUCCIÓN DEL INTENDENTE DE CAMBIAR LA MANERA DE TRABAJAR. LM ESTÁ ELABORANDO LOS CONVENIOS PARA SER PASADOS A JURÍDICA (15/07/2020-CSP// SIN RECURSOS DISPONIBLES)// (21/07/2020-MQV// SIN RECURSOS DISPONIBLES) # CJM 31-07-2020 SIN NUEVAS OBSERBACIONES //06-08-2020 LMPO SIN RECURSOS DISPONIBLES. 13/08/2020-ALDF// SIN OBSERVACIONES. 18.08.2020 - PSP// INICIATIVA SIN RECURSOS DISPONIBLES. 27/08/2020-CSP// SIN OBSERVACIONES //03.09.20-MQV- SIN NUEVAS OBSERVACIONES #CJM 11-09-2020 SIN RECURSOS DISPONIBLES PARA ESTA INICIATIVA // LMPO 16-09-2020 SIN RECURSOS DISPONIBLES PARA ESTA INICIATIVA. // PSP - 29.09.2020 SIN RECURSOS DISPONIBLES PARA ESTA INICIATIVA. // CSP 08-10-2020 SIN NUEVAS OBSERVACIONES. // MQV 15.10.2020 SIN NUEVAS OBSERVACIONES //CJM 29-10-2020 SIN NUEVAS OBSERVACIONES //CJM 10-12-2020 SIN NUEVAS OBSERVACIONES // ALDF 28.01.2021 PROCESO SE INICIARA EN EL 2021 CON EL NUEVO PRESUPUESTO // PSP 05,02,2021 SE MANTIENE OBSERVACIÓN ANTERIOR // PSP 15.06.2021 SE MANTIENE OBSERVACIÓN ANTERIOR.",,,,,,,,,,Luis Padilla Orellana,Cristian Jaque Guzmán,DIPIR,SUBT. 29 - DIPIR,,,,,,,,,0.00%,$0,$0,INVERSIONES,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009114-2019,,2019,2019,40009114,0,"ADQUISICIÓN RODILLO COMPACTADOR CON CAMIÓN PARA TRASLADO, COMUNA DE COELEMU",PROYECTO,ITATA,COELEMU,EJECUCIÓN,C-33,,29,5,2,#REF!,MUNICIP. COELEMU,COELEMU,MAQUINARIA,MAQUINARIA,"$138,178",$0,"$138,178","M$138,178",M$0,APRO CORE,11-12-2018,#REF!,12-12-2018,ELIAS JARA,,#REF!,,,,,,,,,,,,,,,,RS,,13-08-2019,,,,,,,,,#REF!,374,28-08-2019,210,10-09-2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009114-2021,,2021,2021,40009114,0,"ADQUISICIÓN RODILLO COMPACTADOR CON CAMIÓN PARA TRASLADO, COMUNA DE COELEMU",PROYECTO,ITATA,COELEMU,EJECUCIÓN,C-33,Maquinaria,29,,,#REF!,MUNICIP. COELEMU,COELEMU,,,M$ 144.960,$0,M$ 144.960,M$ 144.960,M$0,,00-01-00,#REF!,01-02-2022,JUAN PABLO LOPEZ,,#REF!,,,,,,,,,,,,,,,,RS,,30-12-2021,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009114-2020,,2022,2020,40009114,0,"ADQUISICION RODILLO COMPACTADOR CON CAMION PARA TRASLADO, COMUNA COELEMU",PROYECTO,ITATA,COELEMU,EJECUCIÓN,C-33,VEHÍCULOS Y MAQUINARIAS,29,5,,#REF!,MUNICIP. COELEMU,COELEMU,MULTISECTORIAL,"INTERSUBSECTORIAL
MULTISECTOR","M$244,290",M$0,"M$244,290","M$244,290",M$0,APROBADO TÉCNICAMENTE,14-04-2022,#REF!,01-02-2022,Juan Pablo Lopez,,#REF!,,,,,,,,,,,,,,,,RS,,27-05-2022,,,,168,27-05-2022,,,263,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009199-2019,,2019,2019,40009199,0,HABILITACION ESTADIO ESTADIO MUNICIPAL DE NINHUE,PROYECTO,ITATA,NINHUE,EJECUCIÓN,MIDESO,,31,,,#REF!,MUNICIP. NINHUE,NINHUE,DEPORTES,DEPORTE COMPETITIVO,"$738,604",$0,"$738,604","M$738,604",M$0,REV MDS,28-12-2018,#REF!,03-01-2019,ELIAS JARA,,#REF!,,,,,,,,,,31,,,,,,OT,,29-08-2019,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009199-2020,,2020,2020,40009199,0,MEJORAMIENTO ESTADIO MUNICIPAL DE NINHUE,PROYECTO,ITATA,NINHUE,EJECUCIÓN,MIDESO,,31,,,#REF!,MUNICIP. NINHUE,NINHUE,DEPORTES,DEPORTE COMPETITIVO,"$786,207",$0,"$786,207","M$786,207",M$0,REV MDS,29-01-2020,#REF!,29-01-2020,PABLO NUÑEZ,,#REF!,,,,,,,,,,42,,,,,,FI,,13-11-2020,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009199-2021,,2021,2021,40009199,0,MEJORAMIENTO ESTADIO MUNICIPAL DE NINHUE,PROYECTO,ITATA,NINHUE,EJECUCIÓN,MIDESO,Infraestructura Pública,31,2,0,#REF!,MUNICIP. NINHUE,NINHUE,DEPORTES,INTERSUBSECTORIAL DEPORTES,"$786,818",$0,"$804,521",M$0,M$0,,21-12-2020,#REF!,07-01-2021,MATHIAS PEZO,,#REF!,,,,,,,,,,39,,,,,,FI,,03-03-2021,,,,,,,,,#REF!,0,,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009199-2022,,2022,2022,40009199,0,MEJORAMIENTO ESTADIO MUNICIPAL DE NINHUE,PROYECTO,ITATA,NINHUE,EJECUCIÓN,MIDESO,DEPORTIVO,31,2,,#REF!,MUNICIP. NINHUE,NINHUE,DEPORTE,DEPORTE COMPETITIVO,"M$1,147,398",M$0,"M$1,147,398","M$466,615","M$680,783",APROBADO TÉCNICAMENTE,,#REF!,07-01-2021,Marcelo Bilbao,,#REF!,,,,,,,,,,206,,,,,,RS,,04-05-2022,,,,,04-05-2022,,,21,#REF!,583,19.05.2022,459,16.06.2022,"$46,096",ITATA,NINHUE,40009199,02,004,MEJORAMIENTO ESTADIO MUNICIPAL DE NINHUE,"$1,147,398",$0,459 / 624 / 799,,7. EN EJECUCIÓN,0.98,CJG 25.8.23 ULTIMA VISITA 18.8.23 // CJG 16.8.23 ULTIMA VISITA 10.8.23 //  CJG 19.5.23 ULTIMA VISITA 16.5.23 // CJG 30.3.23 POR CERTIF. CORE SE AUMENTA VALOR OBRAS CIVILES PARA ADJUDICAR // CJG 7.12.22 SE ADJUDICA 10.2.23 // CJG 2.12.22 REUNION DE PRELICITACION LICITARA PROXIMA SEMANA ,44789,85,44830,4121-30-LR22,CONSTRUCTORA ECONCITY LIMITADA,76.458.751-0,"$45,034",$255,,Luis Padilla Orellana,Cristian Jaque Guzmán,DIPIR,SUBT. 31 - DIPIR,,,,,,,,,0.00%,$255,$0,INVERSIONES,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009205-2019,,2019,2019,40009205,0,"MEJORAMIENTO CANCHA SECTOR MATADERO, COMUNA DE COELEMU",PROYECTO,ITATA,COELEMU,EJECUCIÓN,MIDESO,,31,,,#REF!,MUNICIP. COELEMU,COELEMU,DEPORTES,DEPORTE RECREATIVO,"$559,618",$0,"$559,618","M$559,618",M$0,REVISAR,30-04-2019,#REF!,08-05-2019,PABLO NUÑEZ,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
40009206-2019,,2019,2019,40009206,0,"MEJORAMIENTO CANCHA SECTOR RANGUELMO, COMUNA COELEMU",PROYECTO,ITATA,COELEMU,EJECUCIÓN,MIDESO,,31,,,#REF!,MUNICIP. COELEMU,COELEMU,DEPORTES,INTERSUBSECTORIAL DEPORTES,"$427,414",$0,"$427,414","M$427,414",M$0,REV MDS,25-10-2018,#REF!,25-10-2018,OSCAR DIAZ / MIDESO,,#REF!,,,,,,,,,,2,,,,,,INADMISIBLE,,20-11-2018,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
