 ,CODIGO ÚNICO,AÑO PRESUPUESTARIO,UNIDAD TÉCNICA ,ORIGEN,TIPOLOGIA,PROVINCIA,COMUNA,CODIGO BIP,SUBT,ITEM,ASIG,NOMBRE INICIATIVA,MONTO TOTAL PROYECTO,MONTO SECTORIAL M$,MONTO FNDR POSTULADO M$,MONTO FNDR ADJUDICADO M$,AUMENTOS $,CERT CORE O RS,FECHA CERTIFICADO,RES. CREA ASIGNACIÓN,ESTADO,AVANCE,OBSERVACIÓN,FECHA FIRMA DE CONVENIO,N° RES. APRUEBA CONVENIO,FECHA RES- APRUEBA CONVENIO,ID LICITACIÓN,EMPRESA ADJUDICADA ,RUT,ACTA ENTREGA TERRENO,PLAZO,AUMENTO DE PLAZO (PARALIZACIÓN),PROF. PRESUP RESPONSABLE,PROF. RESPONSABLE,DIVISIÓN VINCULADA,DIVISIÓN Y SUBTÍTULO,MAY,JUN,JUL,AGO,SEPT,OCT,NOV,DIC,suma ene a dic,dife,EJEC. 2019,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEPT,OCT,NOV,DIC,EJEC. 2020,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,EJEC. 2021,ENERO PROYECTADO ,ENERO REAL,FEB PROYECTADO ,FEB REAL,MAR PROYECTADO,MAR REAL,ABR PROYECTADO,ABR REAL,MAY PROYECTADO,MAY REAL,JUN PROYECTADO,JUN REAL,JUL PROYECTADO,JUL REAL,AGO PROYECTADO,AGO REAL,SEP PROYECTADO,SEP REAL,OCT PROYECTADO,OCT REAL,NOV PROYECTADO,NOV REAL,DIC PROYECTADO,DIC REAL,GASTO  EJECUTADO 2022,ENERO PROYECTADO 23,ENERO REAL 23,FEB PROYECTADO 23,FEB REAL 23,MAR PROYECTADO 23,MAR REAL 23,ABR PROYECTADO 23,ABR REAL 23,MAY PROYECTADO 23,MAY REAL 23,JUN PROYECTADO 23,JUN REAL 23,JUL PROYECTADO 23,JUL REAL 23,AGO PROYECTADO 23,AGO REAL 23,SEP PROYECTADO 23,SEP REAL 23,OCT PROYECTADO 23,OCT REAL 23,NOV PROYECTADO 23,NOV REAL 23,DIC PROYECTADO 23,DIC REAL 23,GASTO A EJECUTAR 2023,GASTO  EJECUTADO 2023,ARRASTRE 2024,ENERO PROYECTADO 24,ENERO REAL 24,FEB PROYECTADO 24,FEB REAL 24,MAR PROYECTADO 24,MAR REAL 24,ABR PROYECTADO 24,ABR REAL 24,MAY PROYECTADO 24,MAY REAL 24,JUN PROYECTADO 24,JUN REAL 24,JUL PROYECTADO 24,JUL REAL 24,AGO PROYECTADO 24,AGO REAL 24,SEP PROYECTADO 24,SEP REAL 24,OCT PROYECTADO 24,OCT REAL 24,NOV PROYECTADO 24,NOV REAL 24,DIC PROYECTADO 24,DIC REAL 24,GASTO A EJECUTAR 2024,GASTO  EJECUTADO 2024,ARRASTRE 2025,ENERO PROYECTADO 25,ENERO REAL 25,FEB PROYECTADO 25,FEB REAL 25,MAR PROYECTADO 25,MAR REAL 25,ABR PROYECTADO 25,ABR REAL 25,MAY PROYECTADO 25,MAY REAL 25,JUN PROYECTADO 25,JUN REAL 25,JUL PROYECTADO 25,JUL REAL 25,AGO PROYECTADO 25,AGO REAL 25,SEP PROYECTADO 25,SEP REAL 25,OCT PROYECTADO 25,OCT REAL 25,NOV PROYECTADO 25,NOV REAL 25,DIC PROYECTADO 25,DIC REAL 25,GASTO A EJECUTAR 2025,GASTO  EJECUTADO 2025,ARRASTRE 2026, , , ,ppto,2021+2022+2023,2024,saldo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,CVC-AD-48-2025,2025,PEMUCO,MUNICIPIO,SOCIAL,DIGUILLIN,PEMUCO,CVC-AD-48,24,01,300,"PRIMERA FIESTA REGIONAL DEL DIGUEÑE - MONTE LEON, PEMUCO 2025","$3,000",$0,"$3,000","$3,000",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$3,000",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,"$3,000","$3,000",,,,,"$3,000","$3,000",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CVC-AD-45-2025,2025,COELEMU,MUNICIPIO,SOCIAL,ITATA,COELEMU,CVC-AD-45,24,01,300,JUNTOS EN COELEMU 2025: ENCUENTRO REGIONAL DE CENTROS DIURNOS DE ÑUBLE,"$10,000",$0,"$10,000","$10,000",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$10,000",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,"$10,000","$10,000",,,,,,,"$10,000","$10,000",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CVC-AD-41-2025,2025,CHILLAN,MUNICIPIO,SOCIAL,DIGUILLIN,CHILLÁN,CVC-AD-41,24,01,300,"HACIA UNA ESCUELA DE ARTES Y OFICIOS PARA PERSONAS CON SINDROME DE DOWN Y OTRAS DISCAPACIDADES, EN LA REGION DE ÑUBLE","$15,394",$0,"$15,394","$15,394",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$15,394",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,"$15,394","$15,394",,,,,,,"$15,394","$15,394",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CVC-AD-42-2025,2025,CHILLAN,MUNICIPIO,CIENCIA,DIGUILLIN,CHILLÁN,CVC-AD-42,24,01,300,"EMBAJADORES DE ÑUBLE: CIENCIA, EDUCACION Y CULTURA - FUNDACION OBSERVATORIO ÑUBLE","$10,000",$0,"$10,000","$10,000",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$10,000",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,"$10,000","$10,000",,,,,,,,,"$10,000","$10,000",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CVC-AD-40-2025,2025,CHILLAN,MUNICIPIO,CULTURA,DIGUILLIN,CHILLÁN,CVC-AD-40,24,01,300,CORPORACION CULTURAL MUNICIPAL DE LA COMUNA DE CHILLAN PROYECTO CULTURAS CHILLAN 2025,"$65,000",$0,"$65,000","$65,000",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$65,000",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,"$65,000","$65,000",,,,,,,,,"$65,000","$65,000",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2503MC014-2025,2025,RÁNQUIL,MUNICIPIO,CULTURA,ITATA,RÁNQUIL,2503MC014,24,03,300,27 ° CONCURSO DEL VINO DE RANQUIL 2026- MUNICIPALIDAD DE RANQUIL,"$22,000",$0,"$22,000","$22,000",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$22,000",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,"$22,000","$22,000",,,"$22,000","$22,000",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2503MC020-2025,2025,EL CARMEN,MUNICIPIO,CULTURA,DIGUILLIN,EL CARMEN,2503MC020,24,03,300,"TATAPALOOZA, UN ENCUENTRO PARA REVIVIR EL PATRIMONIO VIVO - EL CARMEN","$22,000",$0,"$22,000","$22,000",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$22,000",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,"$22,857","$22,857",,,,,"$22,857","$22,857",-$857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2503MC006-2025,2025,BULNES,MUNICIPIO,CULTURA,DIGUILLIN,BULNES,2503MC006,24,03,300,BULNES 186 AÑOS TRADICION CULTURA Y ORGULLO LOCAL EN EL CORAZON DE DIGUILLIN,"$22,000",$0,"$22,000","$22,000",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$22,000",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,"$22,000","$22,000",,,,,"$22,000","$22,000",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40063958-2025,2025,COELEMU,MUNICIPIO,EDUCACION,ITATA,BULNES,40063958,24,03,490,TRANSFERENCIA PARA CREAR RED DE OPORTUNIDADES PARA LOS ESTUDIANTES DE LA COMUNA DE COELEMU,"$177,000",$0,"$177,000","$177,000",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$177,000",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,"$177,000","$177,000",,,,,,,"$177,000","$177,000",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40063698-2025,2025,BULNES,MUNICIPIO,EDUCACION,DIGUILLIN,BULNES,40063698,24,03,490,TRANSFERENCIA PROGRAMA MEJORAMIENTO SERVICIOS EDUCATIOS COMUNA DE BULNES,"$220,000",$0,"$220,000","$220,000",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$220,000",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,"$220,000","$220,000",,,,,,,,,"$220,000","$220,000",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40064140-2025,2025,SAN NICOLAS,MUNICIPIO,EDUCACION,PUNILLA,SAN NICOLÁS,40064140,24,03,490,TRANSFERENCIA ACCESO AL APRENDIZAJE PARA TODOS LOS ALUMNOS DEL SECTOR RURAL DE SAN NICOLAS,"$217,000",$0,"$217,000","$217,000",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$217,000",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,"$217,000","$217,000",,,,,,,,,,,"$217,000","$217,000",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40058752-2025,2025,UACH,SECTORIAL / OTRO,SALUD,REGIONAL,REGIONAL,40058752,24,01,276,TRANSFERENCIA PLATAFORMA WEB-APP MOVIL INTEGRADA EN RED PARA REDUCIR MORTALIDAD/MORBILIDAD POR INFARTO AGUDO AL MIOCARDIO Y ACCIDENTE VASCULAR ENCEFALICO,,$0,$0,"$79,703",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$79,703",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,"$79,703","$79,703",,,,,,,,,,,"$79,703","$79,703",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40063971-2025,2025,QUILLÓN,MUNICIPIO,EDUCACION,DIGUILLIN,QUILLÓN,40063971,29,05,,"REPOSICION EQUIPAMIENTO PARA SALA DE COMPUTACION DE ESCUELA HEROES DEL ITATA, QUILLON","$57,039",$0,"$57,039","$57,039",,,,,3. CREACION PPT.,0%,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$57,039",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$57,039",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$57,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
